#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00306127	  0.000553682	  3	  0.000347353
1	  0.20944	  1	  0.0010874	  0.000160161	  3	  0.000100477
2	  0.314159	  1	  0.000509336	  0.00014601	  3	  9.15991e-05
3	  0.418879	  1	  0.00028546	  2.52532e-05	  3	  1.58426e-05
4	  0.523599	  1	  0.000180467	  9.10324e-06	  3	  5.71092e-06
5	  0.628319	  1	  0.000122281	  4.84565e-05	  3	  3.03992e-05
6	  0.733038	  1	  8.74227e-05	  2.04045e-05	  3	  1.28008e-05
7	  0.837758	  1	  6.50738e-05	  1.56617e-05	  3	  9.82536e-06
8	  0.942478	  1	  4.99708e-05	  2.49413e-06	  3	  1.56469e-06
9	  0.10472	  0	  0.00306127	  9.64913e-05	  6	  4.4217e-05
10	  0.148096	  0.707107	  0.00194673	  0.000136457	  12	  4.62146e-05
11	  0.23416	  0.894427	  0.000861366	  0.00016268	  12	  5.50958e-05
12	  0.331153	  0.948683	  0.000461248	  6.76914e-05	  12	  2.29254e-05
13	  0.431771	  0.970143	  0.000268642	  3.42061e-05	  12	  1.15847e-05
14	  0.533968	  0.980581	  0.000173094	  2.25712e-05	  12	  7.64431e-06
15	  0.636985	  0.986394	  0.000118696	  1.52966e-05	  12	  5.18059e-06
16	  0.74048	  0.989949	  8.55312e-05	  1.77579e-05	  12	  6.01416e-06
17	  0.844278	  0.992278	  6.3942e-05	  9.97194e-06	  12	  3.37725e-06
18	  0.948278	  0.993884	  4.92751e-05	  9.34912e-06	  12	  3.16631e-06
19	  0.148096	  0	  0.00194673	  5.44547e-05	  6	  2.49538e-05
20	  0.18138	  0.57735	  0.00138108	  7.49194e-05	  12	  2.53733e-05
21	  0.25651	  0.816497	  0.000758093	  8.18667e-05	  12	  2.77262e-05
22	  0.347316	  0.904534	  0.00041546	  4.54987e-05	  12	  1.54093e-05
23	  0.444288	  0.942809	  0.000253958	  2.72737e-05	  12	  9.23692e-06
24	  0.54414	  0.96225	  0.000166222	  2.78491e-05	  12	  9.43179e-06
25	  0.645536	  0.973329	  0.000115357	  1.5614e-05	  12	  5.28807e-06
26	  0.747849	  0.980196	  8.36612e-05	  1.18168e-05	  12	  4.00207e-06
27	  0.850747	  0.984732	  6.28792e-05	  1.22754e-05	  12	  4.15736e-06
28	  0.954042	  0.987878	  4.86063e-05	  8.48926e-06	  12	  2.8751e-06
29	  0.20944	  0	  0.0010874	  3.24813e-05	  6	  1.48845e-05
30	  0.23416	  0.447214	  0.000861366	  5.2528e-05	  12	  1.77899e-05
31	  0.296192	  0.707107	  0.000560902	  6.09729e-05	  12	  2.065e-05
32	  0.377572	  0.83205	  0.000353507	  4.25102e-05	  12	  1.43971e-05
33	  0.468321	  0.894427	  0.000227855	  3.42768e-05	  12	  1.16087e-05
34	  0.563933	  0.928477	  0.000154074	  1.21218e-05	  12	  4.10534e-06
35	  0.662306	  0.948683	  0.000109103	  1.36177e-05	  12	  4.61199e-06
36	  0.762371	  0.961524	  8.01954e-05	  1.14274e-05	  12	  3.87016e-06
37	  0.863541	  0.970143	  6.0809e-05	  4.50967e-06	  12	  1.52731e-06
38	  0.965468	  0.976187	  4.73186e-05	  6.3399e-06	  12	  2.14716e-06
39	  0.23416	  0	  0.000861366	  3.41967e-05	  12	  1.15816e-05
40	  0.25651	  0.408248	  0.000758093	  3.34453e-05	  24	  8.49926e-06
41	  0.314159	  0.666667	  0.000509336	  4.46256e-05	  24	  1.13404e-05
42	  0.391825	  0.801784	  0.00032913	  3.14238e-05	  24	  7.98555e-06
43	  0.479886	  0.872872	  0.00021626	  3.80417e-05	  24	  9.66731e-06
44	  0.573574	  0.912871	  0.000148705	  1.66427e-05	  24	  4.2293e-06
45	  0.670534	  0.937043	  0.000106245	  1.14667e-05	  24	  2.91396e-06
46	  0.76953	  0.952579	  7.85788e-05	  1.11572e-05	  24	  2.83531e-06
47	  0.869868	  0.963087	  5.98331e-05	  9.41973e-06	  24	  2.39378e-06
