#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000654107	  3	  0.000410355
1	  0.20944	  1	  0.000983009	  0.000189722	  3	  0.000119022
2	  0.314159	  1	  0.000460441	  0.000170931	  3	  0.000107233
3	  0.418879	  1	  0.000258057	  2.85394e-05	  3	  1.79042e-05
4	  0.523599	  1	  0.000163143	  1.14082e-05	  3	  7.15691e-06
5	  0.628319	  1	  0.000110542	  6.106e-05	  3	  3.8306e-05
6	  0.733038	  1	  7.90303e-05	  2.41197e-05	  3	  1.51315e-05
7	  0.837758	  1	  5.88269e-05	  1.80291e-05	  3	  1.13106e-05
8	  0.942478	  1	  4.51737e-05	  3.25045e-06	  3	  2.03917e-06
9	  0.10472	  0	  0.00276739	  0.0001159	  6	  5.31111e-05
10	  0.148096	  0.707107	  0.00175985	  0.000163994	  12	  5.55406e-05
11	  0.23416	  0.894427	  0.000778677	  0.000192832	  12	  6.53073e-05
12	  0.331153	  0.948683	  0.000416969	  8.1819e-05	  12	  2.77101e-05
13	  0.431771	  0.970143	  0.000242853	  3.94206e-05	  12	  1.33508e-05
14	  0.533968	  0.980581	  0.000156478	  2.64328e-05	  12	  8.95212e-06
15	  0.636985	  0.986394	  0.000107301	  1.88842e-05	  12	  6.39562e-06
16	  0.74048	  0.989949	  7.73204e-05	  2.04532e-05	  12	  6.927e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.24294e-05	  12	  4.20952e-06
18	  0.948278	  0.993884	  4.45448e-05	  1.15168e-05	  12	  3.90045e-06
19	  0.148096	  0	  0.00175985	  6.77871e-05	  6	  3.10633e-05
20	  0.18138	  0.57735	  0.0012485	  9.28971e-05	  12	  3.14619e-05
21	  0.25651	  0.816497	  0.000685318	  9.91195e-05	  12	  3.35693e-05
22	  0.347316	  0.904534	  0.000375577	  5.42734e-05	  12	  1.83811e-05
23	  0.444288	  0.942809	  0.000229579	  3.10624e-05	  12	  1.052e-05
24	  0.54414	  0.96225	  0.000150265	  3.39322e-05	  12	  1.1492e-05
25	  0.645536	  0.973329	  0.000104283	  1.80031e-05	  12	  6.0972e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.5065e-05	  12	  5.10214e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.49887e-05	  12	  5.0763e-06
28	  0.954042	  0.987878	  4.39402e-05	  9.89207e-06	  12	  3.3502e-06
29	  0.20944	  0	  0.000983009	  3.88665e-05	  6	  1.78105e-05
30	  0.23416	  0.447214	  0.000778677	  6.30448e-05	  12	  2.13517e-05
31	  0.296192	  0.707107	  0.000507056	  7.20807e-05	  12	  2.44119e-05
32	  0.377572	  0.83205	  0.000319571	  5.12062e-05	  12	  1.73423e-05
33	  0.468321	  0.894427	  0.000205981	  4.14303e-05	  12	  1.40314e-05
34	  0.563933	  0.928477	  0.000139283	  1.39592e-05	  12	  4.72763e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.65144e-05	  12	  5.59303e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.26411e-05	  12	  4.28122e-06
37	  0.863541	  0.970143	  5.49714e-05	  5.84498e-06	  12	  1.97955e-06
38	  0.965468	  0.976187	  4.27761e-05	  7.61581e-06	  12	  2.57928e-06
39	  0.23416	  0	  0.000778677	  4.235e-05	  12	  1.43429e-05
40	  0.25651	  0.408248	  0.000685318	  4.12988e-05	  24	  1.0495e-05
41	  0.314159	  0.666667	  0.000460441	  5.38349e-05	  24	  1.36807e-05
42	  0.391825	  0.801784	  0.000297534	  3.74858e-05	  24	  9.52604e-06
43	  0.479886	  0.872872	  0.000195499	  4.62108e-05	  24	  1.17433e-05
44	  0.573574	  0.912871	  0.00013443	  2.00029e-05	  24	  5.08321e-06
45	  0.670534	  0.937043	  9.6046e-05	  1.39032e-05	  24	  3.53315e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.36601e-05	  24	  3.47135e-06
47	  0.869868	  0.963087	  5.40893e-05	  1.16139e-05	  24	  2.95137e-06
48	  0.971131	  0.970495	  4.22057e-05	  8.23595e-06	  24	  2.09295e-06
49	  0.296192	  0	  0.000507056	  2.36139e-05	  6	  1.0821e-05
