#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00340069	  0.000452296	  3	  0.000283748
1	  0.20944	  1	  0.00120796	  0.000129122	  3	  8.1005e-05
2	  0.314159	  1	  0.00056581	  0.00012091	  3	  7.5853e-05
3	  0.418879	  1	  0.000317111	  2.16857e-05	  3	  1.36045e-05
4	  0.523599	  1	  0.000200477	  7.08236e-06	  3	  4.44312e-06
5	  0.628319	  1	  0.000135839	  3.62219e-05	  3	  2.27238e-05
6	  0.733038	  1	  9.71158e-05	  1.60513e-05	  3	  1.00698e-05
7	  0.837758	  1	  7.2289e-05	  1.30365e-05	  3	  8.17842e-06
8	  0.942478	  1	  5.55114e-05	  1.90101e-06	  3	  1.1926e-06
9	  0.10472	  0	  0.00340069	  7.75807e-05	  6	  3.55512e-05
10	  0.148096	  0.707107	  0.00216258	  0.00011065	  12	  3.74743e-05
11	  0.23416	  0.894427	  0.000956871	  0.000132792	  12	  4.49733e-05
12	  0.331153	  0.948683	  0.000512389	  5.43291e-05	  12	  1.83999e-05
13	  0.431771	  0.970143	  0.000298428	  2.84593e-05	  12	  9.63846e-06
14	  0.533968	  0.980581	  0.000192286	  1.87164e-05	  12	  6.33878e-06
15	  0.636985	  0.986394	  0.000131856	  1.21258e-05	  12	  4.1067e-06
16	  0.74048	  0.989949	  9.50147e-05	  1.48446e-05	  12	  5.0275e-06
17	  0.844278	  0.992278	  7.10317e-05	  7.75312e-06	  12	  2.62579e-06
18	  0.948278	  0.993884	  5.47385e-05	  7.32438e-06	  12	  2.48059e-06
19	  0.148096	  0	  0.00216258	  4.28596e-05	  6	  1.96404e-05
20	  0.18138	  0.57735	  0.00153421	  5.86458e-05	  12	  1.98619e-05
21	  0.25651	  0.816497	  0.000842148	  6.52121e-05	  12	  2.20857e-05
22	  0.347316	  0.904534	  0.000461525	  3.69861e-05	  12	  1.25263e-05
23	  0.444288	  0.942809	  0.000282116	  2.33834e-05	  12	  7.91936e-06
24	  0.54414	  0.96225	  0.000184652	  2.18274e-05	  12	  7.39241e-06
25	  0.645536	  0.973329	  0.000128147	  1.27579e-05	  12	  4.32079e-06
26	  0.747849	  0.980196	  9.29373e-05	  8.95152e-06	  12	  3.03166e-06
27	  0.850747	  0.984732	  6.98511e-05	  9.74398e-06	  12	  3.30004e-06
28	  0.954042	  0.987878	  5.39956e-05	  6.88706e-06	  12	  2.33247e-06
29	  0.20944	  0	  0.00120796	  2.57717e-05	  6	  1.18098e-05
30	  0.23416	  0.447214	  0.000956871	  4.24764e-05	  12	  1.43857e-05
31	  0.296192	  0.707107	  0.000623093	  5.00646e-05	  12	  1.69556e-05
32	  0.377572	  0.83205	  0.000392702	  3.43694e-05	  12	  1.16401e-05
33	  0.468321	  0.894427	  0.000253118	  2.74723e-05	  12	  9.30417e-06
34	  0.563933	  0.928477	  0.000171157	  1.02278e-05	  12	  3.4639e-06
35	  0.662306	  0.948683	  0.000121199	  1.07672e-05	  12	  3.64659e-06
36	  0.762371	  0.961524	  8.90872e-05	  1.00741e-05	  12	  3.41183e-06
37	  0.863541	  0.970143	  6.75513e-05	  3.3317e-06	  12	  1.12836e-06
38	  0.965468	  0.976187	  5.25652e-05	  5.018e-06	  12	  1.69947e-06
39	  0.23416	  0	  0.000956871	  2.71415e-05	  12	  9.19214e-06
40	  0.25651	  0.408248	  0.000842148	  2.6346e-05	  24	  6.69516e-06
41	  0.314159	  0.666667	  0.00056581	  3.56937e-05	  24	  9.07063e-06
42	  0.391825	  0.801784	  0.000365623	  2.54885e-05	  24	  6.47724e-06
43	  0.479886	  0.872872	  0.000240238	  3.02336e-05	  24	  7.68308e-06
44	  0.573574	  0.912871	  0.000165194	  1.33591e-05	  24	  3.39487e-06
45	  0.670534	  0.937043	  0.000118025	  9.08352e-06	  24	  2.30834e-06
46	  0.76953	  0.952579	  8.72914e-05	  8.85778e-06	  24	  2.25098e-06
47	  0.869868	  0.963087	  6.64672e-05	  7.27433e-06	  24	  1.84858e-06
48	  0.971131	  0.970495	  5.18642e-05	  5.75103e-06	  24	  1.46148e-06
49	  0.296192	  0	  0.000623093	  1.54005e-05	  6	  7.05726e-06
50	  0.314159	  0.333333	  0.00056581	  1.97852e-05	  12	  6.70076e-06
51	  0.36276	  0.57735	  0.000422434	  1.66621e-05	  12	  5.64302e-06
52	  0.431771	  0.727607	  0.000298428	  2.12675e-05	  12	  7.20278e-06
53	  0.51302	  0.816497	  0.000209203	  1.8817e-05	  12	  6.37285e-06
54	  0.601569	  0.870388	  0.000149161	  1.40879e-05	  12	  4.77122e-06
55	  0.694632	  0.904534	  0.000109288	  1.39328e-05	  12	  4.71868e-06
56	  0.790617	  0.927173	  8.22162e-05	  7.24284e-06	  12	  2.45297e-06
57	  0.888577	  0.942809	  6.33722e-05	  6.00281e-06	  12	  2.033e-06
58	  0.987924	  0.953998	  4.9893e-05	  3.00779e-06	  12	  1.01866e-06
59	  0.314159	  0	  0.00056581	  2.01788e-05	  6	  9.2469e-06
60	  0.331153	  0.316228	  0.000512389	  1.64268e-05	  12	  5.56335e-06
61	  0.377572	  0.5547	  0.000392702	  2.22903e-05	  12	  7.54918e-06
62	  0.444288	  0.707107	  0.000282116	  1.20842e-05	  12	  4.09261e-06
63	  0.523599	  0.8	  0.000200477	  1.8168e-05	  12	  6.15303e-06
64	  0.610616	  0.857493	  0.00014445	  7.11419e-06	  12	  2.4094e-06
65	  0.702481	  0.894427	  0.000106629	  8.49089e-06	  12	  2.87565e-06
66	  0.797522	  0.919145	  8.0644e-05	  7.76012e-06	  12	  2.62816e-06
67	  0.894726	  0.936329	  6.23818e-05	  3.68913e-06	  12	  1.24942e-06
68	  0.993459	  0.948683	  4.92701e-05	  4.96167e-06	  12	  1.68039e-06
69	  0.331153	  0	  0.000512389	  1.24106e-05	  12	  4.20317e-06
70	  0.347316	  0.301511	  0.000461525	  1.15726e-05	  24	  2.94087e-06
71	  0.391825	  0.534522	  0.000365623	  1.1898e-05	  24	  3.02356e-06
72	  0.456463	  0.688247	  0.00026716	  2.15045e-05	  24	  5.4648e-06
73	  0.533968	  0.784465	  0.000192286	  1.13028e-05	  24	  2.87232e-06
74	  0.61953	  0.845154	  0.000140033	  8.51316e-06	  24	  2.1634e-06
75	  0.710244	  0.884652	  0.000104113	  1.2624e-05	  24	  3.20807e-06
76	  0.804368	  0.911322	  7.91357e-05	  7.33668e-06	  24	  1.86443e-06
77	  0.900833	  0.929981	  6.14503e-05	  5.46323e-06	  24	  1.38834e-06
78	  0.998963	  0.943456	  4.86634e-05	  3.72703e-06	  24	  9.47129e-07
79	  0.377572	  0	  0.000392702	  1.04633e-05	  12	  3.54366e-06
80	  0.391825	  0.267261	  0.000365623	  7.79519e-06	  24	  1.98095e-06
81	  0.431771	  0.485071	  0.000298428	  1.39375e-05	  24	  3.54186e-06
82	  0.491179	  0.639602	  0.000228743	  9.54852e-06	  24	  2.42651e-06
83	  0.563933	  0.742781	  0.000171157	  1.27173e-05	  24	  3.23177e-06
84	  0.645536	  0.811107	  0.000128147	  1.04954e-05	  24	  2.66714e-06
85	  0.733038	  0.857143	  9.71158e-05	  9.06736e-06	  24	  2.30424e-06
86	  0.824564	  0.889001	  7.48811e-05	  4.13748e-06	  24	  1.05143e-06
87	  0.918912	  0.911685	  5.87657e-05	  5.96438e-06	  24	  1.51569e-06
