#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.125664	  1	  0.00533799	  0.0012288	  3	  0.000770888
1	  0.251327	  1	  0.00153297	  0.000146444	  3	  9.18716e-05
2	  0.376991	  1	  0.000674331	  3.41256e-05	  3	  2.14087e-05
3	  0.502655	  1	  0.000366372	  2.47785e-05	  3	  1.55448e-05
4	  0.628319	  1	  0.000224868	  2.69824e-05	  3	  1.69274e-05
5	  0.753982	  1	  0.000149596	  1.10959e-05	  3	  6.96102e-06
6	  0.879646	  1	  0.000105267	  7.03007e-06	  3	  4.41032e-06
7	  1.00531	  1	  7.73367e-05	  1.2726e-05	  3	  7.98365e-06
8	  0.125664	  0	  0.00533799	  0.00024044	  6	  0.000110181
9	  0.177715	  0.707107	  0.00286765	  4.97776e-05	  12	  1.68584e-05
10	  0.280993	  0.894427	  0.00119922	  9.13449e-05	  12	  3.09362e-05
11	  0.397384	  0.948683	  0.000602238	  5.98152e-05	  12	  2.02579e-05
12	  0.518125	  0.970143	  0.000343069	  6.95853e-05	  12	  2.35668e-05
13	  0.640762	  0.980581	  0.000215318	  2.75926e-05	  12	  9.34494e-06
14	  0.764382	  0.986394	  0.000144999	  1.67459e-05	  12	  5.67142e-06
15	  0.888577	  0.989949	  0.000102875	  9.67495e-06	  12	  3.27666e-06
16	  1.01313	  0.992278	  7.59517e-05	  7.266e-06	  12	  2.46081e-06
17	  0.177715	  0	  0.00286765	  1.91969e-05	  6	  8.79693e-06
18	  0.217656	  0.57735	  0.00193201	  7.66435e-05	  12	  2.59572e-05
19	  0.307812	  0.816497	  0.00101975	  6.77479e-05	  12	  2.29445e-05
20	  0.416779	  0.904534	  0.000544345	  4.73533e-05	  12	  1.60374e-05
21	  0.533146	  0.942809	  0.00032229	  3.57137e-05	  12	  1.20953e-05
22	  0.652968	  0.96225	  0.000206491	  2.04132e-05	  12	  6.91345e-06
23	  0.774643	  0.973329	  0.000140709	  1.83446e-05	  12	  6.21287e-06
24	  0.897418	  0.980196	  0.000100538	  1.06273e-05	  12	  3.59921e-06
25	  1.0209	  0.984732	  7.46273e-05	  6.46524e-06	  12	  2.18962e-06
26	  0.251327	  0	  0.00153297	  8.87323e-06	  6	  4.06614e-06
27	  0.280993	  0.447214	  0.00119922	  3.38695e-05	  12	  1.14708e-05
28	  0.355431	  0.707107	  0.000755363	  2.52582e-05	  12	  8.55434e-06
29	  0.453087	  0.83205	  0.000457694	  2.64842e-05	  12	  8.96953e-06
30	  0.561985	  0.894427	  0.000287335	  3.23138e-05	  12	  1.09439e-05
31	  0.67672	  0.928477	  0.000190662	  1.76071e-05	  12	  5.96309e-06
32	  0.794767	  0.948683	  0.000132712	  1.4219e-05	  12	  4.81561e-06
33	  0.914846	  0.961524	  9.61793e-05	  1.03848e-05	  12	  3.51707e-06
34	  1.03625	  0.970143	  7.20735e-05	  3.8227e-06	  12	  1.29465e-06
35	  0.280993	  0	  0.00119922	  1.94714e-05	  12	  6.59449e-06
36	  0.307812	  0.408248	  0.00101975	  2.58585e-05	  24	  6.57126e-06
37	  0.376991	  0.666667	  0.000674331	  1.7082e-05	  24	  4.34096e-06
38	  0.470191	  0.801784	  0.000423097	  2.47711e-05	  24	  6.29494e-06
39	  0.575863	  0.872872	  0.000272348	  2.57396e-05	  24	  6.54106e-06
40	  0.688288	  0.912871	  0.000183612	  1.93022e-05	  24	  4.90515e-06
41	  0.80464	  0.937043	  0.000129076	  7.16624e-06	  24	  1.82111e-06
42	  0.923436	  0.952579	  9.4156e-05	  8.90109e-06	  24	  2.26198e-06
43	  1.04384	  0.963087	  7.0859e-05	  6.71114e-06	  24	  1.70546e-06
44	  0.355431	  0	  0.000755363	  7.77586e-06	  6	  3.56327e-06
45	  0.376991	  0.333333	  0.000674331	  1.02352e-05	  12	  3.46642e-06
46	  0.435312	  0.57735	  0.000497688	  1.43068e-05	  12	  4.84535e-06
47	  0.518125	  0.727607	  0.000343069	  2.72183e-05	  12	  9.21817e-06
48	  0.615624	  0.816497	  0.000235227	  1.29219e-05	  12	  4.37634e-06
49	  0.721883	  0.870388	  0.000165008	  1.43343e-05	  12	  4.85468e-06
50	  0.833559	  0.904534	  0.000119096	  9.37908e-06	  12	  3.17646e-06
51	  0.94874	  0.927173	  8.84403e-05	  7.01369e-06	  12	  2.37536e-06
52	  0.376991	  0	  0.000674331	  6.84156e-06	  6	  3.13513e-06
53	  0.397384	  0.316228	  0.000602238	  1.96285e-05	  12	  6.64769e-06
54	  0.453087	  0.5547	  0.000457694	  2.08217e-05	  12	  7.0518e-06
55	  0.533146	  0.707107	  0.00032229	  1.56448e-05	  12	  5.2985e-06
56	  0.628319	  0.8	  0.000224868	  1.44303e-05	  12	  4.88718e-06
57	  0.732739	  0.857493	  0.000159522	  8.38336e-06	  12	  2.83924e-06
58	  0.842978	  0.894427	  0.00011604	  8.31783e-06	  12	  2.81704e-06
59	  0.957026	  0.919145	  8.66937e-05	  9.63177e-06	  12	  3.26204e-06
60	  0.397384	  0	  0.000602238	  1.5556e-05	  12	  5.26845e-06
61	  0.416779	  0.301511	  0.000544345	  1.15816e-05	  24	  2.94317e-06
62	  0.470191	  0.534522	  0.000423097	  1.53298e-05	  24	  3.89567e-06
63	  0.547755	  0.688247	  0.000303913	  1.7827e-05	  24	  4.53026e-06
64	  0.640762	  0.784465	  0.000215318	  1.26026e-05	  24	  3.20262e-06
65	  0.743437	  0.845154	  0.000154428	  1.33006e-05	  24	  3.38001e-06
66	  0.852293	  0.884652	  0.000113196	  1.11333e-05	  24	  2.82925e-06
67	  0.965241	  0.911322	  8.49914e-05	  7.80053e-06	  24	  1.9823e-06
68	  0.453087	  0	  0.000457694	  9.4192e-06	  12	  3.19005e-06
69	  0.470191	  0.267261	  0.000423097	  9.26455e-06	  24	  2.35435e-06
70	  0.518125	  0.485071	  0.000343069	  1.45188e-05	  24	  3.68959e-06
71	  0.589415	  0.639602	  0.0002588	  8.72944e-06	  24	  2.21836e-06
72	  0.67672	  0.742781	  0.000190662	  8.61944e-06	  24	  2.19041e-06
73	  0.774643	  0.811107	  0.000140709	  6.78346e-06	  24	  1.72384e-06
74	  0.879646	  0.857143	  0.000105267	  5.42406e-06	  24	  1.37838e-06
75	  0.989477	  0.889001	  8.02223e-05	  6.45976e-06	  24	  1.64158e-06
76	  0.502655	  0	  0.000366372	  5.27975e-06	  6	  2.41944e-06
77	  0.518125	  0.242536	  0.000343069	  1.3888e-05	  12	  4.70353e-06
78	  0.561985	  0.447214	  0.000287335	  9.19294e-06	  12	  3.11342e-06
79	  0.628319	  0.6	  0.000224868	  9.94416e-06	  12	  3.36784e-06
80	  0.710861	  0.707107	  0.000170833	  6.72906e-06	  12	  2.27896e-06
81	  0.80464	  0.780869	  0.000129076	  7.8016e-06	  12	  2.64221e-06
82	  0.906174	  0.83205	  9.83384e-05	  5.84903e-06	  12	  1.98092e-06
83	  1.01313	  0.868243	  7.59517e-05	  4.73627e-06	  12	  1.60406e-06
84	  0.518125	  0	  0.000343069	  1.08459e-05	  12	  3.67324e-06
85	  0.533146	  0.235702	  0.00032229	  6.86618e-06	  24	  1.74486e-06
86	  0.575863	  0.436436	  0.000272348	  1.01324e-05	  24	  2.57489e-06
87	  0.640762	  0.588348	  0.000215318	  9.24349e-06	  24	  2.34899e-06
88	  0.721883	  0.696311	  0.000165008	  8.41299e-06	  24	  2.13794e-06
89	  0.814394	  0.771517	  0.000125575	  7.06026e-06	  24	  1.79418e-06
90	  0.914846	  0.824163	  9.61793e-05	  5.50104e-06	  24	  1.39795e-06
91	  1.0209	  0.86164	  7.46273e-05	  6.07794e-06	  24	  1.54455e-06
92	  0.533146	  0	  0.00032229	  6.77128e-06	  6	  3.10293e-06
93	  0.547755	  0.229416	  0.000303913	  7.00531e-06	  12	  2.37253e-06
94	  0.589415	  0.426401	  0.0002588	  6.21736e-06	  12	  2.10566e-06
95	  0.652968	  0.57735	  0.000206491	  7.4149e-06	  12	  2.51124e-06
96	  0.732739	  0.685994	  0.000159522	  1.37199e-05	  12	  4.6466e-06
97	  0.824032	  0.762493	  0.000122243	  8.74339e-06	  12	  2.96117e-06
98	  0.923436	  0.816497	  9.4156e-05	  5.55876e-06	  12	  1.88261e-06
99	  1.0286	  0.855186	  7.33129e-05	  5.11752e-06	  12	  1.73318e-06
100	  0.561985	  0	  0.000287335	  7.29282e-06	  12	  2.4699e-06
101	  0.575863	  0.218218	  0.000272348	  8.12077e-06	  24	  2.06368e-06
102	  0.615624	  0.408248	  0.000235227	  5.3601e-06	  24	  1.36213e-06
103	  0.67672	  0.557086	  0.000190662	  6.05484e-06	  24	  1.53868e-06
104	  0.753982	  0.666667	  0.000149596	  6.13936e-06	  24	  1.56016e-06
105	  0.842978	  0.745356	  0.00011604	  5.02905e-06	  24	  1.278e-06
106	  0.940381	  0.801784	  9.02866e-05	  4.67503e-06	  24	  1.18804e-06
107	  1.04384	  0.842701	  7.0859e-05	  4.4817e-06	  24	  1.13891e-06
108	  0.628319	  0	  0.000224868	  3.23193e-06	  18	  9.2337e-07
109	  0.640762	  0.196116	  0.000215318	  4.41438e-06	  36	  9.56449e-07
110	  0.67672	  0.371391	  0.000190662	  4.9443e-06	  36	  1.07126e-06
111	  0.732739	  0.514496	  0.000159522	  6.10899e-06	  36	  1.32361e-06
112	  0.80464	  0.624695	  0.000129076	  5.50981e-06	  36	  1.19379e-06
113	  0.888577	  0.707107	  0.000102875	  5.74577e-06	  36	  1.24492e-06
114	  0.981465	  0.768221	  8.17779e-05	  5.6345e-06	  36	  1.22081e-06
115	  0.640762	  0	  0.000215318	  2.34419e-06	  12	  7.93919e-07
116	  0.652968	  0.19245	  0.000206491	  4.19862e-06	  24	  1.06697e-06
117	  0.688288	  0.365148	  0.000183612	  5.25181e-06	  24	  1.33461e-06
118	  0.743437	  0.507093	  0.000154428	  5.42318e-06	  24	  1.37816e-06
119	  0.814394	  0.617213	  0.000125575	  4.63717e-06	  24	  1.17842e-06
120	  0.897418	  0.70014	  0.000100538	  6.12577e-06	  24	  1.5567e-06
121	  0.989477	  0.762001	  8.02223e-05	  3.43253e-06	  24	  8.7229e-07
122	  0.67672	  0	  0.000190662	  6.06439e-06	  12	  2.05386e-06
123	  0.688288	  0.182574	  0.000183612	  3.66057e-06	  24	  9.30238e-07
124	  0.721883	  0.348155	  0.000165008	  3.6583e-06	  24	  9.29661e-07
125	  0.774643	  0.486664	  0.000140709	  3.74077e-06	  24	  9.5062e-07
126	  0.842978	  0.596285	  0.00011604	  4.08008e-06	  24	  1.03685e-06
127	  0.923436	  0.680414	  9.4156e-05	  3.96056e-06	  24	  1.00647e-06
128	  1.01313	  0.744208	  7.59517e-05	  3.0087e-06	  24	  7.64582e-07
129	  0.710861	  0	  0.000170833	  3.89737e-06	  6	  1.78596e-06
130	  0.721883	  0.174078	  0.000165008	  3.25999e-06	  12	  1.10408e-06
131	  0.753982	  0.333333	  0.000149596	  3.3476e-06	  12	  1.13375e-06
132	  0.80464	  0.468521	  0.000129076	  2.65734e-06	  12	  8.99974e-07
133	  0.870624	  0.57735	  0.000107809	  3.48595e-06	  12	  1.18061e-06
134	  0.94874	  0.662266	  8.84403e-05	  4.27475e-06	  12	  1.44775e-06
135	  1.03625	  0.727607	  7.20735e-05	  2.3697e-06	  12	  8.02557e-07
136	  0.732739	  0	  0.000159522	  2.38843e-06	  12	  8.08902e-07
137	  0.743437	  0.169031	  0.000154428	  4.15965e-06	  24	  1.05707e-06
138	  0.774643	  0.324443	  0.000140709	  3.06153e-06	  24	  7.7801e-07
139	  0.824032	  0.457496	  0.000122243	  3.05215e-06	  24	  7.75625e-07
140	  0.888577	  0.565685	  0.000102875	  4.15884e-06	  24	  1.05686e-06
141	  0.965241	  0.650945	  8.49914e-05	  3.88353e-06	  24	  9.86899e-07
142	  0.753982	  0	  0.000149596	  1.27179e-06	  6	  5.82795e-07
143	  0.764382	  0.164399	  0.000144999	  3.02001e-06	  12	  1.0228e-06
144	  0.794767	  0.316228	  0.000132712	  4.04144e-06	  12	  1.36873e-06
145	  0.842978	  0.447214	  0.00011604	  5.05111e-06	  12	  1.71069e-06
146	  0.906174	  0.5547	  9.83384e-05	  3.56495e-06	  12	  1.20736e-06
147	  0.981465	  0.640184	  8.17779e-05	  3.81591e-06	  12	  1.29235e-06
148	  0.764382	  0	  0.000144999	  3.0712e-06	  12	  1.04014e-06
149	  0.774643	  0.162221	  0.000140709	  3.24081e-06	  24	  8.23568e-07
150	  0.80464	  0.312348	  0.000129076	  3.10783e-06	  24	  7.89774e-07
151	  0.852293	  0.442326	  0.000113196	  3.45385e-06	  24	  8.77707e-07
152	  0.914846	  0.549442	  9.61793e-05	  2.93328e-06	  24	  7.45417e-07
153	  0.989477	  0.635001	  8.02223e-05	  3.43685e-06	  24	  8.73388e-07
154	  0.794767	  0	  0.000132712	  2.66335e-06	  12	  9.02009e-07
155	  0.80464	  0.156174	  0.000129076	  2.34091e-06	  24	  5.94881e-07
156	  0.833559	  0.301511	  0.000119096	  3.59521e-06	  24	  9.13631e-07
157	  0.879646	  0.428571	  0.000105267	  2.8238e-06	  24	  7.17595e-07
158	  0.940381	  0.534522	  9.02866e-05	  3.02266e-06	  24	  7.68131e-07
159	  1.01313	  0.620174	  7.59517e-05	  3.12204e-06	  24	  7.93385e-07
160	  0.80464	  0	  0.000129076	  1.64846e-06	  12	  5.58294e-07
161	  0.814394	  0.154303	  0.000125575	  1.97259e-06	  24	  5.01283e-07
162	  0.842978	  0.298142	  0.00011604	  2.16136e-06	  24	  5.49253e-07
