#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00379853	  0.000509361	  3	  0.000319548
1	  0.20944	  1	  0.00134928	  0.000143158	  3	  8.981e-05
2	  0.314159	  1	  0.000632002	  0.000136663	  3	  8.57355e-05
3	  0.418879	  1	  0.000354209	  2.54501e-05	  3	  1.59661e-05
4	  0.523599	  1	  0.00022393	  7.77934e-06	  3	  4.88037e-06
5	  0.628319	  1	  0.000151731	  3.72484e-05	  3	  2.33678e-05
6	  0.733038	  1	  0.000108477	  1.71899e-05	  3	  1.07841e-05
7	  0.837758	  1	  8.07459e-05	  1.46273e-05	  3	  9.17645e-06
8	  0.942478	  1	  6.20055e-05	  2.2668e-06	  3	  1.42208e-06
9	  0.10472	  0	  0.00379853	  8.46236e-05	  6	  3.87786e-05
10	  0.148096	  0.707107	  0.00241558	  0.000121135	  12	  4.10253e-05
11	  0.23416	  0.894427	  0.00106881	  0.000149606	  12	  5.06679e-05
12	  0.331153	  0.948683	  0.000572332	  6.01971e-05	  12	  2.03873e-05
13	  0.431771	  0.970143	  0.00033334	  3.16399e-05	  12	  1.07156e-05
14	  0.533968	  0.980581	  0.000214781	  2.13582e-05	  12	  7.23349e-06
15	  0.636985	  0.986394	  0.000147282	  1.27979e-05	  12	  4.33433e-06
16	  0.74048	  0.989949	  0.00010613	  1.65147e-05	  12	  5.5931e-06
17	  0.844278	  0.992278	  7.93415e-05	  8.16493e-06	  12	  2.76526e-06
18	  0.948278	  0.993884	  6.11422e-05	  7.87267e-06	  12	  2.66628e-06
19	  0.148096	  0	  0.00241558	  4.54169e-05	  6	  2.08122e-05
20	  0.18138	  0.57735	  0.0017137	  6.36267e-05	  12	  2.15488e-05
21	  0.25651	  0.816497	  0.000940668	  7.12972e-05	  12	  2.41466e-05
22	  0.347316	  0.904534	  0.000515517	  4.11251e-05	  12	  1.39281e-05
23	  0.444288	  0.942809	  0.00031512	  2.75625e-05	  12	  9.33474e-06
24	  0.54414	  0.96225	  0.000206254	  2.30055e-05	  12	  7.79138e-06
25	  0.645536	  0.973329	  0.000143139	  1.42629e-05	  12	  4.83048e-06
26	  0.747849	  0.980196	  0.00010381	  9.14754e-06	  12	  3.09804e-06
27	  0.850747	  0.984732	  7.80228e-05	  1.03483e-05	  12	  3.50473e-06
28	  0.954042	  0.987878	  6.03124e-05	  7.64757e-06	  12	  2.59004e-06
29	  0.20944	  0	  0.00134928	  2.75567e-05	  6	  1.26278e-05
30	  0.23416	  0.447214	  0.00106881	  4.64432e-05	  12	  1.57292e-05
31	  0.296192	  0.707107	  0.000695986	  5.57404e-05	  12	  1.88779e-05
32	  0.377572	  0.83205	  0.000438644	  3.77095e-05	  12	  1.27713e-05
33	  0.468321	  0.894427	  0.00028273	  3.07993e-05	  12	  1.04309e-05
34	  0.563933	  0.928477	  0.000191181	  1.13346e-05	  12	  3.83873e-06
35	  0.662306	  0.948683	  0.000135378	  1.14603e-05	  12	  3.88131e-06
36	  0.762371	  0.961524	  9.95093e-05	  1.19152e-05	  12	  4.03537e-06
37	  0.863541	  0.970143	  7.54539e-05	  3.2875e-06	  12	  1.1134e-06
38	  0.965468	  0.976187	  5.87146e-05	  5.10901e-06	  12	  1.73029e-06
39	  0.23416	  0	  0.00106881	  2.89045e-05	  12	  9.78923e-06
40	  0.25651	  0.408248	  0.000940668	  2.81544e-05	  24	  7.1547e-06
41	  0.314159	  0.666667	  0.000632002	  3.9002e-05	  24	  9.91136e-06
42	  0.391825	  0.801784	  0.000408396	  2.81488e-05	  24	  7.15329e-06
43	  0.479886	  0.872872	  0.000268343	  3.27516e-05	  24	  8.32298e-06
44	  0.573574	  0.912871	  0.000184519	  1.48099e-05	  24	  3.76356e-06
45	  0.670534	  0.937043	  0.000131833	  9.55396e-06	  24	  2.42789e-06
46	  0.76953	  0.952579	  9.75033e-05	  9.3175e-06	  24	  2.3678e-06
47	  0.869868	  0.963087	  7.4243e-05	  7.48112e-06	  24	  1.90113e-06
48	  0.971131	  0.970495	  5.79317e-05	  6.16733e-06	  24	  1.56727e-06
49	  0.296192	  0	  0.000695986	  1.64469e-05	  6	  7.53676e-06
50	  0.314159	  0.333333	  0.000632002	  2.13192e-05	  12	  7.22028e-06
51	  0.36276	  0.57735	  0.000471853	  1.81294e-05	  12	  6.13999e-06
52	  0.431771	  0.727607	  0.00033334	  2.36293e-05	  12	  8.00265e-06
53	  0.51302	  0.816497	  0.000233677	  2.01067e-05	  12	  6.80965e-06
54	  0.601569	  0.870388	  0.000166611	  1.53839e-05	  12	  5.21014e-06
55	  0.694632	  0.904534	  0.000122073	  1.56482e-05	  12	  5.29966e-06
56	  0.790617	  0.927173	  9.18345e-05	  8.38378e-06	  12	  2.83938e-06
57	  0.888577	  0.942809	  7.0786e-05	  6.57024e-06	  12	  2.22518e-06
58	  0.987924	  0.953998	  5.57298e-05	  3.0997e-06	  12	  1.04979e-06
59	  0.314159	  0	  0.000632002	  2.13957e-05	  6	  9.80456e-06
60	  0.331153	  0.316228	  0.000572332	  1.74719e-05	  12	  5.9173e-06
61	  0.377572	  0.5547	  0.000438644	  2.45706e-05	  12	  8.32144e-06
62	  0.444288	  0.707107	  0.00031512	  1.31752e-05	  12	  4.46212e-06
63	  0.523599	  0.8	  0.00022393	  1.97773e-05	  12	  6.69809e-06
64	  0.610616	  0.857493	  0.000161348	  8.05032e-06	  12	  2.72644e-06
65	  0.702481	  0.894427	  0.000119103	  9.55075e-06	  12	  3.2346e-06
66	  0.797522	  0.919145	  9.00783e-05	  8.32848e-06	  12	  2.82065e-06
67	  0.894726	  0.936329	  6.96796e-05	  4.29923e-06	  12	  1.45604e-06
68	  0.993459	  0.948683	  5.50341e-05	  5.29209e-06	  12	  1.7923e-06
69	  0.331153	  0	  0.000572332	  1.32892e-05	  12	  4.50072e-06
70	  0.347316	  0.301511	  0.000515517	  1.23406e-05	  24	  3.13604e-06
71	  0.391825	  0.534522	  0.000408396	  1.27925e-05	  24	  3.25087e-06
72	  0.456463	  0.688247	  0.000298414	  2.38215e-05	  24	  6.05362e-06
73	  0.533968	  0.784465	  0.000214781	  1.27254e-05	  24	  3.23383e-06
74	  0.61953	  0.845154	  0.000156415	  9.03542e-06	  24	  2.29612e-06
75	  0.710244	  0.884652	  0.000116293	  1.43724e-05	  24	  3.65237e-06
76	  0.804368	  0.911322	  8.83936e-05	  7.62647e-06	  24	  1.93807e-06
77	  0.900833	  0.929981	  6.86392e-05	  5.90663e-06	  24	  1.50102e-06
78	  0.998963	  0.943456	  5.43564e-05	  3.91545e-06	  24	  9.9501e-07
79	  0.377572	  0	  0.000438644	  1.12316e-05	  12	  3.80385e-06
80	  0.391825	  0.267261	  0.000408396	  8.42811e-06	  24	  2.14179e-06
