#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000410699	  3	  0.000257652
1	  0.20944	  1	  0.000983009	  0.000120993	  3	  7.59049e-05
2	  0.314159	  1	  0.000460441	  0.000107791	  3	  6.76227e-05
3	  0.418879	  1	  0.000258057	  1.9109e-05	  3	  1.1988e-05
4	  0.523599	  1	  0.000163143	  6.8683e-06	  3	  4.30883e-06
5	  0.628319	  1	  0.000110542	  3.83714e-05	  3	  2.40723e-05
6	  0.733038	  1	  7.90303e-05	  1.43422e-05	  3	  8.99761e-06
7	  0.837758	  1	  5.88269e-05	  1.10749e-05	  3	  6.94784e-06
8	  0.942478	  1	  4.51737e-05	  2.1682e-06	  3	  1.36022e-06
9	  0.10472	  0	  0.00276739	  7.31924e-05	  6	  3.35403e-05
10	  0.148096	  0.707107	  0.00175985	  0.000103305	  12	  3.49869e-05
11	  0.23416	  0.894427	  0.000778677	  0.000119244	  12	  4.03849e-05
12	  0.331153	  0.948683	  0.000416969	  5.06151e-05	  12	  1.71421e-05
13	  0.431771	  0.970143	  0.000242853	  2.67793e-05	  12	  9.06947e-06
14	  0.533968	  0.980581	  0.000156478	  1.67404e-05	  12	  5.66956e-06
15	  0.636985	  0.986394	  0.000107301	  1.23456e-05	  12	  4.18115e-06
16	  0.74048	  0.989949	  7.73204e-05	  1.37145e-05	  12	  4.64476e-06
17	  0.844278	  0.992278	  5.78037e-05	  7.89791e-06	  12	  2.67482e-06
18	  0.948278	  0.993884	  4.45448e-05	  7.33471e-06	  12	  2.48408e-06
19	  0.148096	  0	  0.00175985	  4.04451e-05	  6	  1.85339e-05
20	  0.18138	  0.57735	  0.0012485	  5.47581e-05	  12	  1.85452e-05
21	  0.25651	  0.816497	  0.000685318	  6.0979e-05	  12	  2.06521e-05
22	  0.347316	  0.904534	  0.000375577	  3.42883e-05	  12	  1.16126e-05
23	  0.444288	  0.942809	  0.000229579	  1.96537e-05	  12	  6.65623e-06
24	  0.54414	  0.96225	  0.000150265	  2.20981e-05	  12	  7.48407e-06
25	  0.645536	  0.973329	  0.000104283	  1.17415e-05	  12	  3.97654e-06
26	  0.747849	  0.980196	  7.56299e-05	  9.58421e-06	  12	  3.24593e-06
27	  0.850747	  0.984732	  5.6843e-05	  9.34356e-06	  12	  3.16443e-06
28	  0.954042	  0.987878	  4.39402e-05	  6.08303e-06	  12	  2.06017e-06
29	  0.20944	  0	  0.000983009	  2.53599e-05	  6	  1.16211e-05
30	  0.23416	  0.447214	  0.000778677	  3.91861e-05	  12	  1.32714e-05
31	  0.296192	  0.707107	  0.000507056	  4.57052e-05	  12	  1.54792e-05
32	  0.377572	  0.83205	  0.000319571	  3.22127e-05	  12	  1.09097e-05
33	  0.468321	  0.894427	  0.000205981	  2.50114e-05	  12	  8.47076e-06
34	  0.563933	  0.928477	  0.000139283	  9.50371e-06	  12	  3.21867e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.08096e-05	  12	  3.66094e-06
36	  0.762371	  0.961524	  7.24968e-05	  8.35249e-06	  12	  2.82878e-06
37	  0.863541	  0.970143	  5.49714e-05	  3.60731e-06	  12	  1.22171e-06
38	  0.965468	  0.976187	  4.27761e-05	  5.05161e-06	  12	  1.71086e-06
39	  0.23416	  0	  0.000778677	  2.52222e-05	  12	  8.54212e-06
40	  0.25651	  0.408248	  0.000685318	  2.48569e-05	  24	  6.31673e-06
41	  0.314159	  0.666667	  0.000460441	  3.31909e-05	  24	  8.43462e-06
42	  0.391825	  0.801784	  0.000297534	  2.39248e-05	  24	  6.07986e-06
43	  0.479886	  0.872872	  0.000195499	  2.91496e-05	  24	  7.40762e-06
44	  0.573574	  0.912871	  0.00013443	  1.25797e-05	  24	  3.19681e-06
45	  0.670534	  0.937043	  9.6046e-05	  9.18021e-06	  24	  2.33291e-06
46	  0.76953	  0.952579	  7.10354e-05	  8.71177e-06	  24	  2.21387e-06
47	  0.869868	  0.963087	  5.40893e-05	  7.4785e-06	  24	  1.90047e-06
48	  0.971131	  0.970495	  4.22057e-05	  5.3655e-06	  24	  1.3635e-06
49	  0.296192	  0	  0.000507056	  1.41435e-05	  6	  6.48123e-06
50	  0.314159	  0.333333	  0.000460441	  1.82828e-05	  12	  6.19193e-06
51	  0.36276	  0.57735	  0.000343765	  1.59107e-05	  12	  5.38857e-06
52	  0.431771	  0.727607	  0.000242853	  1.92212e-05	  12	  6.50973e-06
53	  0.51302	  0.816497	  0.000170244	  1.85384e-05	  12	  6.27851e-06
54	  0.601569	  0.870388	  0.000121384	  1.31667e-05	  12	  4.45923e-06
55	  0.694632	  0.904534	  8.89354e-05	  1.22077e-05	  12	  4.13446e-06
56	  0.790617	  0.927173	  6.69054e-05	  6.43166e-06	  12	  2.17824e-06
57	  0.888577	  0.942809	  5.15706e-05	  5.93162e-06	  12	  2.00889e-06
58	  0.987924	  0.953998	  4.06016e-05	  3.22349e-06	  12	  1.09172e-06
59	  0.314159	  0	  0.000460441	  1.81244e-05	  6	  8.30548e-06
60	  0.331153	  0.316228	  0.000416969	  1.54656e-05	  12	  5.23782e-06
61	  0.377572	  0.5547	  0.000319571	  2.0584e-05	  12	  6.97127e-06
62	  0.444288	  0.707107	  0.000229579	  1.13997e-05	  12	  3.86079e-06
63	  0.523599	  0.8	  0.000163143	  1.70517e-05	  12	  5.77498e-06
64	  0.610616	  0.857493	  0.000117549	  6.40329e-06	  12	  2.16863e-06
65	  0.702481	  0.894427	  8.67717e-05	  7.7388e-06	  12	  2.62094e-06
66	  0.797522	  0.919145	  6.56259e-05	  7.65622e-06	  12	  2.59297e-06
67	  0.894726	  0.936329	  5.07646e-05	  3.45214e-06	  12	  1.16915e-06
68	  0.993459	  0.948683	  4.00947e-05	  4.59392e-06	  12	  1.55585e-06
69	  0.331153	  0	  0.000416969	  1.16358e-05	  12	  3.94077e-06
70	  0.347316	  0.301511	  0.000375577	  1.10576e-05	  24	  2.81001e-06
71	  0.391825	  0.534522	  0.000297534	  1.15948e-05	  24	  2.94652e-06
72	  0.456463	  0.688247	  0.000217407	  1.96883e-05	  24	  5.00327e-06
