#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00379853	  0.000371832	  3	  0.000233269
1	  0.20944	  1	  0.00134928	  0.000105212	  3	  6.60046e-05
2	  0.314159	  1	  0.000632002	  0.000100406	  3	  6.29895e-05
3	  0.418879	  1	  0.000354209	  1.88909e-05	  3	  1.18512e-05
4	  0.523599	  1	  0.00022393	  5.62243e-06	  3	  3.52723e-06
5	  0.628319	  1	  0.000151731	  2.70421e-05	  3	  1.69649e-05
6	  0.733038	  1	  0.000108477	  1.2381e-05	  3	  7.7672e-06
7	  0.837758	  1	  8.07459e-05	  1.07115e-05	  3	  6.71988e-06
8	  0.942478	  1	  6.20055e-05	  1.62404e-06	  3	  1.01884e-06
9	  0.10472	  0	  0.00379853	  6.30625e-05	  6	  2.88983e-05
10	  0.148096	  0.707107	  0.00241558	  8.94009e-05	  12	  3.02779e-05
11	  0.23416	  0.894427	  0.00106881	  0.000109013	  12	  3.69199e-05
12	  0.331153	  0.948683	  0.000572332	  4.39909e-05	  12	  1.48986e-05
13	  0.431771	  0.970143	  0.00033334	  2.39227e-05	  12	  8.10201e-06
14	  0.533968	  0.980581	  0.000214781	  1.57521e-05	  12	  5.33484e-06
15	  0.636985	  0.986394	  0.000147282	  9.61904e-06	  12	  3.25773e-06
16	  0.74048	  0.989949	  0.00010613	  1.24535e-05	  12	  4.2177e-06
17	  0.844278	  0.992278	  7.93415e-05	  6.04255e-06	  12	  2.04646e-06
18	  0.948278	  0.993884	  6.11422e-05	  5.81982e-06	  12	  1.97103e-06
19	  0.148096	  0	  0.00241558	  3.3453e-05	  6	  1.53298e-05
20	  0.18138	  0.57735	  0.0017137	  4.56644e-05	  12	  1.54654e-05
21	  0.25651	  0.816497	  0.000940668	  5.19541e-05	  12	  1.75956e-05
22	  0.347316	  0.904534	  0.000515517	  3.04396e-05	  12	  1.03091e-05
23	  0.444288	  0.942809	  0.00031512	  2.02881e-05	  12	  6.87107e-06
24	  0.54414	  0.96225	  0.000206254	  1.71423e-05	  12	  5.80568e-06
25	  0.645536	  0.973329	  0.000143139	  1.05748e-05	  12	  3.58141e-06
26	  0.747849	  0.980196	  0.00010381	  6.80601e-06	  12	  2.30503e-06
27	  0.850747	  0.984732	  7.80228e-05	  7.7231e-06	  12	  2.61562e-06
28	  0.954042	  0.987878	  6.03124e-05	  5.60138e-06	  12	  1.89705e-06
29	  0.20944	  0	  0.00134928	  2.07717e-05	  6	  9.51858e-06
30	  0.23416	  0.447214	  0.00106881	  3.44539e-05	  12	  1.16687e-05
31	  0.296192	  0.707107	  0.000695986	  4.13912e-05	  12	  1.40182e-05
32	  0.377572	  0.83205	  0.000438644	  2.78456e-05	  12	  9.43062e-06
33	  0.468321	  0.894427	  0.00028273	  2.2319e-05	  12	  7.5589e-06
34	  0.563933	  0.928477	  0.000191181	  8.64391e-06	  12	  2.92748e-06
35	  0.662306	  0.948683	  0.000135378	  8.58597e-06	  12	  2.90786e-06
36	  0.762371	  0.961524	  9.95093e-05	  8.85806e-06	  12	  3.00001e-06
37	  0.863541	  0.970143	  7.54539e-05	  2.37795e-06	  12	  8.05353e-07
38	  0.965468	  0.976187	  5.87146e-05	  3.86262e-06	  12	  1.30817e-06
39	  0.23416	  0	  0.00106881	  2.13425e-05	  12	  7.22817e-06
40	  0.25651	  0.408248	  0.000940668	  2.06657e-05	  24	  5.25164e-06
41	  0.314159	  0.666667	  0.000632002	  2.85e-05	  24	  7.24255e-06
42	  0.391825	  0.801784	  0.000408396	  2.08455e-05	  24	  5.29734e-06
43	  0.479886	  0.872872	  0.000268343	  2.40651e-05	  24	  6.11553e-06
44	  0.573574	  0.912871	  0.000184519	  1.0893e-05	  24	  2.76817e-06
45	  0.670534	  0.937043	  0.000131833	  7.16138e-06	  24	  1.81988e-06
46	  0.76953	  0.952579	  9.75033e-05	  6.92317e-06	  24	  1.75934e-06
47	  0.869868	  0.963087	  7.4243e-05	  5.57754e-06	  24	  1.41739e-06
48	  0.971131	  0.970495	  5.79317e-05	  4.58065e-06	  24	  1.16405e-06
49	  0.296192	  0	  0.000695986	  1.22301e-05	  6	  5.60442e-06
50	  0.314159	  0.333333	  0.000632002	  1.56004e-05	  12	  5.28348e-06
51	  0.36276	  0.57735	  0.000471853	  1.32955e-05	  12	  4.50286e-06
52	  0.431771	  0.727607	  0.00033334	  1.71889e-05	  12	  5.82145e-06
53	  0.51302	  0.816497	  0.000233677	  1.49213e-05	  12	  5.05346e-06
54	  0.601569	  0.870388	  0.000166611	  1.15397e-05	  12	  3.90822e-06
55	  0.694632	  0.904534	  0.000122073	  1.15173e-05	  12	  3.90062e-06
56	  0.790617	  0.927173	  9.18345e-05	  6.26233e-06	  12	  2.1209e-06
57	  0.888577	  0.942809	  7.0786e-05	  4.8925e-06	  12	  1.65697e-06
58	  0.987924	  0.953998	  5.57298e-05	  2.30408e-06	  12	  7.80334e-07
59	  0.314159	  0	  0.000632002	  1.62032e-05	  6	  7.42509e-06
60	  0.331153	  0.316228	  0.000572332	  1.2635e-05	  12	  4.27917e-06
61	  0.377572	  0.5547	  0.000438644	  1.80469e-05	  12	  6.11204e-06
62	  0.444288	  0.707107	  0.00031512	  9.56054e-06	  12	  3.23792e-06
63	  0.523599	  0.8	  0.00022393	  1.45152e-05	  12	  4.91594e-06
64	  0.610616	  0.857493	  0.000161348	  6.06533e-06	  12	  2.05418e-06
65	  0.702481	  0.894427	  0.000119103	  7.22082e-06	  12	  2.44551e-06
66	  0.797522	  0.919145	  9.00783e-05	  6.2501e-06	  12	  2.11675e-06
67	  0.894726	  0.936329	  6.96796e-05	  3.18526e-06	  12	  1.07877e-06
68	  0.993459	  0.948683	  5.50341e-05	  3.8747e-06	  12	  1.31226e-06
69	  0.331153	  0	  0.000572332	  9.89676e-06	  12	  3.35178e-06
70	  0.347316	  0.301511	  0.000515517	  9.17652e-06	  24	  2.33197e-06
71	  0.391825	  0.534522	  0.000408396	  9.6702e-06	  24	  2.45743e-06
