#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000689107	  3	  0.000432311
1	  0.20944	  1	  0.000983009	  0.000200719	  3	  0.000125921
2	  0.314159	  1	  0.000460441	  0.000179511	  3	  0.000112617
3	  0.418879	  1	  0.000258057	  3.06167e-05	  3	  1.92074e-05
4	  0.523599	  1	  0.000163143	  1.20273e-05	  3	  7.54535e-06
5	  0.628319	  1	  0.000110542	  6.42438e-05	  3	  4.03034e-05
6	  0.733038	  1	  7.90303e-05	  2.50304e-05	  3	  1.57028e-05
7	  0.837758	  1	  5.88269e-05	  1.87628e-05	  3	  1.17708e-05
8	  0.942478	  1	  4.51737e-05	  3.48678e-06	  3	  2.18743e-06
9	  0.10472	  0	  0.00276739	  0.00012112	  6	  5.55032e-05
10	  0.148096	  0.707107	  0.00175985	  0.000171195	  12	  5.79795e-05
11	  0.23416	  0.894427	  0.000778677	  0.000201883	  12	  6.83727e-05
12	  0.331153	  0.948683	  0.000416969	  8.57494e-05	  12	  2.90412e-05
13	  0.431771	  0.970143	  0.000242853	  4.17048e-05	  12	  1.41244e-05
14	  0.533968	  0.980581	  0.000156478	  2.76795e-05	  12	  9.37434e-06
15	  0.636985	  0.986394	  0.000107301	  2.00041e-05	  12	  6.7749e-06
16	  0.74048	  0.989949	  7.73204e-05	  2.1531e-05	  12	  7.292e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.29975e-05	  12	  4.40193e-06
18	  0.948278	  0.993884	  4.45448e-05	  1.21019e-05	  12	  4.09863e-06
19	  0.148096	  0	  0.00175985	  6.92612e-05	  6	  3.17388e-05
20	  0.18138	  0.57735	  0.0012485	  9.63974e-05	  12	  3.26474e-05
21	  0.25651	  0.816497	  0.000685318	  0.000103747	  12	  3.51367e-05
22	  0.347316	  0.904534	  0.000375577	  5.67922e-05	  12	  1.92341e-05
23	  0.444288	  0.942809	  0.000229579	  3.24822e-05	  12	  1.10009e-05
24	  0.54414	  0.96225	  0.000150265	  3.57602e-05	  12	  1.21111e-05
25	  0.645536	  0.973329	  0.000104283	  1.90614e-05	  12	  6.45563e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.5855e-05	  12	  5.36968e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.56856e-05	  12	  5.31231e-06
28	  0.954042	  0.987878	  4.39402e-05	  1.03739e-05	  12	  3.51338e-06
29	  0.20944	  0	  0.000983009	  4.17317e-05	  6	  1.91235e-05
30	  0.23416	  0.447214	  0.000778677	  6.52882e-05	  12	  2.21115e-05
31	  0.296192	  0.707107	  0.000507056	  7.51887e-05	  12	  2.54645e-05
32	  0.377572	  0.83205	  0.000319571	  5.3547e-05	  12	  1.8135e-05
33	  0.468321	  0.894427	  0.000205981	  4.31257e-05	  12	  1.46056e-05
34	  0.563933	  0.928477	  0.000139283	  1.4794e-05	  12	  5.01035e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.7339e-05	  12	  5.87229e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.33578e-05	  12	  4.52395e-06
37	  0.863541	  0.970143	  5.49714e-05	  6.1029e-06	  12	  2.0669e-06
38	  0.965468	  0.976187	  4.27761e-05	  7.96912e-06	  12	  2.69894e-06
39	  0.23416	  0	  0.000778677	  4.31672e-05	  12	  1.46196e-05
40	  0.25651	  0.408248	  0.000685318	  4.25473e-05	  24	  1.08123e-05
41	  0.314159	  0.666667	  0.000460441	  5.60923e-05	  24	  1.42544e-05
42	  0.391825	  0.801784	  0.000297534	  3.91926e-05	  24	  9.95979e-06
43	  0.479886	  0.872872	  0.000195499	  4.86269e-05	  24	  1.23573e-05
44	  0.573574	  0.912871	  0.00013443	  2.0956e-05	  24	  5.32542e-06
45	  0.670534	  0.937043	  9.6046e-05	  1.46124e-05	  24	  3.71337e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.42788e-05	  24	  3.6286e-06
47	  0.869868	  0.963087	  5.40893e-05	  1.21738e-05	  24	  3.09367e-06
48	  0.971131	  0.970495	  4.22057e-05	  8.64988e-06	  24	  2.19814e-06
49	  0.296192	  0	  0.000507056	  2.41173e-05	  6	  1.10517e-05
50	  0.314159	  0.333333	  0.000460441	  3.14862e-05	  12	  1.06636e-05
51	  0.36276	  0.57735	  0.000343765	  2.72805e-05	  12	  9.23924e-06
52	  0.431771	  0.727607	  0.000242853	  3.30715e-05	  12	  1.12005e-05
53	  0.51302	  0.816497	  0.000170244	  3.09294e-05	  12	  1.0475e-05
54	  0.601569	  0.870388	  0.000121384	  2.10594e-05	  12	  7.13229e-06
55	  0.694632	  0.904534	  8.89354e-05	  2.022e-05	  12	  6.84801e-06
56	  0.790617	  0.927173	  6.69054e-05	  1.01467e-05	  12	  3.43642e-06
57	  0.888577	  0.942809	  5.15706e-05	  9.70164e-06	  12	  3.2857e-06
58	  0.987924	  0.953998	  4.06016e-05	  5.50008e-06	  12	  1.86274e-06
59	  0.314159	  0	  0.000460441	  2.92607e-05	  6	  1.34087e-05
60	  0.331153	  0.316228	  0.000416969	  2.74421e-05	  12	  9.29395e-06
61	  0.377572	  0.5547	  0.000319571	  3.47815e-05	  12	  1.17796e-05
62	  0.444288	  0.707107	  0.000229579	  1.97316e-05	  12	  6.68262e-06
63	  0.523599	  0.8	  0.000163143	  2.86677e-05	  12	  9.70903e-06
64	  0.610616	  0.857493	  0.000117549	  1.01571e-05	  12	  3.43997e-06
65	  0.702481	  0.894427	  8.67717e-05	  1.20013e-05	  12	  4.06453e-06
66	  0.797522	  0.919145	  6.56259e-05	  1.19904e-05	  12	  4.06085e-06
67	  0.894726	  0.936329	  5.07646e-05	  5.7366e-06	  12	  1.94284e-06
68	  0.993459	  0.948683	  4.00947e-05	  7.79193e-06	  12	  2.63893e-06
69	  0.331153	  0	  0.000416969	  1.94893e-05	  12	  6.60055e-06
70	  0.347316	  0.301511	  0.000375577	  1.86516e-05	  24	  4.73983e-06
71	  0.391825	  0.534522	  0.000297534	  1.8558e-05	  24	  4.71603e-06
72	  0.456463	  0.688247	  0.000217407	  3.32139e-05	  24	  8.44046e-06
73	  0.533968	  0.784465	  0.000156478	  1.69962e-05	  24	  4.31914e-06
