#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00306127	  0.000608367	  3	  0.000381659
1	  0.20944	  1	  0.0010874	  0.00017625	  3	  0.00011057
2	  0.314159	  1	  0.000509336	  0.000159941	  3	  0.000100339
3	  0.418879	  1	  0.00028546	  2.83547e-05	  3	  1.77883e-05
4	  0.523599	  1	  0.000180467	  1.01625e-05	  3	  6.37545e-06
5	  0.628319	  1	  0.000122281	  5.34764e-05	  3	  3.35485e-05
6	  0.733038	  1	  8.74227e-05	  2.22635e-05	  3	  1.3967e-05
7	  0.837758	  1	  6.50738e-05	  1.71613e-05	  3	  1.07661e-05
8	  0.942478	  1	  4.99708e-05	  2.84861e-06	  3	  1.78708e-06
9	  0.10472	  0	  0.00306127	  0.000110726	  6	  5.07398e-05
10	  0.148096	  0.707107	  0.00194673	  0.000151767	  12	  5.13998e-05
11	  0.23416	  0.894427	  0.000861366	  0.000179324	  12	  6.07324e-05
12	  0.331153	  0.948683	  0.000461248	  7.45936e-05	  12	  2.5263e-05
13	  0.431771	  0.970143	  0.000268642	  3.77563e-05	  12	  1.27871e-05
14	  0.533968	  0.980581	  0.000173094	  2.48405e-05	  12	  8.41284e-06
15	  0.636985	  0.986394	  0.000118696	  1.69721e-05	  12	  5.74804e-06
16	  0.74048	  0.989949	  8.55312e-05	  1.97337e-05	  12	  6.68332e-06
17	  0.844278	  0.992278	  6.3942e-05	  1.10473e-05	  12	  3.74145e-06
18	  0.948278	  0.993884	  4.92751e-05	  1.04663e-05	  12	  3.54468e-06
19	  0.148096	  0	  0.00194673	  6.17459e-05	  6	  2.8295e-05
20	  0.18138	  0.57735	  0.00138108	  8.43514e-05	  12	  2.85677e-05
21	  0.25651	  0.816497	  0.000758093	  9.04336e-05	  12	  3.06276e-05
22	  0.347316	  0.904534	  0.00041546	  4.99438e-05	  12	  1.69147e-05
23	  0.444288	  0.942809	  0.000253958	  2.99857e-05	  12	  1.01554e-05
24	  0.54414	  0.96225	  0.000166222	  3.05877e-05	  12	  1.03593e-05
25	  0.645536	  0.973329	  0.000115357	  1.72833e-05	  12	  5.85342e-06
26	  0.747849	  0.980196	  8.36612e-05	  1.3061e-05	  12	  4.42343e-06
27	  0.850747	  0.984732	  6.28792e-05	  1.35508e-05	  12	  4.58934e-06
28	  0.954042	  0.987878	  4.86063e-05	  9.45385e-06	  12	  3.20178e-06
29	  0.20944	  0	  0.0010874	  3.7228e-05	  6	  1.70597e-05
30	  0.23416	  0.447214	  0.000861366	  5.88071e-05	  12	  1.99165e-05
31	  0.296192	  0.707107	  0.000560902	  6.75046e-05	  12	  2.28621e-05
32	  0.377572	  0.83205	  0.000353507	  4.70269e-05	  12	  1.59269e-05
33	  0.468321	  0.894427	  0.000227855	  3.79997e-05	  12	  1.28696e-05
34	  0.563933	  0.928477	  0.000154074	  1.34617e-05	  12	  4.55915e-06
35	  0.662306	  0.948683	  0.000109103	  1.49833e-05	  12	  5.07449e-06
36	  0.762371	  0.961524	  8.01954e-05	  1.28169e-05	  12	  4.34076e-06
37	  0.863541	  0.970143	  6.0809e-05	  4.96737e-06	  12	  1.68232e-06
38	  0.965468	  0.976187	  4.73186e-05	  6.94803e-06	  12	  2.35313e-06
39	  0.23416	  0	  0.000861366	  3.83599e-05	  12	  1.29916e-05
40	  0.25651	  0.408248	  0.000758093	  3.74284e-05	  24	  9.51146e-06
41	  0.314159	  0.666667	  0.000509336	  4.95886e-05	  24	  1.26016e-05
42	  0.391825	  0.801784	  0.00032913	  3.47007e-05	  24	  8.81827e-06
43	  0.479886	  0.872872	  0.00021626	  4.23675e-05	  24	  1.07666e-05
44	  0.573574	  0.912871	  0.000148705	  1.8304e-05	  24	  4.65149e-06
45	  0.670534	  0.937043	  0.000106245	  1.26393e-05	  24	  3.21196e-06
46	  0.76953	  0.952579	  7.85788e-05	  1.23681e-05	  24	  3.14304e-06
