#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000701391	  3	  0.000440018
1	  0.20944	  1	  0.000983009	  0.000204549	  3	  0.000128324
2	  0.314159	  1	  0.000460441	  0.000182953	  3	  0.000114775
3	  0.418879	  1	  0.000258057	  3.12628e-05	  3	  1.96127e-05
4	  0.523599	  1	  0.000163143	  1.24614e-05	  3	  7.81768e-06
5	  0.628319	  1	  0.000110542	  6.56859e-05	  3	  4.12081e-05
6	  0.733038	  1	  7.90303e-05	  2.57968e-05	  3	  1.61836e-05
7	  0.837758	  1	  5.88269e-05	  1.92176e-05	  3	  1.20562e-05
8	  0.942478	  1	  4.51737e-05	  3.56126e-06	  3	  2.23416e-06
9	  0.10472	  0	  0.00276739	  0.000128704	  6	  5.89782e-05
10	  0.148096	  0.707107	  0.00175985	  0.00017677	  12	  5.98677e-05
11	  0.23416	  0.894427	  0.000778677	  0.000206989	  12	  7.0102e-05
12	  0.331153	  0.948683	  0.000416969	  8.76903e-05	  12	  2.96985e-05
13	  0.431771	  0.970143	  0.000242853	  4.23447e-05	  12	  1.43411e-05
14	  0.533968	  0.980581	  0.000156478	  2.83025e-05	  12	  9.58537e-06
15	  0.636985	  0.986394	  0.000107301	  2.04571e-05	  12	  6.92831e-06
16	  0.74048	  0.989949	  7.73204e-05	  2.20596e-05	  12	  7.47103e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.33469e-05	  12	  4.52027e-06
18	  0.948278	  0.993884	  4.45448e-05	  1.24542e-05	  12	  4.21794e-06
19	  0.148096	  0	  0.00175985	  7.37325e-05	  6	  3.37878e-05
20	  0.18138	  0.57735	  0.0012485	  0.000100976	  12	  3.41981e-05
21	  0.25651	  0.816497	  0.000685318	  0.00010672	  12	  3.61435e-05
22	  0.347316	  0.904534	  0.000375577	  5.79966e-05	  12	  1.9642e-05
23	  0.444288	  0.942809	  0.000229579	  3.32635e-05	  12	  1.12655e-05
24	  0.54414	  0.96225	  0.000150265	  3.64967e-05	  12	  1.23605e-05
25	  0.645536	  0.973329	  0.000104283	  1.9573e-05	  12	  6.62888e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.62348e-05	  12	  5.49833e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.6143e-05	  12	  5.46724e-06
28	  0.954042	  0.987878	  4.39402e-05	  1.07395e-05	  12	  3.6372e-06
29	  0.20944	  0	  0.000983009	  4.3882e-05	  6	  2.01089e-05
30	  0.23416	  0.447214	  0.000778677	  6.83627e-05	  12	  2.31528e-05
31	  0.296192	  0.707107	  0.000507056	  7.76121e-05	  12	  2.62853e-05
32	  0.377572	  0.83205	  0.000319571	  5.50249e-05	  12	  1.86356e-05
33	  0.468321	  0.894427	  0.000205981	  4.44546e-05	  12	  1.50557e-05
34	  0.563933	  0.928477	  0.000139283	  1.51264e-05	  12	  5.12293e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.77063e-05	  12	  5.99669e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.37139e-05	  12	  4.64454e-06
37	  0.863541	  0.970143	  5.49714e-05	  6.27604e-06	  12	  2.12554e-06
38	  0.965468	  0.976187	  4.27761e-05	  8.13004e-06	  12	  2.75344e-06
39	  0.23416	  0	  0.000778677	  4.58354e-05	  12	  1.55233e-05
40	  0.25651	  0.408248	  0.000685318	  4.47287e-05	  24	  1.13667e-05
41	  0.314159	  0.666667	  0.000460441	  5.80641e-05	  24	  1.47555e-05
42	  0.391825	  0.801784	  0.000297534	  4.02219e-05	  24	  1.02214e-05
43	  0.479886	  0.872872	  0.000195499	  5.00273e-05	  24	  1.27132e-05
44	  0.573574	  0.912871	  0.00013443	  2.14622e-05	  24	  5.45407e-06
45	  0.670534	  0.937043	  9.6046e-05	  1.49129e-05	  24	  3.78972e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.46804e-05	  24	  3.73065e-06
47	  0.869868	  0.963087	  5.40893e-05	  1.24993e-05	  24	  3.17638e-06
48	  0.971131	  0.970495	  4.22057e-05	  8.86267e-06	  24	  2.25222e-06
49	  0.296192	  0	  0.000507056	  2.55454e-05	  6	  1.17061e-05
