#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00379853	  0.000355407	  3	  0.000222965
1	  0.20944	  1	  0.00134928	  0.000100483	  3	  6.30378e-05
2	  0.314159	  1	  0.000632002	  9.68333e-05	  3	  6.07484e-05
3	  0.418879	  1	  0.000354209	  1.80448e-05	  3	  1.13204e-05
4	  0.523599	  1	  0.00022393	  5.56414e-06	  3	  3.49066e-06
5	  0.628319	  1	  0.000151731	  2.60256e-05	  3	  1.63272e-05
6	  0.733038	  1	  0.000108477	  1.23256e-05	  3	  7.73248e-06
7	  0.837758	  1	  8.07459e-05	  1.06648e-05	  3	  6.69059e-06
8	  0.942478	  1	  6.20055e-05	  1.57673e-06	  3	  9.89162e-07
9	  0.10472	  0	  0.00379853	  6.05161e-05	  6	  2.77314e-05
10	  0.148096	  0.707107	  0.00241558	  8.55368e-05	  12	  2.89692e-05
11	  0.23416	  0.894427	  0.00106881	  0.000105272	  12	  3.56529e-05
12	  0.331153	  0.948683	  0.000572332	  4.2311e-05	  12	  1.43297e-05
13	  0.431771	  0.970143	  0.00033334	  2.25185e-05	  12	  7.62646e-06
14	  0.533968	  0.980581	  0.000214781	  1.52387e-05	  12	  5.16097e-06
15	  0.636985	  0.986394	  0.000147282	  9.20625e-06	  12	  3.11793e-06
16	  0.74048	  0.989949	  0.00010613	  1.20813e-05	  12	  4.09163e-06
17	  0.844278	  0.992278	  7.93415e-05	  5.95857e-06	  12	  2.01802e-06
18	  0.948278	  0.993884	  6.11422e-05	  5.63635e-06	  12	  1.90889e-06
19	  0.148096	  0	  0.00241558	  3.21977e-05	  6	  1.47546e-05
20	  0.18138	  0.57735	  0.0017137	  4.49105e-05	  12	  1.52101e-05
21	  0.25651	  0.816497	  0.000940668	  5.0143e-05	  12	  1.69822e-05
22	  0.347316	  0.904534	  0.000515517	  2.90452e-05	  12	  9.83689e-06
23	  0.444288	  0.942809	  0.00031512	  1.96932e-05	  12	  6.66959e-06
24	  0.54414	  0.96225	  0.000206254	  1.64621e-05	  12	  5.57532e-06
25	  0.645536	  0.973329	  0.000143139	  1.02763e-05	  12	  3.48031e-06
26	  0.747849	  0.980196	  0.00010381	  6.58896e-06	  12	  2.23152e-06
27	  0.850747	  0.984732	  7.80228e-05	  7.54938e-06	  12	  2.55679e-06
28	  0.954042	  0.987878	  6.03124e-05	  5.5954e-06	  12	  1.89502e-06
29	  0.20944	  0	  0.00134928	  1.95323e-05	  6	  8.95062e-06
30	  0.23416	  0.447214	  0.00106881	  3.31902e-05	  12	  1.12407e-05
31	  0.296192	  0.707107	  0.000695986	  3.98324e-05	  12	  1.34902e-05
32	  0.377572	  0.83205	  0.000438644	  2.69142e-05	  12	  9.11517e-06
33	  0.468321	  0.894427	  0.00028273	  2.1846e-05	  12	  7.39869e-06
34	  0.563933	  0.928477	  0.000191181	  8.24632e-06	  12	  2.79282e-06
35	  0.662306	  0.948683	  0.000135378	  8.21033e-06	  12	  2.78063e-06
36	  0.762371	  0.961524	  9.95093e-05	  8.52769e-06	  12	  2.88812e-06
37	  0.863541	  0.970143	  7.54539e-05	  2.36298e-06	  12	  8.00284e-07
38	  0.965468	  0.976187	  5.87146e-05	  3.74142e-06	  12	  1.26713e-06
39	  0.23416	  0	  0.00106881	  2.0751e-05	  12	  7.02786e-06
40	  0.25651	  0.408248	  0.000940668	  2.00473e-05	  24	  5.09451e-06
41	  0.314159	  0.666667	  0.000632002	  2.73958e-05	  24	  6.96193e-06
42	  0.391825	  0.801784	  0.000408396	  1.99111e-05	  24	  5.05988e-06
43	  0.479886	  0.872872	  0.000268343	  2.32671e-05	  24	  5.91273e-06
44	  0.573574	  0.912871	  0.000184519	  1.05396e-05	  24	  2.67837e-06
45	  0.670534	  0.937043	  0.000131833	  6.86779e-06	  24	  1.74527e-06
46	  0.76953	  0.952579	  9.75033e-05	  6.76394e-06	  24	  1.71888e-06
