#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000616093	  3	  0.000386506
1	  0.20944	  1	  0.000983009	  0.000181157	  3	  0.000113649
2	  0.314159	  1	  0.000460441	  0.000163762	  3	  0.000102736
3	  0.418879	  1	  0.000258057	  2.7768e-05	  3	  1.74202e-05
4	  0.523599	  1	  0.000163143	  1.13869e-05	  3	  7.1436e-06
5	  0.628319	  1	  0.000110542	  5.84142e-05	  3	  3.66462e-05
6	  0.733038	  1	  7.90303e-05	  2.31722e-05	  3	  1.45371e-05
7	  0.837758	  1	  5.88269e-05	  1.75269e-05	  3	  1.09955e-05
8	  0.942478	  1	  4.51737e-05	  3.0009e-06	  3	  1.88262e-06
9	  0.10472	  0	  0.00276739	  0.000124873	  6	  5.72228e-05
10	  0.148096	  0.707107	  0.00175985	  0.000161392	  12	  5.46594e-05
11	  0.23416	  0.894427	  0.000778677	  0.000186447	  12	  6.31448e-05
12	  0.331153	  0.948683	  0.000416969	  7.82735e-05	  12	  2.65093e-05
13	  0.431771	  0.970143	  0.000242853	  3.69823e-05	  12	  1.2525e-05
14	  0.533968	  0.980581	  0.000156478	  2.53287e-05	  12	  8.5782e-06
15	  0.636985	  0.986394	  0.000107301	  1.82934e-05	  12	  6.19553e-06
16	  0.74048	  0.989949	  7.73204e-05	  1.98811e-05	  12	  6.73322e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.21084e-05	  12	  4.10082e-06
18	  0.948278	  0.993884	  4.45448e-05	  1.14075e-05	  12	  3.86344e-06
19	  0.148096	  0	  0.00175985	  7.21274e-05	  6	  3.30523e-05
20	  0.18138	  0.57735	  0.0012485	  9.52934e-05	  12	  3.22735e-05
21	  0.25651	  0.816497	  0.000685318	  9.71115e-05	  12	  3.28892e-05
22	  0.347316	  0.904534	  0.000375577	  5.17294e-05	  12	  1.75195e-05
23	  0.444288	  0.942809	  0.000229579	  3.03314e-05	  12	  1.02725e-05
24	  0.54414	  0.96225	  0.000150265	  3.2629e-05	  12	  1.10506e-05
25	  0.645536	  0.973329	  0.000104283	  1.76939e-05	  12	  5.99248e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.46047e-05	  12	  4.94625e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.46535e-05	  12	  4.96279e-06
28	  0.954042	  0.987878	  4.39402e-05	  9.83521e-06	  12	  3.33094e-06
29	  0.20944	  0	  0.000983009	  4.14299e-05	  6	  1.89852e-05
30	  0.23416	  0.447214	  0.000778677	  6.46466e-05	  12	  2.18942e-05
31	  0.296192	  0.707107	  0.000507056	  7.18285e-05	  12	  2.43265e-05
32	  0.377572	  0.83205	  0.000319571	  4.99379e-05	  12	  1.69127e-05
33	  0.468321	  0.894427	  0.000205981	  4.04104e-05	  12	  1.3686e-05
34	  0.563933	  0.928477	  0.000139283	  1.3622e-05	  12	  4.61342e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.58484e-05	  12	  5.36746e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.24403e-05	  12	  4.21322e-06
37	  0.863541	  0.970143	  5.49714e-05	  5.73583e-06	  12	  1.94258e-06
38	  0.965468	  0.976187	  4.27761e-05	  7.29284e-06	  12	  2.4699e-06
39	  0.23416	  0	  0.000778677	  4.49265e-05	  12	  1.52155e-05
40	  0.25651	  0.408248	  0.000685318	  4.2643e-05	  24	  1.08366e-05
41	  0.314159	  0.666667	  0.000460441	  5.30617e-05	  24	  1.34842e-05
42	  0.391825	  0.801784	  0.000297534	  3.63929e-05	  24	  9.24832e-06
43	  0.479886	  0.872872	  0.000195499	  4.53576e-05	  24	  1.15265e-05
44	  0.573574	  0.912871	  0.00013443	  1.94845e-05	  24	  4.95147e-06
45	  0.670534	  0.937043	  9.6046e-05	  1.34594e-05	  24	  3.42035e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.3382e-05	  24	  3.4007e-06
47	  0.869868	  0.963087	  5.40893e-05	  1.13052e-05	  24	  2.87291e-06
48	  0.971131	  0.970495	  4.22057e-05	  8.01136e-06	  24	  2.03588e-06
49	  0.296192	  0	  0.000507056	  2.50294e-05	  6	  1.14697e-05
50	  0.314159	  0.333333	  0.000460441	  3.18346e-05	  12	  1.07816e-05
51	  0.36276	  0.57735	  0.000343765	  2.63207e-05	  12	  8.91417e-06
52	  0.431771	  0.727607	  0.000242853	  3.12779e-05	  12	  1.0593e-05
53	  0.51302	  0.816497	  0.000170244	  2.89438e-05	  12	  9.80253e-06
54	  0.601569	  0.870388	  0.000121384	  1.94934e-05	  12	  6.60195e-06
55	  0.694632	  0.904534	  8.89354e-05	  1.87188e-05	  12	  6.3396e-06
56	  0.790617	  0.927173	  6.69054e-05	  9.25418e-06	  12	  3.13416e-06
57	  0.888577	  0.942809	  5.15706e-05	  9.13355e-06	  12	  3.09331e-06
58	  0.987924	  0.953998	  4.06016e-05	  5.32016e-06	  12	  1.80181e-06
59	  0.314159	  0	  0.000460441	  3.04363e-05	  6	  1.39474e-05
60	  0.331153	  0.316228	  0.000416969	  2.77152e-05	  12	  9.38645e-06
61	  0.377572	  0.5547	  0.000319571	  3.33349e-05	  12	  1.12897e-05
62	  0.444288	  0.707107	  0.000229579	  1.8511e-05	  12	  6.2692e-06
63	  0.523599	  0.8	  0.000163143	  2.67752e-05	  12	  9.06808e-06
64	  0.610616	  0.857493	  0.000117549	  9.53885e-06	  12	  3.23057e-06
65	  0.702481	  0.894427	  8.67717e-05	  1.12275e-05	  12	  3.80248e-06
66	  0.797522	  0.919145	  6.56259e-05	  1.09574e-05	  12	  3.71099e-06
67	  0.894726	  0.936329	  5.07646e-05	  5.42543e-06	  12	  1.83746e-06
68	  0.993459	  0.948683	  4.00947e-05	  7.28686e-06	  12	  2.46788e-06
