#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.0523599	  1	  0.00088509	  0.00016224	  3	  0.000101782
1	  0.10472	  1	  0.000382659	  6.33701e-05	  3	  3.97552e-05
2	  0.15708	  1	  0.000212571	  5.19319e-05	  3	  3.25795e-05
3	  0.20944	  1	  0.000135925	  1.25004e-05	  3	  7.84213e-06
4	  0.261799	  1	  9.13056e-05	  1.01407e-05	  3	  6.36178e-06
5	  0.314159	  1	  6.3667e-05	  3.06198e-05	  3	  1.92093e-05
6	  0.366519	  1	  4.66374e-05	  5.33932e-06	  3	  3.34962e-06
7	  0.418879	  1	  3.56825e-05	  3.86827e-06	  3	  2.42676e-06
8	  0.471239	  1	  2.81005e-05	  6.41346e-06	  3	  4.02349e-06
9	  0.0523599	  0	  0.00088509	  2.7777e-05	  6	  1.27288e-05
10	  0.074048	  0.707107	  0.000681622	  5.48142e-05	  12	  1.85642e-05
11	  0.11708	  0.894427	  0.000342688	  5.79547e-05	  12	  1.96278e-05
12	  0.165576	  0.948683	  0.000192505	  3.13784e-05	  12	  1.06271e-05
13	  0.215885	  0.970143	  0.000126391	  1.62218e-05	  12	  5.49393e-06
14	  0.266984	  0.980581	  8.77028e-05	  1.06987e-05	  12	  3.6234e-06
15	  0.318493	  0.986394	  6.21954e-05	  1.17756e-05	  12	  3.9881e-06
16	  0.37024	  0.989949	  4.57865e-05	  7.09373e-06	  12	  2.40247e-06
17	  0.422139	  0.992278	  3.51333e-05	  6.74459e-06	  12	  2.28422e-06
18	  0.474139	  0.993884	  2.77372e-05	  5.69919e-06	  12	  1.93017e-06
19	  0.074048	  0	  0.000681622	  2.08135e-05	  6	  9.53775e-06
20	  0.09069	  0.57735	  0.00048935	  2.88916e-05	  12	  9.78486e-06
21	  0.128255	  0.816497	  0.000315526	  3.64918e-05	  12	  1.23589e-05
22	  0.173658	  0.904534	  0.000180501	  2.17971e-05	  12	  7.38213e-06
23	  0.222144	  0.942809	  0.000118502	  1.02735e-05	  12	  3.47939e-06
24	  0.27207	  0.96225	  8.41002e-05	  1.86168e-05	  12	  6.30504e-06
25	  0.322768	  0.973329	  6.07136e-05	  6.41495e-06	  12	  2.17259e-06
26	  0.373924	  0.980196	  4.49758e-05	  9.17098e-06	  12	  3.10598e-06
27	  0.425374	  0.984732	  3.45883e-05	  5.74477e-06	  12	  1.94561e-06
