#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.0785398	  1	  0.00192216	  0.000478712	  3	  0.00030032
1	  0.15708	  1	  0.000648557	  0.000134912	  3	  8.46369e-05
2	  0.235619	  1	  0.00032561	  0.00011759	  3	  7.37702e-05
3	  0.314159	  1	  0.000194249	  2.22034e-05	  3	  1.39293e-05
4	  0.392699	  1	  0.000124951	  1.24188e-05	  3	  7.79095e-06
5	  0.471239	  1	  8.5735e-05	  5.45138e-05	  3	  3.41992e-05
6	  0.549779	  1	  6.20276e-05	  1.53426e-05	  3	  9.6252e-06
7	  0.628319	  1	  4.66351e-05	  1.11101e-05	  3	  6.96991e-06
8	  0.706858	  1	  3.61141e-05	  5.13405e-06	  3	  3.22085e-06
9	  0.0785398	  0	  0.00192216	  9.08737e-05	  6	  4.16427e-05
10	  0.111072	  0.707107	  0.00109331	  0.00010909	  12	  3.69459e-05
11	  0.17562	  0.894427	  0.000544248	  0.000131903	  12	  4.46724e-05
12	  0.248365	  0.948683	  0.000303596	  6.32007e-05	  12	  2.14045e-05
13	  0.323828	  0.970143	  0.00018407	  2.98815e-05	  12	  1.01201e-05
14	  0.400476	  0.980581	  0.000119896	  1.9801e-05	  12	  6.7061e-06
15	  0.477739	  0.986394	  8.32795e-05	  1.84201e-05	  12	  6.23842e-06
16	  0.55536	  0.989949	  6.0696e-05	  1.532e-05	  12	  5.18849e-06
17	  0.633208	  0.992278	  4.58636e-05	  1.11396e-05	  12	  3.7727e-06
18	  0.711208	  0.993884	  3.56376e-05	  9.54724e-06	  12	  3.23341e-06
19	  0.111072	  0	  0.00109331	  4.52446e-05	  6	  2.07333e-05
20	  0.136035	  0.57735	  0.000885248	  7.26078e-05	  12	  2.45904e-05
21	  0.192382	  0.816497	  0.000491269	  7.54153e-05	  12	  2.55413e-05
22	  0.260487	  0.904534	  0.000281296	  4.31934e-05	  12	  1.46285e-05
23	  0.333216	  0.942809	  0.000173575	  2.12432e-05	  12	  7.19454e-06
24	  0.408105	  0.96225	  0.000115119	  3.0643e-05	  12	  1.0378e-05
25	  0.484152	  0.973329	  8.09515e-05	  1.33154e-05	  12	  4.5096e-06
26	  0.560886	  0.980196	  5.94481e-05	  1.46308e-05	  12	  4.95508e-06
27	  0.63806	  0.984732	  4.51041e-05	  1.20351e-05	  12	  4.07599e-06
28	  0.715532	  0.987878	  3.51641e-05	  6.33075e-06	  12	  2.14407e-06
29	  0.15708	  0	  0.000648557	  3.01294e-05	  6	  1.38067e-05
30	  0.17562	  0.447214	  0.000544248	  4.53207e-05	  12	  1.5349e-05
31	  0.222144	  0.707107	  0.000361551	  5.21703e-05	  12	  1.76688e-05
32	  0.283179	  0.83205	  0.000234103	  3.92613e-05	  12	  1.32968e-05
33	  0.351241	  0.894427	  0.00015466	  3.02121e-05	  12	  1.02321e-05
34	  0.42295	  0.928477	  0.000106775	  1.02264e-05	  12	  3.46344e-06
35	  0.496729	  0.948683	  7.67562e-05	  1.42262e-05	  12	  4.81807e-06
36	  0.571778	  0.961524	  5.70899e-05	  8.29457e-06	  12	  2.80917e-06
37	  0.647656	  0.970143	  4.36796e-05	  5.3948e-06	  12	  1.82708e-06
38	  0.724101	  0.976187	  3.42611e-05	  6.35897e-06	  12	  2.15362e-06
39	  0.17562	  0	  0.000544248	  3.11268e-05	  12	  1.05419e-05
40	  0.192382	  0.408248	  0.000491269	  3.25377e-05	  24	  8.26862e-06
41	  0.235619	  0.666667	  0.00032561	  3.93168e-05	  24	  9.99134e-06
42	  0.293869	  0.801784	  0.000216962	  2.8384e-05	  24	  7.21307e-06
43	  0.359915	  0.872872	  0.000147251	  3.72367e-05	  24	  9.46275e-06
44	  0.43018	  0.912871	  0.000103196	  1.66317e-05	  24	  4.22651e-06
