#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.125664	  1	  0.0045406	  0.000809545	  3	  0.000507868
1	  0.251327	  1	  0.00130284	  0.000183004	  3	  0.000114807
2	  0.376991	  1	  0.000572878	  0.000173866	  3	  0.000109075
3	  0.502655	  1	  0.000311359	  3.73095e-05	  3	  2.34062e-05
4	  0.628319	  1	  0.000191182	  9.34425e-06	  3	  5.86212e-06
5	  0.753982	  1	  0.000127062	  4.24771e-05	  3	  2.6648e-05
6	  0.879646	  1	  8.94885e-05	  2.22243e-05	  3	  1.39424e-05
7	  1.00531	  1	  6.57349e-05	  1.81278e-05	  3	  1.13725e-05
8	  0.125664	  0	  0.0045406	  0.000153421	  6	  7.0305e-05
9	  0.177715	  0.707107	  0.00243597	  0.000163495	  12	  5.53716e-05
10	  0.280993	  0.894427	  0.00102013	  0.000198782	  12	  6.73225e-05
11	  0.397384	  0.948683	  0.000511842	  7.55772e-05	  12	  2.55961e-05
12	  0.518125	  0.970143	  0.00029163	  3.78745e-05	  12	  1.28271e-05
13	  0.640762	  0.980581	  0.000182897	  2.80224e-05	  12	  9.49048e-06
14	  0.764382	  0.986394	  0.000123243	  1.47331e-05	  12	  4.98972e-06
15	  0.888577	  0.989949	  8.73998e-05	  2.03159e-05	  12	  6.8805e-06
16	  1.01313	  0.992278	  6.45422e-05	  9.47037e-06	  12	  3.20738e-06
17	  0.177715	  0	  0.00243597	  6.80827e-05	  6	  3.11988e-05
18	  0.217656	  0.57735	  0.00164271	  8.53154e-05	  12	  2.88942e-05
19	  0.307812	  0.816497	  0.000866449	  9.08267e-05	  12	  3.07608e-05
20	  0.416779	  0.904534	  0.000462316	  5.15276e-05	  12	  1.74511e-05
21	  0.533146	  0.942809	  0.000274028	  3.64894e-05	  12	  1.2358e-05
22	  0.652968	  0.96225	  0.000175533	  2.63218e-05	  12	  8.91455e-06
23	  0.774643	  0.973329	  0.000119575	  1.73528e-05	  12	  5.87697e-06
24	  0.897418	  0.980196	  8.54187e-05	  1.05488e-05	  12	  3.57262e-06
25	  1.0209	  0.984732	  6.33585e-05	  1.19365e-05	  12	  4.0426e-06
26	  0.251327	  0	  0.00130284	  3.75606e-05	  6	  1.72121e-05
27	  0.280993	  0.447214	  0.00102013	  6.31567e-05	  12	  2.13896e-05
28	  0.355431	  0.707107	  0.00064199	  7.27093e-05	  12	  2.46248e-05
29	  0.453087	  0.83205	  0.000388906	  4.77396e-05	  12	  1.61682e-05
30	  0.561985	  0.894427	  0.000244247	  3.77031e-05	  12	  1.27691e-05
31	  0.67672	  0.928477	  0.000162081	  1.4344e-05	  12	  4.85797e-06
32	  0.794767	  0.948683	  0.000112833	  1.33571e-05	  12	  4.52371e-06
33	  0.914846	  0.961524	  8.17554e-05	  1.57445e-05	  12	  5.33227e-06
34	  1.03625	  0.970143	  6.12528e-05	  3.58032e-06	  12	  1.21257e-06
35	  0.280993	  0	  0.00102013	  4.20073e-05	  12	  1.42268e-05
36	  0.307812	  0.408248	  0.000866449	  3.75789e-05	  24	  9.5497e-06
37	  0.376991	  0.666667	  0.000572878	  4.97461e-05	  24	  1.26417e-05
38	  0.470191	  0.801784	  0.000358862	  3.45883e-05	  24	  8.78971e-06
39	  0.575863	  0.872872	  0.000231624	  3.87274e-05	  24	  9.84158e-06
40	  0.688288	  0.912871	  0.000155997	  1.86331e-05	  24	  4.73512e-06
41	  0.80464	  0.937043	  0.000109659	  1.08931e-05	  24	  2.76821e-06
