#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.125664	  1	  0.0036959	  0.00118351	  3	  0.000742473
1	  0.251327	  1	  0.00106047	  0.000264777	  3	  0.000166108
2	  0.376991	  1	  0.000466303	  0.000243985	  3	  0.000153064
3	  0.502655	  1	  0.000253436	  4.59021e-05	  3	  2.87967e-05
4	  0.628319	  1	  0.000155616	  1.44884e-05	  3	  9.08931e-06
5	  0.753982	  1	  0.000103425	  7.37269e-05	  3	  4.62526e-05
6	  0.879646	  1	  7.28407e-05	  3.59215e-05	  3	  2.25354e-05
7	  1.00531	  1	  5.35061e-05	  2.54035e-05	  3	  1.59369e-05
8	  0.125664	  0	  0.0036959	  0.00024134	  6	  0.000110594
9	  0.177715	  0.707107	  0.0019828	  0.000244481	  12	  8.27996e-05
10	  0.280993	  0.894427	  0.000830349	  0.00028697	  12	  9.71897e-05
11	  0.397384	  0.948683	  0.000416623	  0.000111668	  12	  3.78192e-05
12	  0.518125	  0.970143	  0.000237377	  5.05427e-05	  12	  1.71176e-05
13	  0.640762	  0.980581	  0.000148872	  3.83011e-05	  12	  1.29716e-05
14	  0.764382	  0.986394	  0.000100316	  2.21095e-05	  12	  7.48792e-06
15	  0.888577	  0.989949	  7.11406e-05	  2.80021e-05	  12	  9.48362e-06
16	  1.01313	  0.992278	  5.25352e-05	  1.43099e-05	  12	  4.84641e-06
17	  0.177715	  0	  0.0019828	  0.000111767	  6	  5.12172e-05
18	  0.217656	  0.57735	  0.00133711	  0.000139243	  12	  4.71583e-05
19	  0.307812	  0.816497	  0.000705261	  0.000139501	  12	  4.72455e-05
20	  0.416779	  0.904534	  0.00037631	  7.44732e-05	  12	  2.52222e-05
21	  0.533146	  0.942809	  0.00022305	  4.776e-05	  12	  1.61751e-05
22	  0.652968	  0.96225	  0.000142878	  4.01108e-05	  12	  1.35845e-05
23	  0.774643	  0.973329	  9.73299e-05	  2.42565e-05	  12	  8.21509e-06
24	  0.897418	  0.980196	  6.9528e-05	  1.75471e-05	  12	  5.94277e-06
25	  1.0209	  0.984732	  5.15717e-05	  1.9029e-05	  12	  6.44465e-06
26	  0.251327	  0	  0.00106047	  6.15024e-05	  6	  2.81834e-05
27	  0.280993	  0.447214	  0.000830349	  9.51317e-05	  12	  3.22187e-05
28	  0.355431	  0.707107	  0.000522559	  0.000103044	  12	  3.48986e-05
29	  0.453087	  0.83205	  0.000316557	  7.02377e-05	  12	  2.37878e-05
30	  0.561985	  0.894427	  0.000198809	  5.62583e-05	  12	  1.90533e-05
31	  0.67672	  0.928477	  0.000131929	  1.93398e-05	  12	  6.54992e-06
32	  0.794767	  0.948683	  9.18425e-05	  1.99742e-05	  12	  6.76478e-06
33	  0.914846	  0.961524	  6.65461e-05	  1.90768e-05	  12	  6.46084e-06
34	  1.03625	  0.970143	  4.98577e-05	  6.6622e-06	  12	  2.25632e-06
35	  0.280993	  0	  0.000830349	  6.79574e-05	  12	  2.30155e-05
36	  0.307812	  0.408248	  0.000705261	  6.0952e-05	  24	  1.54894e-05
37	  0.376991	  0.666667	  0.000466303	  7.6323e-05	  24	  1.93955e-05
38	  0.470191	  0.801784	  0.000292102	  5.06107e-05	  24	  1.28614e-05
39	  0.575863	  0.872872	  0.000188534	  5.90328e-05	  24	  1.50017e-05
40	  0.688288	  0.912871	  0.000126977	  2.73541e-05	  24	  6.95133e-06
41	  0.80464	  0.937043	  8.92591e-05	  1.66222e-05	  24	  4.2241e-06
42	  0.923436	  0.952579	  6.50763e-05	  1.7063e-05	  24	  4.33612e-06
43	  1.04384	  0.963087	  4.90121e-05	  1.36307e-05	  24	  3.46388e-06
44	  0.355431	  0	  0.000522559	  3.57827e-05	  6	  1.63973e-05
45	  0.376991	  0.333333	  0.000466303	  4.67273e-05	  12	  1.58254e-05
46	  0.435312	  0.57735	  0.000344566	  3.63612e-05	  12	  1.23146e-05
47	  0.518125	  0.727607	  0.000237377	  4.53126e-05	  12	  1.53462e-05
