#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00379853	  0.000374817	  3	  0.000235142
1	  0.20944	  1	  0.00134928	  0.000106109	  3	  6.65674e-05
2	  0.314159	  1	  0.000632002	  0.000101076	  3	  6.341e-05
3	  0.418879	  1	  0.000354209	  1.90351e-05	  3	  1.19417e-05
4	  0.523599	  1	  0.00022393	  5.65539e-06	  3	  3.54791e-06
5	  0.628319	  1	  0.000151731	  2.72372e-05	  3	  1.70873e-05
6	  0.733038	  1	  0.000108477	  1.24434e-05	  3	  7.80636e-06
7	  0.837758	  1	  8.07459e-05	  1.07531e-05	  3	  6.74599e-06
8	  0.942478	  1	  6.20055e-05	  1.63937e-06	  3	  1.02846e-06
9	  0.10472	  0	  0.00379853	  6.37208e-05	  6	  2.91999e-05
10	  0.148096	  0.707107	  0.00241558	  9.02434e-05	  12	  3.05632e-05
11	  0.23416	  0.894427	  0.00106881	  0.00010993	  12	  3.72305e-05
12	  0.331153	  0.948683	  0.000572332	  4.43466e-05	  12	  1.50191e-05
13	  0.431771	  0.970143	  0.00033334	  2.4157e-05	  12	  8.18136e-06
14	  0.533968	  0.980581	  0.000214781	  1.58504e-05	  12	  5.36813e-06
15	  0.636985	  0.986394	  0.000147282	  9.68884e-06	  12	  3.28137e-06
16	  0.74048	  0.989949	  0.00010613	  1.25386e-05	  12	  4.24652e-06
17	  0.844278	  0.992278	  7.93415e-05	  6.06555e-06	  12	  2.05425e-06
18	  0.948278	  0.993884	  6.11422e-05	  5.85833e-06	  12	  1.98407e-06
19	  0.148096	  0	  0.00241558	  3.37722e-05	  6	  1.5476e-05
20	  0.18138	  0.57735	  0.0017137	  4.60591e-05	  12	  1.55991e-05
21	  0.25651	  0.816497	  0.000940668	  5.23681e-05	  12	  1.77358e-05
22	  0.347316	  0.904534	  0.000515517	  3.07103e-05	  12	  1.04008e-05
23	  0.444288	  0.942809	  0.00031512	  2.0429e-05	  12	  6.91879e-06
24	  0.54414	  0.96225	  0.000206254	  1.72969e-05	  12	  5.85804e-06
25	  0.645536	  0.973329	  0.000143139	  1.06554e-05	  12	  3.60871e-06
26	  0.747849	  0.980196	  0.00010381	  6.85007e-06	  12	  2.31995e-06
27	  0.850747	  0.984732	  7.80228e-05	  7.76247e-06	  12	  2.62896e-06
28	  0.954042	  0.987878	  6.03124e-05	  5.62603e-06	  12	  1.9054e-06
29	  0.20944	  0	  0.00134928	  2.09486e-05	  6	  9.59966e-06
30	  0.23416	  0.447214	  0.00106881	  3.47831e-05	  12	  1.17802e-05
31	  0.296192	  0.707107	  0.000695986	  4.17919e-05	  12	  1.41539e-05
32	  0.377572	  0.83205	  0.000438644	  2.80822e-05	  12	  9.51075e-06
33	  0.468321	  0.894427	  0.00028273	  2.24721e-05	  12	  7.61075e-06
34	  0.563933	  0.928477	  0.000191181	  8.72677e-06	  12	  2.95554e-06
35	  0.662306	  0.948683	  0.000135378	  8.64625e-06	  12	  2.92827e-06
36	  0.762371	  0.961524	  9.95093e-05	  8.91809e-06	  12	  3.02034e-06
37	  0.863541	  0.970143	  7.54539e-05	  2.38573e-06	  12	  8.07988e-07
38	  0.965468	  0.976187	  5.87146e-05	  3.88191e-06	  12	  1.31471e-06
39	  0.23416	  0	  0.00106881	  2.15288e-05	  12	  7.29127e-06
40	  0.25651	  0.408248	  0.000940668	  2.08427e-05	  24	  5.29665e-06
41	  0.314159	  0.666667	  0.000632002	  2.87597e-05	  24	  7.30854e-06
42	  0.391825	  0.801784	  0.000408396	  2.104e-05	  24	  5.34677e-06
43	  0.479886	  0.872872	  0.000268343	  2.42662e-05	  24	  6.16662e-06
44	  0.573574	  0.912871	  0.000184519	  1.09693e-05	  24	  2.78756e-06
45	  0.670534	  0.937043	  0.000131833	  7.21948e-06	  24	  1.83464e-06
46	  0.76953	  0.952579	  9.75033e-05	  6.96578e-06	  24	  1.77017e-06
47	  0.869868	  0.963087	  7.4243e-05	  5.60594e-06	  24	  1.42461e-06
48	  0.971131	  0.970495	  5.79317e-05	  4.60011e-06	  24	  1.169e-06
49	  0.296192	  0	  0.000695986	  1.23569e-05	  6	  5.66251e-06
50	  0.314159	  0.333333	  0.000632002	  1.57669e-05	  12	  5.33984e-06
51	  0.36276	  0.57735	  0.000471853	  1.33925e-05	  12	  4.53571e-06
52	  0.431771	  0.727607	  0.00033334	  1.73237e-05	  12	  5.8671e-06
53	  0.51302	  0.816497	  0.000233677	  1.50548e-05	  12	  5.09869e-06
54	  0.601569	  0.870388	  0.000166611	  1.16233e-05	  12	  3.93654e-06
55	  0.694632	  0.904534	  0.000122073	  1.15884e-05	  12	  3.92472e-06
56	  0.790617	  0.927173	  9.18345e-05	  6.30268e-06	  12	  2.13456e-06
57	  0.888577	  0.942809	  7.0786e-05	  4.92241e-06	  12	  1.6671e-06
58	  0.987924	  0.953998	  5.57298e-05	  2.30551e-06	  12	  7.8082e-07
59	  0.314159	  0	  0.000632002	  1.63441e-05	  6	  7.48966e-06
60	  0.331153	  0.316228	  0.000572332	  1.27228e-05	  12	  4.30889e-06
61	  0.377572	  0.5547	  0.000438644	  1.82057e-05	  12	  6.16581e-06
62	  0.444288	  0.707107	  0.00031512	  9.63444e-06	  12	  3.26295e-06
63	  0.523599	  0.8	  0.00022393	  1.46282e-05	  12	  4.9542e-06
64	  0.610616	  0.857493	  0.000161348	  6.12861e-06	  12	  2.07561e-06
65	  0.702481	  0.894427	  0.000119103	  7.29405e-06	  12	  2.47031e-06
66	  0.797522	  0.919145	  9.00783e-05	  6.29743e-06	  12	  2.13278e-06
67	  0.894726	  0.936329	  6.96796e-05	  3.21187e-06	  12	  1.08778e-06
68	  0.993459	  0.948683	  5.50341e-05	  3.88745e-06	  12	  1.31658e-06
69	  0.331153	  0	  0.000572332	  9.96833e-06	  12	  3.37602e-06
70	  0.347316	  0.301511	  0.000515517	  9.25684e-06	  24	  2.35239e-06
71	  0.391825	  0.534522	  0.000408396	  9.77908e-06	  24	  2.4851e-06
72	  0.456463	  0.688247	  0.000298414	  1.76503e-05	  24	  4.48536e-06
73	  0.533968	  0.784465	  0.000214781	  9.45165e-06	  24	  2.40189e-06
74	  0.61953	  0.845154	  0.000156415	  6.79442e-06	  24	  1.72663e-06
75	  0.710244	  0.884652	  0.000116293	  1.07379e-05	  24	  2.72875e-06
76	  0.804368	  0.911322	  8.83936e-05	  5.63136e-06	  24	  1.43107e-06
77	  0.900833	  0.929981	  6.86392e-05	  4.51107e-06	  24	  1.14637e-06
78	  0.998963	  0.943456	  5.43564e-05	  2.91696e-06	  24	  7.4127e-07
79	  0.377572	  0	  0.000438644	  8.33879e-06	  12	  2.82414e-06
80	  0.391825	  0.267261	  0.000408396	  6.37743e-06	  24	  1.62066e-06
81	  0.431771	  0.485071	  0.00033334	  1.09623e-05	  24	  2.78579e-06
82	  0.491179	  0.639602	  0.000255503	  7.86009e-06	  24	  1.99744e-06
83	  0.563933	  0.742781	  0.000191181	  1.0399e-05	  24	  2.64263e-06
84	  0.645536	  0.811107	  0.000143139	  8.54398e-06	  24	  2.17123e-06
