#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000695059	  3	  0.000436045
1	  0.20944	  1	  0.000983009	  0.000202501	  3	  0.000127039
2	  0.314159	  1	  0.000460441	  0.000180855	  3	  0.000113459
3	  0.418879	  1	  0.000258057	  3.09466e-05	  3	  1.94144e-05
4	  0.523599	  1	  0.000163143	  1.20846e-05	  3	  7.58125e-06
5	  0.628319	  1	  0.000110542	  6.47299e-05	  3	  4.06083e-05
6	  0.733038	  1	  7.90303e-05	  2.5149e-05	  3	  1.57772e-05
7	  0.837758	  1	  5.88269e-05	  1.88601e-05	  3	  1.18319e-05
8	  0.942478	  1	  4.51737e-05	  3.51438e-06	  3	  2.20475e-06
9	  0.10472	  0	  0.00276739	  0.000122096	  6	  5.59502e-05
10	  0.148096	  0.707107	  0.00175985	  0.00017264	  12	  5.8469e-05
11	  0.23416	  0.894427	  0.000778677	  0.000203473	  12	  6.89113e-05
12	  0.331153	  0.948683	  0.000416969	  8.64075e-05	  12	  2.92641e-05
13	  0.431771	  0.970143	  0.000242853	  4.21326e-05	  12	  1.42693e-05
14	  0.533968	  0.980581	  0.000156478	  2.78733e-05	  12	  9.43999e-06
15	  0.636985	  0.986394	  0.000107301	  2.01529e-05	  12	  6.8253e-06
16	  0.74048	  0.989949	  7.73204e-05	  2.16874e-05	  12	  7.34498e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.30681e-05	  12	  4.42582e-06
18	  0.948278	  0.993884	  4.45448e-05	  1.21716e-05	  12	  4.12224e-06
19	  0.148096	  0	  0.00175985	  6.9778e-05	  6	  3.19756e-05
20	  0.18138	  0.57735	  0.0012485	  9.71356e-05	  12	  3.28974e-05
21	  0.25651	  0.816497	  0.000685318	  0.000104559	  12	  3.54115e-05
22	  0.347316	  0.904534	  0.000375577	  5.72584e-05	  12	  1.9392e-05
23	  0.444288	  0.942809	  0.000229579	  3.27284e-05	  12	  1.10843e-05
24	  0.54414	  0.96225	  0.000150265	  3.60644e-05	  12	  1.22141e-05
25	  0.645536	  0.973329	  0.000104283	  1.92062e-05	  12	  6.50465e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.59553e-05	  12	  5.40367e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.57682e-05	  12	  5.34028e-06
28	  0.954042	  0.987878	  4.39402e-05	  1.04153e-05	  12	  3.52742e-06
29	  0.20944	  0	  0.000983009	  4.20949e-05	  6	  1.92899e-05
30	  0.23416	  0.447214	  0.000778677	  6.58157e-05	  12	  2.22902e-05
31	  0.296192	  0.707107	  0.000507056	  7.58157e-05	  12	  2.56769e-05
32	  0.377572	  0.83205	  0.000319571	  5.39753e-05	  12	  1.82801e-05
33	  0.468321	  0.894427	  0.000205981	  4.34243e-05	  12	  1.47067e-05
34	  0.563933	  0.928477	  0.000139283	  1.4937e-05	  12	  5.05879e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.7468e-05	  12	  5.91597e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.34604e-05	  12	  4.5587e-06
37	  0.863541	  0.970143	  5.49714e-05	  6.14082e-06	  12	  2.07974e-06
