#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00337336	  0.000352312	  3	  0.000221023
1	  0.20944	  1	  0.00118523	  9.84277e-05	  3	  6.17486e-05
2	  0.314159	  1	  0.000541544	  9.33141e-05	  3	  5.85407e-05
3	  0.418879	  1	  0.000303979	  1.76421e-05	  3	  1.10678e-05
4	  0.523599	  1	  0.000190456	  5.20863e-06	  3	  3.26763e-06
5	  0.628319	  1	  0.000128324	  2.47e-05	  3	  1.54956e-05
6	  0.733038	  1	  9.13892e-05	  1.18498e-05	  3	  7.434e-06
7	  0.837758	  1	  6.77334e-05	  1.00804e-05	  3	  6.32396e-06
8	  0.942478	  1	  5.17837e-05	  1.45216e-06	  3	  9.11011e-07
9	  0.10472	  0	  0.00337336	  5.87588e-05	  6	  2.69261e-05
10	  0.148096	  0.707107	  0.00214369	  8.42225e-05	  12	  2.85241e-05
11	  0.23416	  0.894427	  0.000929148	  0.000101128	  12	  3.42495e-05
12	  0.331153	  0.948683	  0.000492723	  4.06722e-05	  12	  1.37747e-05
13	  0.431771	  0.970143	  0.000285165	  2.20164e-05	  12	  7.4564e-06
14	  0.533968	  0.980581	  0.000182562	  1.48208e-05	  12	  5.01945e-06
15	  0.636985	  0.986394	  0.0001246	  8.81605e-06	  12	  2.98578e-06
16	  0.74048	  0.989949	  8.93161e-05	  1.16108e-05	  12	  3.93229e-06
17	  0.844278	  0.992278	  6.65372e-05	  5.54211e-06	  12	  1.87698e-06
18	  0.948278	  0.993884	  5.10869e-05	  5.36939e-06	  12	  1.81848e-06
19	  0.148096	  0	  0.00214369	  3.12332e-05	  6	  1.43126e-05
20	  0.18138	  0.57735	  0.00147854	  4.19558e-05	  12	  1.42094e-05
21	  0.25651	  0.816497	  0.000808954	  4.76317e-05	  12	  1.61317e-05
22	  0.347316	  0.904534	  0.000445552	  2.83032e-05	  12	  9.5856e-06
23	  0.444288	  0.942809	  0.000268995	  1.89816e-05	  12	  6.4286e-06
24	  0.54414	  0.96225	  0.000175401	  1.57103e-05	  12	  5.3207e-06
25	  0.645536	  0.973329	  0.000121008	  9.82992e-06	  12	  3.32915e-06
26	  0.747849	  0.980196	  8.73604e-05	  6.28319e-06	  12	  2.12796e-06
27	  0.850747	  0.984732	  6.53547e-05	  7.20821e-06	  12	  2.44124e-06
28	  0.954042	  0.987878	  5.03943e-05	  5.32665e-06	  12	  1.804e-06
29	  0.20944	  0	  0.00118523	  1.973e-05	  6	  9.04122e-06
30	  0.23416	  0.447214	  0.000929148	  3.15982e-05	  12	  1.07015e-05
31	  0.296192	  0.707107	  0.000602839	  3.82369e-05	  12	  1.29499e-05
32	  0.377572	  0.83205	  0.000375464	  2.56182e-05	  12	  8.67626e-06
33	  0.468321	  0.894427	  0.000241325	  2.04262e-05	  12	  6.91785e-06
34	  0.563933	  0.928477	  0.000162345	  7.96047e-06	  12	  2.69601e-06
35	  0.662306	  0.948683	  0.000114406	  7.86185e-06	  12	  2.66261e-06
36	  0.762371	  0.961524	  8.37153e-05	  8.26575e-06	  12	  2.7994e-06
37	  0.863541	  0.970143	  6.32417e-05	  2.15037e-06	  12	  7.28278e-07
38	  0.965468	  0.976187	  4.90214e-05	  3.55815e-06	  12	  1.20506e-06
39	  0.23416	  0	  0.000929148	  1.95342e-05	  12	  6.61576e-06
40	  0.25651	  0.408248	  0.000808954	  1.88955e-05	  24	  4.80181e-06
41	  0.314159	  0.666667	  0.000541544	  2.58737e-05	  24	  6.57513e-06
42	  0.391825	  0.801784	  0.000349651	  1.90694e-05	  24	  4.846e-06
43	  0.479886	  0.872872	  0.000229069	  2.19196e-05	  24	  5.57029e-06
44	  0.573574	  0.912871	  0.000156465	  9.9581e-06	  24	  2.53059e-06
45	  0.670534	  0.937043	  0.000111285	  6.52395e-06	  24	  1.65789e-06
46	  0.76953	  0.952579	  8.19185e-05	  6.40174e-06	  24	  1.62684e-06
47	  0.869868	  0.963087	  6.21968e-05	  5.17475e-06	  24	  1.31503e-06
48	  0.971131	  0.970495	  4.83411e-05	  4.27818e-06	  24	  1.08719e-06
49	  0.296192	  0	  0.000602839	  1.12684e-05	  6	  5.16373e-06
50	  0.314159	  0.333333	  0.000541544	  1.40911e-05	  12	  4.77232e-06
51	  0.36276	  0.57735	  0.000406132	  1.20901e-05	  12	  4.09463e-06
52	  0.431771	  0.727607	  0.000285165	  1.58378e-05	  12	  5.36388e-06
53	  0.51302	  0.816497	  0.000198765	  1.34426e-05	  12	  4.55266e-06
54	  0.601569	  0.870388	  0.00014121	  1.05681e-05	  12	  3.57916e-06
55	  0.694632	  0.904534	  0.000102908	  1.06933e-05	  12	  3.62154e-06
56	  0.790617	  0.927173	  7.7144e-05	  5.83609e-06	  12	  1.97654e-06
57	  0.888577	  0.942809	  5.92597e-05	  4.54184e-06	  12	  1.53821e-06
58	  0.987924	  0.953998	  4.65162e-05	  2.18656e-06	  12	  7.40533e-07
59	  0.314159	  0	  0.000541544	  1.47863e-05	  6	  6.77578e-06
60	  0.331153	  0.316228	  0.000492723	  1.16271e-05	  12	  3.9378e-06
61	  0.377572	  0.5547	  0.000375464	  1.65045e-05	  12	  5.58968e-06
62	  0.444288	  0.707107	  0.000268995	  8.81417e-06	  12	  2.98514e-06
63	  0.523599	  0.8	  0.000190456	  1.33129e-05	  12	  4.50875e-06
64	  0.610616	  0.857493	  0.000136604	  5.52385e-06	  12	  1.87079e-06
65	  0.702481	  0.894427	  0.000100427	  6.58866e-06	  12	  2.23141e-06
66	  0.797522	  0.919145	  7.56233e-05	  5.69093e-06	  12	  1.92738e-06
