#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00301735	  0.000443617	  3	  0.000278303
1	  0.20944	  1	  0.00106014	  0.000128352	  3	  8.05215e-05
2	  0.314159	  1	  0.000484391	  0.000114888	  3	  7.20751e-05
3	  0.418879	  1	  0.000271898	  2.04461e-05	  3	  1.28268e-05
4	  0.523599	  1	  0.000170356	  6.87806e-06	  3	  4.31495e-06
5	  0.628319	  1	  0.000114781	  3.77894e-05	  3	  2.37072e-05
6	  0.733038	  1	  8.17442e-05	  1.5757e-05	  3	  9.88514e-06
7	  0.837758	  1	  6.0585e-05	  1.21436e-05	  3	  7.61828e-06
8	  0.942478	  1	  4.63186e-05	  1.91924e-06	  3	  1.20404e-06
9	  0.10472	  0	  0.00301735	  7.76841e-05	  6	  3.55986e-05
10	  0.148096	  0.707107	  0.00191745	  0.000110385	  12	  3.73847e-05
11	  0.23416	  0.894427	  0.000831088	  0.000126882	  12	  4.29718e-05
12	  0.331153	  0.948683	  0.000440723	  5.28959e-05	  12	  1.79145e-05
13	  0.431771	  0.970143	  0.000255069	  2.77777e-05	  12	  9.40762e-06
14	  0.533968	  0.980581	  0.000163295	  1.79367e-05	  12	  6.07471e-06
15	  0.636985	  0.986394	  0.00011145	  1.21443e-05	  12	  4.11298e-06
16	  0.74048	  0.989949	  7.989e-05	  1.4507e-05	  12	  4.91315e-06
17	  0.844278	  0.992278	  5.9515e-05	  7.80835e-06	  12	  2.64449e-06
18	  0.948278	  0.993884	  4.56953e-05	  7.48893e-06	  12	  2.53631e-06
19	  0.148096	  0	  0.00191745	  4.28667e-05	  6	  1.96436e-05
20	  0.18138	  0.57735	  0.0013225	  5.7109e-05	  12	  1.93414e-05
21	  0.25651	  0.816497	  0.000723579	  6.32844e-05	  12	  2.14329e-05
22	  0.347316	  0.904534	  0.000398529	  3.60311e-05	  12	  1.22028e-05
23	  0.444288	  0.942809	  0.000240606	  2.15552e-05	  12	  7.30021e-06
24	  0.54414	  0.96225	  0.00015689	  2.20101e-05	  12	  7.45428e-06
25	  0.645536	  0.973329	  0.000108237	  1.24849e-05	  12	  4.22832e-06
26	  0.747849	  0.980196	  7.81406e-05	  9.36557e-06	  12	  3.17189e-06
27	  0.850747	  0.984732	  5.84573e-05	  9.71508e-06	  12	  3.29026e-06
28	  0.954042	  0.987878	  4.50758e-05	  6.71454e-06	  12	  2.27405e-06
29	  0.20944	  0	  0.00106014	  2.69245e-05	  6	  1.23381e-05
30	  0.23416	  0.447214	  0.000831088	  4.10778e-05	  12	  1.3912e-05
31	  0.296192	  0.707107	  0.000539217	  4.83621e-05	  12	  1.6379e-05
32	  0.377572	  0.83205	  0.000335838	  3.33506e-05	  12	  1.1295e-05
33	  0.468321	  0.894427	  0.000215856	  2.61474e-05	  12	  8.85546e-06
34	  0.563933	  0.928477	  0.000145212	  9.89572e-06	  12	  3.35143e-06
35	  0.662306	  0.948683	  0.000102332	  1.08396e-05	  12	  3.6711e-06
