#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.0024549	  0.000614574	  3	  0.000385553
1	  0.20944	  1	  0.000862531	  0.00018136	  3	  0.000113777
2	  0.314159	  1	  0.000394099	  0.0001564	  3	  9.81174e-05
3	  0.418879	  1	  0.000221215	  2.60902e-05	  3	  1.63677e-05
4	  0.523599	  1	  0.000138601	  1.10588e-05	  3	  6.93774e-06
5	  0.628319	  1	  9.33856e-05	  5.94387e-05	  3	  3.72889e-05
6	  0.733038	  1	  6.65069e-05	  2.19058e-05	  3	  1.37426e-05
7	  0.837758	  1	  4.92918e-05	  1.56839e-05	  3	  9.83929e-06
8	  0.942478	  1	  3.76847e-05	  3.46595e-06	  3	  2.17437e-06
9	  0.10472	  0	  0.0024549	  0.000118395	  6	  5.42545e-05
10	  0.148096	  0.707107	  0.00156003	  0.000160918	  12	  5.44989e-05
11	  0.23416	  0.894427	  0.000676171	  0.000177843	  12	  6.02311e-05
12	  0.331153	  0.948683	  0.000358571	  7.64144e-05	  12	  2.58796e-05
13	  0.431771	  0.970143	  0.000207524	  3.64601e-05	  12	  1.23481e-05
14	  0.533968	  0.980581	  0.000132856	  2.44202e-05	  12	  8.27053e-06
15	  0.636985	  0.986394	  9.06752e-05	  1.84748e-05	  12	  6.25694e-06
16	  0.74048	  0.989949	  6.49983e-05	  1.88669e-05	  12	  6.38975e-06
17	  0.844278	  0.992278	  4.84213e-05	  1.19104e-05	  12	  4.03375e-06
18	  0.948278	  0.993884	  3.71776e-05	  1.10214e-05	  12	  3.73267e-06
19	  0.148096	  0	  0.00156003	  6.91008e-05	  6	  3.16653e-05
20	  0.18138	  0.57735	  0.00107598	  8.86248e-05	  12	  3.0015e-05
21	  0.25651	  0.816497	  0.000588702	  9.34991e-05	  12	  3.16658e-05
22	  0.347316	  0.904534	  0.000324242	  5.09533e-05	  12	  1.72566e-05
23	  0.444288	  0.942809	  0.000195757	  2.78063e-05	  12	  9.4173e-06
24	  0.54414	  0.96225	  0.000127645	  3.28198e-05	  12	  1.11152e-05
25	  0.645536	  0.973329	  8.80612e-05	  1.66923e-05	  12	  5.65326e-06
26	  0.747849	  0.980196	  6.3575e-05	  1.50704e-05	  12	  5.10396e-06
27	  0.850747	  0.984732	  4.75607e-05	  1.43609e-05	  12	  4.86369e-06
28	  0.954042	  0.987878	  3.66735e-05	  8.93317e-06	  12	  3.02544e-06
29	  0.20944	  0	  0.000862531	  4.15353e-05	  6	  1.90335e-05
30	  0.23416	  0.447214	  0.000676171	  6.06399e-05	  12	  2.05372e-05
31	  0.296192	  0.707107	  0.000438706	  6.81966e-05	  12	  2.30965e-05
32	  0.377572	  0.83205	  0.000273237	  4.81044e-05	  12	  1.62918e-05
33	  0.468321	  0.894427	  0.00017562	  3.76422e-05	  12	  1.27485e-05
34	  0.563933	  0.928477	  0.000118144	  1.3035e-05	  12	  4.41463e-06
35	  0.662306	  0.948683	  8.3257e-05	  1.57379e-05	  12	  5.33005e-06
36	  0.762371	  0.961524	  6.09223e-05	  1.12402e-05	  12	  3.80677e-06
37	  0.863541	  0.970143	  4.6023e-05	  5.72342e-06	  12	  1.93838e-06
38	  0.965468	  0.976187	  3.56745e-05	  7.04426e-06	  12	  2.38572e-06
39	  0.23416	  0	  0.000676171	  4.19168e-05	  12	  1.41962e-05
40	  0.25651	  0.408248	  0.000588702	  4.02975e-05	  24	  1.02406e-05
41	  0.314159	  0.666667	  0.000394099	  5.02664e-05	  24	  1.27739e-05
42	  0.391825	  0.801784	  0.000254452	  3.49797e-05	  24	  8.88918e-06
43	  0.479886	  0.872872	  0.000166701	  4.35942e-05	  24	  1.10783e-05
44	  0.573574	  0.912871	  0.000113865	  1.86625e-05	  24	  4.74259e-06
45	  0.670534	  0.937043	  8.09855e-05	  1.33497e-05	  24	  3.39249e-06
46	  0.76953	  0.952579	  5.96147e-05	  1.3033e-05	  24	  3.312e-06
47	  0.869868	  0.963087	  4.52627e-05	  1.11502e-05	  24	  2.83355e-06
48	  0.971131	  0.970495	  3.51794e-05	  7.55752e-06	  24	  1.92055e-06
49	  0.296192	  0	  0.000438706	  2.32206e-05	  6	  1.06408e-05
50	  0.314159	  0.333333	  0.000394099	  2.93538e-05	  12	  9.94139e-06
51	  0.36276	  0.57735	  0.000295556	  2.52156e-05	  12	  8.53991e-06
52	  0.431771	  0.727607	  0.000207524	  2.96457e-05	  12	  1.00403e-05
53	  0.51302	  0.816497	  0.000144648	  2.8405e-05	  12	  9.62008e-06
54	  0.601569	  0.870388	  0.000102763	  1.85101e-05	  12	  6.26891e-06
55	  0.694632	  0.904534	  7.48896e-05	  1.71864e-05	  12	  5.82059e-06
56	  0.790617	  0.927173	  5.61402e-05	  8.85538e-06	  12	  2.9991e-06
57	  0.888577	  0.942809	  4.31252e-05	  8.98238e-06	  12	  3.04211e-06
58	  0.987924	  0.953998	  3.38514e-05	  5.40465e-06	  12	  1.83042e-06
59	  0.314159	  0	  0.000394099	  2.78705e-05	  6	  1.27716e-05
