#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000657252	  3	  0.000412328
1	  0.20944	  1	  0.000983009	  0.000191049	  3	  0.000119855
2	  0.314159	  1	  0.000460441	  0.000171811	  3	  0.000107786
3	  0.418879	  1	  0.000258057	  2.8633e-05	  3	  1.79629e-05
4	  0.523599	  1	  0.000163143	  1.15372e-05	  3	  7.23785e-06
5	  0.628319	  1	  0.000110542	  6.14993e-05	  3	  3.85816e-05
6	  0.733038	  1	  7.90303e-05	  2.4217e-05	  3	  1.51926e-05
7	  0.837758	  1	  5.88269e-05	  1.80036e-05	  3	  1.12945e-05
8	  0.942478	  1	  4.51737e-05	  3.3287e-06	  3	  2.08826e-06
9	  0.10472	  0	  0.00276739	  0.000118577	  6	  5.43378e-05
10	  0.148096	  0.707107	  0.00175985	  0.000165927	  12	  5.61952e-05
11	  0.23416	  0.894427	  0.000778677	  0.000193521	  12	  6.55409e-05
12	  0.331153	  0.948683	  0.000416969	  8.21212e-05	  12	  2.78124e-05
13	  0.431771	  0.970143	  0.000242853	  3.95572e-05	  12	  1.3397e-05
14	  0.533968	  0.980581	  0.000156478	  2.65555e-05	  12	  8.9937e-06
15	  0.636985	  0.986394	  0.000107301	  1.90264e-05	  12	  6.44378e-06
16	  0.74048	  0.989949	  7.73204e-05	  2.0651e-05	  12	  6.99399e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.25194e-05	  12	  4.24002e-06
18	  0.948278	  0.993884	  4.45448e-05	  1.15566e-05	  12	  3.91393e-06
19	  0.148096	  0	  0.00175985	  6.93797e-05	  6	  3.17931e-05
20	  0.18138	  0.57735	  0.0012485	  9.4157e-05	  12	  3.18886e-05
21	  0.25651	  0.816497	  0.000685318	  9.98079e-05	  12	  3.38024e-05
22	  0.347316	  0.904534	  0.000375577	  5.46014e-05	  12	  1.84921e-05
23	  0.444288	  0.942809	  0.000229579	  3.12034e-05	  12	  1.05678e-05
24	  0.54414	  0.96225	  0.000150265	  3.40803e-05	  12	  1.15421e-05
25	  0.645536	  0.973329	  0.000104283	  1.8142e-05	  12	  6.14425e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.51865e-05	  12	  5.14328e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.5084e-05	  12	  5.10859e-06
28	  0.954042	  0.987878	  4.39402e-05	  9.96295e-06	  12	  3.3742e-06
29	  0.20944	  0	  0.000983009	  4.00138e-05	  6	  1.83363e-05
30	  0.23416	  0.447214	  0.000778677	  6.40337e-05	  12	  2.16866e-05
31	  0.296192	  0.707107	  0.000507056	  7.24357e-05	  12	  2.45322e-05
32	  0.377572	  0.83205	  0.000319571	  5.15027e-05	  12	  1.74427e-05
33	  0.468321	  0.894427	  0.000205981	  4.15203e-05	  12	  1.40619e-05
34	  0.563933	  0.928477	  0.000139283	  1.40037e-05	  12	  4.7427e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.66088e-05	  12	  5.625e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.26823e-05	  12	  4.29519e-06
37	  0.863541	  0.970143	  5.49714e-05	  5.84218e-06	  12	  1.9786e-06
38	  0.965468	  0.976187	  4.27761e-05	  7.72056e-06	  12	  2.61476e-06
39	  0.23416	  0	  0.000778677	  4.3218e-05	  12	  1.46369e-05
40	  0.25651	  0.408248	  0.000685318	  4.2015e-05	  24	  1.0677e-05
41	  0.314159	  0.666667	  0.000460441	  5.44815e-05	  24	  1.38451e-05
42	  0.391825	  0.801784	  0.000297534	  3.77341e-05	  24	  9.58914e-06
43	  0.479886	  0.872872	  0.000195499	  4.65027e-05	  24	  1.18175e-05
44	  0.573574	  0.912871	  0.00013443	  2.00613e-05	  24	  5.09807e-06
45	  0.670534	  0.937043	  9.6046e-05	  1.39823e-05	  24	  3.55323e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.36799e-05	  24	  3.4764e-06
47	  0.869868	  0.963087	  5.40893e-05	  1.16991e-05	  24	  2.97302e-06
48	  0.971131	  0.970495	  4.22057e-05	  8.25394e-06	  24	  2.09752e-06
49	  0.296192	  0	  0.000507056	  2.40263e-05	  6	  1.101e-05
50	  0.314159	  0.333333	  0.000460441	  3.11976e-05	  12	  1.05659e-05
51	  0.36276	  0.57735	  0.000343765	  2.67024e-05	  12	  9.04344e-06
52	  0.431771	  0.727607	  0.000242853	  3.21074e-05	  12	  1.0874e-05
53	  0.51302	  0.816497	  0.000170244	  2.9772e-05	  12	  1.0083e-05
54	  0.601569	  0.870388	  0.000121384	  2.01901e-05	  12	  6.8379e-06
55	  0.694632	  0.904534	  8.89354e-05	  1.94619e-05	  12	  6.59128e-06
56	  0.790617	  0.927173	  6.69054e-05	  9.6938e-06	  12	  3.28305e-06
57	  0.888577	  0.942809	  5.15706e-05	  9.26822e-06	  12	  3.13892e-06
58	  0.987924	  0.953998	  4.06016e-05	  5.28008e-06	  12	  1.78823e-06
59	  0.314159	  0	  0.000460441	  3.02625e-05	  6	  1.38677e-05
60	  0.331153	  0.316228	  0.000416969	  2.72565e-05	  12	  9.23109e-06
61	  0.377572	  0.5547	  0.000319571	  3.39882e-05	  12	  1.15109e-05
62	  0.444288	  0.707107	  0.000229579	  1.92478e-05	  12	  6.51874e-06
63	  0.523599	  0.8	  0.000163143	  2.77057e-05	  12	  9.38323e-06
64	  0.610616	  0.857493	  0.000117549	  9.64876e-06	  12	  3.26779e-06
65	  0.702481	  0.894427	  8.67717e-05	  1.14764e-05	  12	  3.88677e-06
66	  0.797522	  0.919145	  6.56259e-05	  1.15474e-05	  12	  3.91082e-06
67	  0.894726	  0.936329	  5.07646e-05	  5.44978e-06	  12	  1.84571e-06
68	  0.993459	  0.948683	  4.00947e-05	  7.54032e-06	  12	  2.55372e-06
69	  0.331153	  0	  0.000416969	  1.94225e-05	  12	  6.57791e-06
70	  0.347316	  0.301511	  0.000375577	  1.84789e-05	  24	  4.69594e-06
71	  0.391825	  0.534522	  0.000297534	  1.80701e-05	  24	  4.59205e-06
72	  0.456463	  0.688247	  0.000217407	  3.20839e-05	  24	  8.1533e-06
73	  0.533968	  0.784465	  0.000156478	  1.64248e-05	  24	  4.17393e-06
74	  0.61953	  0.845154	  0.000113955	  1.34083e-05	  24	  3.40738e-06
75	  0.710244	  0.884652	  8.47248e-05	  1.74357e-05	  24	  4.43084e-06
76	  0.804368	  0.911322	  6.43985e-05	  1.24605e-05	  24	  3.16652e-06
77	  0.900833	  0.929981	  5.00066e-05	  8.04356e-06	  24	  2.04406e-06
78	  0.998963	  0.943456	  3.9601e-05	  5.91574e-06	  24	  1.50333e-06
79	  0.377572	  0	  0.000319571	  1.70648e-05	  12	  5.77943e-06
80	  0.391825	  0.267261	  0.000297534	  1.19108e-05	  24	  3.02682e-06
81	  0.431771	  0.485071	  0.000242853	  2.25311e-05	  24	  5.7257e-06
82	  0.491179	  0.639602	  0.000186145	  1.43014e-05	  24	  3.63433e-06
83	  0.563933	  0.742781	  0.000139283	  1.91746e-05	  24	  4.87272e-06
84	  0.645536	  0.811107	  0.000104283	  1.55988e-05	  24	  3.96404e-06
85	  0.733038	  0.857143	  7.90303e-05	  1.37303e-05	  24	  3.48921e-06
86	  0.824564	  0.889001	  6.09362e-05	  6.2423e-06	  24	  1.58632e-06
87	  0.918912	  0.911685	  4.7822e-05	  8.64929e-06	  24	  2.19799e-06
88	  0.418879	  0	  0.000258057	  4.61492e-06	  6	  2.11478e-06
89	  0.431771	  0.242536	  0.000242853	  9.11427e-06	  12	  3.08678e-06
90	  0.468321	  0.447214	  0.000205981	  1.6068e-05	  12	  5.44182e-06
91	  0.523599	  0.6	  0.000163143	  1.55028e-05	  12	  5.25043e-06
92	  0.592384	  0.707107	  0.000125493	  6.19707e-06	  12	  2.09879e-06
93	  0.670534	  0.780869	  9.6046e-05	  1.4874e-05	  12	  5.03745e-06
94	  0.755145	  0.83205	  7.40547e-05	  9.11197e-06	  12	  3.086e-06
95	  0.844278	  0.868243	  5.78037e-05	  8.77478e-06	  12	  2.9718e-06
96	  0.936642	  0.894427	  4.58065e-05	  5.4733e-06	  12	  1.85367e-06
97	  0.431771	  0	  0.000242853	  9.39168e-06	  12	  3.18073e-06
98	  0.444288	  0.235702	  0.000229579	  5.35711e-06	  24	  1.36137e-06
99	  0.479886	  0.436436	  0.000195499	  1.95216e-05	  24	  4.96091e-06
100	  0.533968	  0.588348	  0.000156478	  1.07538e-05	  24	  2.7328e-06
101	  0.601569	  0.696311	  0.000121384	  8.62081e-06	  24	  2.19075e-06
102	  0.678662	  0.771517	  9.3549e-05	  8.4993e-06	  24	  2.15988e-06
103	  0.762371	  0.824163	  7.24968e-05	  1.33543e-05	  24	  3.39365e-06
104	  0.850747	  0.86164	  5.6843e-05	  1.03823e-05	  24	  2.6384e-06
105	  0.942478	  0.888889	  4.51737e-05	  8.81449e-06	  24	  2.23998e-06
106	  0.444288	  0	  0.000229579	  9.08491e-06	  6	  4.16314e-06
107	  0.456463	  0.229416	  0.000217407	  1.49698e-05	  12	  5.06989e-06
108	  0.491179	  0.426401	  0.000186145	  1.26133e-05	  12	  4.27181e-06
109	  0.54414	  0.57735	  0.000150265	  4.95652e-06	  12	  1.67865e-06
110	  0.610616	  0.685994	  0.000117549	  1.60478e-05	  12	  5.43498e-06
111	  0.686693	  0.762493	  9.11917e-05	  9.91645e-06	  12	  3.35845e-06
112	  0.76953	  0.816497	  7.10354e-05	  8.66732e-06	  12	  2.93541e-06
113	  0.857168	  0.855186	  5.58895e-05	  4.99956e-06	  12	  1.69323e-06
114	  0.948278	  0.883452	  4.45448e-05	  4.36272e-06	  12	  1.47755e-06
115	  0.468321	  0	  0.000205981	  1.08207e-05	  12	  3.66471e-06
116	  0.479886	  0.218218	  0.000195499	  1.49995e-05	  24	  3.81173e-06
117	  0.51302	  0.408248	  0.000170244	  1.51145e-05	  24	  3.84097e-06
118	  0.563933	  0.557086	  0.000139283	  1.33857e-05	  24	  3.40164e-06
119	  0.628319	  0.666667	  0.000110542	  1.01993e-05	  24	  2.59188e-06
120	  0.702481	  0.745356	  8.67717e-05	  1.16495e-05	  24	  2.96041e-06
121	  0.783651	  0.801784	  6.82336e-05	  9.17927e-06	  24	  2.33267e-06
122	  0.869868	  0.842701	  5.40893e-05	  6.06189e-06	  24	  1.54047e-06
123	  0.959772	  0.872872	  4.33564e-05	  5.93921e-06	  24	  1.5093e-06
124	  0.523599	  0	  0.000163143	  7.96962e-06	  18	  2.27694e-06
125	  0.533968	  0.196116	  0.000156478	  7.96164e-06	  36	  1.72502e-06
126	  0.563933	  0.371391	  0.000139283	  7.03963e-06	  36	  1.52525e-06
127	  0.610616	  0.514496	  0.000117549	  8.09599e-06	  36	  1.75413e-06
128	  0.670534	  0.624695	  9.6046e-05	  8.56948e-06	  36	  1.85672e-06
129	  0.74048	  0.707107	  7.73204e-05	  8.58397e-06	  36	  1.85986e-06
130	  0.817887	  0.768221	  6.2059e-05	  7.47249e-06	  36	  1.61904e-06
131	  0.900833	  0.813733	  5.00066e-05	  7.47683e-06	  36	  1.61998e-06
132	  0.987924	  0.847998	  4.06016e-05	  5.91131e-06	  36	  1.28078e-06
133	  0.533968	  0	  0.000156478	  7.70777e-06	  12	  2.61043e-06
134	  0.54414	  0.19245	  0.000150265	  1.00262e-05	  24	  2.5479e-06
135	  0.573574	  0.365148	  0.00013443	  7.77989e-06	  24	  1.97706e-06
136	  0.61953	  0.507093	  0.000113955	  8.96545e-06	  24	  2.27834e-06
137	  0.678662	  0.617213	  9.3549e-05	  7.7309e-06	  24	  1.96461e-06
138	  0.747849	  0.70014	  7.56299e-05	  7.83796e-06	  24	  1.99181e-06
139	  0.824564	  0.762001	  6.09362e-05	  3.59741e-06	  24	  9.14189e-07
140	  0.9069	  0.80829	  4.92601e-05	  6.70507e-06	  24	  1.70392e-06
141	  0.993459	  0.843274	  4.00947e-05	  4.76622e-06	  24	  1.21121e-06
142	  0.563933	  0	  0.000139283	  3.35186e-06	  12	  1.13519e-06
143	  0.573574	  0.182574	  0.00013443	  6.25659e-06	  24	  1.58995e-06
144	  0.601569	  0.348155	  0.000121384	  7.25489e-06	  24	  1.84364e-06
145	  0.645536	  0.486664	  0.000104283	  8.02017e-06	  24	  2.03812e-06
146	  0.702481	  0.596285	  8.67717e-05	  8.0556e-06	  24	  2.04712e-06
147	  0.76953	  0.680414	  7.10354e-05	  4.84922e-06	  24	  1.2323e-06
148	  0.844278	  0.744208	  5.78037e-05	  7.97266e-06	  24	  2.02604e-06
149	  0.92486	  0.792594	  4.71351e-05	  5.97708e-06	  24	  1.51892e-06
150	  0.592384	  0	  0.000125493	  2.23181e-06	  6	  1.02273e-06
151	  0.601569	  0.174078	  0.000121384	  4.52548e-06	  12	  1.53267e-06
152	  0.628319	  0.333333	  0.000110542	  6.18329e-06	  12	  2.09413e-06
153	  0.670534	  0.468521	  9.6046e-05	  5.17425e-06	  12	  1.75239e-06
154	  0.72552	  0.57735	  8.08652e-05	  8.59582e-06	  12	  2.91119e-06
155	  0.790617	  0.662266	  6.69054e-05	  6.84233e-06	  12	  2.31733e-06
156	  0.863541	  0.727607	  5.49714e-05	  5.11546e-06	  12	  1.73248e-06
157	  0.942478	  0.777778	  4.51737e-05	  4.68571e-06	  12	  1.58693e-06
158	  0.610616	  0	  0.000117549	  5.4962e-06	  12	  1.86143e-06
159	  0.61953	  0.169031	  0.000113955	  5.2863e-06	  24	  1.34338e-06
160	  0.645536	  0.324443	  0.000104283	  6.56889e-06	  24	  1.66931e-06
161	  0.686693	  0.457496	  9.11917e-05	  6.34933e-06	  24	  1.61352e-06
162	  0.74048	  0.565685	  7.73204e-05	  6.20279e-06	  24	  1.57628e-06
163	  0.804368	  0.650945	  6.43985e-05	  7.52791e-06	  24	  1.91302e-06
164	  0.876148	  0.717137	  5.32135e-05	  7.0494e-06	  24	  1.79142e-06
165	  0.954042	  0.76835	  4.39402e-05	  5.48991e-06	  24	  1.39512e-06
166	  0.628319	  0	  0.000110542	  1.31516e-05	  6	  6.0267e-06
167	  0.636985	  0.164399	  0.000107301	  7.89633e-06	  12	  2.67429e-06
168	  0.662306	  0.316228	  9.86289e-05	  5.06375e-06	  12	  1.71496e-06
169	  0.702481	  0.447214	  8.67717e-05	  2.91874e-06	  12	  9.88504e-07
170	  0.755145	  0.5547	  7.40547e-05	  3.84141e-06	  12	  1.30099e-06
171	  0.817887	  0.640184	  6.2059e-05	  4.74773e-06	  12	  1.60794e-06
172	  0.888577	  0.707107	  5.15706e-05	  4.44401e-06	  12	  1.50508e-06
173	  0.965468	  0.759257	  4.27761e-05	  5.72207e-06	  12	  1.93792e-06
174	  0.636985	  0	  0.000107301	  8.04925e-06	  12	  2.72608e-06
175	  0.645536	  0.162221	  0.000104283	  4.1973e-06	  24	  1.06664e-06
176	  0.670534	  0.312348	  9.6046e-05	  4.27726e-06	  24	  1.08696e-06
177	  0.710244	  0.442326	  8.47248e-05	  5.8264e-06	  24	  1.48063e-06
178	  0.762371	  0.549442	  7.24968e-05	  7.66896e-06	  24	  1.94887e-06
179	  0.824564	  0.635001	  6.09362e-05	  3.84131e-06	  24	  9.7617e-07
180	  0.894726	  0.702247	  5.07646e-05	  3.87829e-06	  24	  9.85568e-07
181	  0.971131	  0.754829	  4.22057e-05	  5.28282e-06	  24	  1.34249e-06
182	  0.662306	  0	  9.86289e-05	  4.36002e-06	  12	  1.47663e-06
183	  0.670534	  0.156174	  9.6046e-05	  4.18628e-06	  24	  1.06384e-06
184	  0.694632	  0.301511	  8.89354e-05	  3.82758e-06	  24	  9.7268e-07
185	  0.733038	  0.428571	  7.90303e-05	  6.63012e-06	  24	  1.68487e-06
186	  0.783651	  0.534522	  6.82336e-05	  4.62497e-06	  24	  1.17532e-06
187	  0.844278	  0.620174	  5.78037e-05	  4.68765e-06	  24	  1.19124e-06
188	  0.912926	  0.688247	  4.85186e-05	  3.82882e-06	  24	  9.72996e-07
189	  0.987924	  0.741999	  4.06016e-05	  4.22921e-06	  24	  1.07474e-06
190	  0.670534	  0	  9.6046e-05	  4.59399e-06	  12	  1.55587e-06
191	  0.678662	  0.154303	  9.3549e-05	  3.62086e-06	  24	  9.20148e-07
192	  0.702481	  0.298142	  8.67717e-05	  5.37705e-06	  24	  1.36644e-06
193	  0.74048	  0.424264	  7.73204e-05	  4.67698e-06	  24	  1.18853e-06
