#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00306127	  0.000549879	  3	  0.000344967
1	  0.20944	  1	  0.0010874	  0.000158651	  3	  9.953e-05
2	  0.314159	  1	  0.000509336	  0.000143781	  3	  9.02011e-05
3	  0.418879	  1	  0.00028546	  2.49431e-05	  3	  1.56481e-05
4	  0.523599	  1	  0.000180467	  8.97666e-06	  3	  5.63151e-06
5	  0.628319	  1	  0.000122281	  4.75077e-05	  3	  2.9804e-05
6	  0.733038	  1	  8.74227e-05	  2.00413e-05	  3	  1.25729e-05
7	  0.837758	  1	  6.50738e-05	  1.54642e-05	  3	  9.70148e-06
8	  0.942478	  1	  4.99708e-05	  2.42039e-06	  3	  1.51843e-06
9	  0.10472	  0	  0.00306127	  9.21323e-05	  6	  4.22195e-05
10	  0.148096	  0.707107	  0.00194673	  0.000133673	  12	  4.52716e-05
11	  0.23416	  0.894427	  0.000861366	  0.000159975	  12	  5.41794e-05
12	  0.331153	  0.948683	  0.000461248	  6.67671e-05	  12	  2.26124e-05
13	  0.431771	  0.970143	  0.000268642	  3.35616e-05	  12	  1.13665e-05
14	  0.533968	  0.980581	  0.000173094	  2.21601e-05	  12	  7.50507e-06
15	  0.636985	  0.986394	  0.000118696	  1.49894e-05	  12	  5.07653e-06
16	  0.74048	  0.989949	  8.55312e-05	  1.73038e-05	  12	  5.86037e-06
17	  0.844278	  0.992278	  6.3942e-05	  9.86452e-06	  12	  3.34087e-06
18	  0.948278	  0.993884	  4.92751e-05	  9.14608e-06	  12	  3.09755e-06
19	  0.148096	  0	  0.00194673	  5.1766e-05	  6	  2.37217e-05
20	  0.18138	  0.57735	  0.00138108	  7.35277e-05	  12	  2.4902e-05
21	  0.25651	  0.816497	  0.000758093	  8.02512e-05	  12	  2.71791e-05
22	  0.347316	  0.904534	  0.00041546	  4.49487e-05	  12	  1.5223e-05
23	  0.444288	  0.942809	  0.000253958	  2.68158e-05	  12	  9.08185e-06
24	  0.54414	  0.96225	  0.000166222	  2.72999e-05	  12	  9.24579e-06
25	  0.645536	  0.973329	  0.000115357	  1.53492e-05	  12	  5.1984e-06
26	  0.747849	  0.980196	  8.36612e-05	  1.16495e-05	  12	  3.94539e-06
27	  0.850747	  0.984732	  6.28792e-05	  1.2003e-05	  12	  4.06511e-06
28	  0.954042	  0.987878	  4.86063e-05	  8.28768e-06	  12	  2.80683e-06
29	  0.20944	  0	  0.0010874	  3.12287e-05	  6	  1.43105e-05
30	  0.23416	  0.447214	  0.000861366	  5.06528e-05	  12	  1.71549e-05
31	  0.296192	  0.707107	  0.000560902	  5.95171e-05	  12	  2.0157e-05
32	  0.377572	  0.83205	  0.000353507	  4.19229e-05	  12	  1.41982e-05
33	  0.468321	  0.894427	  0.000227855	  3.36974e-05	  12	  1.14125e-05
34	  0.563933	  0.928477	  0.000154074	  1.18549e-05	  12	  4.01495e-06
35	  0.662306	  0.948683	  0.000109103	  1.32703e-05	  12	  4.49431e-06
36	  0.762371	  0.961524	  8.01954e-05	  1.1192e-05	  12	  3.79046e-06
37	  0.863541	  0.970143	  6.0809e-05	  4.41569e-06	  12	  1.49548e-06
38	  0.965468	  0.976187	  4.73186e-05	  6.12065e-06	  12	  2.07291e-06
39	  0.23416	  0	  0.000861366	  3.24896e-05	  12	  1.10034e-05
40	  0.25651	  0.408248	  0.000758093	  3.21658e-05	  24	  8.17411e-06
41	  0.314159	  0.666667	  0.000509336	  4.36594e-05	  24	  1.10949e-05
42	  0.391825	  0.801784	  0.00032913	  3.08943e-05	  24	  7.85098e-06
43	  0.479886	  0.872872	  0.00021626	  3.74339e-05	  24	  9.51287e-06
44	  0.573574	  0.912871	  0.000148705	  1.62607e-05	  24	  4.13224e-06
45	  0.670534	  0.937043	  0.000106245	  1.12473e-05	  24	  2.85822e-06
46	  0.76953	  0.952579	  7.85788e-05	  1.09561e-05	  24	  2.78421e-06
47	  0.869868	  0.963087	  5.98331e-05	  9.25131e-06	  24	  2.35098e-06
48	  0.971131	  0.970495	  4.66877e-05	  6.87063e-06	  24	  1.74599e-06
49	  0.296192	  0	  0.000560902	  1.84267e-05	  6	  8.44398e-06
50	  0.314159	  0.333333	  0.000509336	  2.39862e-05	  12	  8.12354e-06
51	  0.36276	  0.57735	  0.000380271	  2.08199e-05	  12	  7.05119e-06
52	  0.431771	  0.727607	  0.000268642	  2.57111e-05	  12	  8.70771e-06
53	  0.51302	  0.816497	  0.000188322	  2.34333e-05	  12	  7.93629e-06
54	  0.601569	  0.870388	  0.000134274	  1.68513e-05	  12	  5.70713e-06
55	  0.694632	  0.904534	  9.83796e-05	  1.6362e-05	  12	  5.54139e-06
56	  0.790617	  0.927173	  7.40102e-05	  8.28912e-06	  12	  2.80732e-06
57	  0.888577	  0.942809	  5.7047e-05	  7.44254e-06	  12	  2.5206e-06
58	  0.987924	  0.953998	  4.49132e-05	  4.01603e-06	  12	  1.36013e-06
59	  0.314159	  0	  0.000509336	  2.30576e-05	  6	  1.05661e-05
60	  0.331153	  0.316228	  0.000461248	  2.04592e-05	  12	  6.92902e-06
61	  0.377572	  0.5547	  0.000353507	  2.69999e-05	  12	  9.14419e-06
62	  0.444288	  0.707107	  0.000253958	  1.50464e-05	  12	  5.09584e-06
63	  0.523599	  0.8	  0.000180467	  2.2232e-05	  12	  7.52944e-06
64	  0.610616	  0.857493	  0.000130032	  8.26652e-06	  12	  2.79966e-06
65	  0.702481	  0.894427	  9.59862e-05	  9.68723e-06	  12	  3.28082e-06
66	  0.797522	  0.919145	  7.25949e-05	  9.42156e-06	  12	  3.19085e-06
67	  0.894726	  0.936329	  5.61554e-05	  4.36812e-06	  12	  1.47937e-06
68	  0.993459	  0.948683	  4.43525e-05	  6.03832e-06	  12	  2.04503e-06
69	  0.331153	  0	  0.000461248	  1.48028e-05	  12	  5.01334e-06
70	  0.347316	  0.301511	  0.00041546	  1.41786e-05	  24	  3.60312e-06
71	  0.391825	  0.534522	  0.00032913	  1.43567e-05	  24	  3.64838e-06
72	  0.456463	  0.688247	  0.000240494	  2.5947e-05	  24	  6.59377e-06
73	  0.533968	  0.784465	  0.000173094	  1.34302e-05	  24	  3.41295e-06
74	  0.61953	  0.845154	  0.000126056	  1.06309e-05	  24	  2.70157e-06
75	  0.710244	  0.884652	  9.37219e-05	  1.47328e-05	  24	  3.74397e-06
76	  0.804368	  0.911322	  7.12372e-05	  9.56006e-06	  24	  2.42944e-06
77	  0.900833	  0.929981	  5.53169e-05	  6.56635e-06	  24	  1.66867e-06
78	  0.998963	  0.943456	  4.38063e-05	  4.63682e-06	  24	  1.17833e-06
79	  0.377572	  0	  0.000353507	  1.27762e-05	  12	  4.32699e-06
80	  0.391825	  0.267261	  0.00032913	  9.25606e-06	  24	  2.35219e-06
81	  0.431771	  0.485071	  0.000268642	  1.72541e-05	  24	  4.3847e-06
82	  0.491179	  0.639602	  0.000205912	  1.14128e-05	  24	  2.90027e-06
83	  0.563933	  0.742781	  0.000154074	  1.55168e-05	  24	  3.94318e-06
84	  0.645536	  0.811107	  0.000115357	  1.26101e-05	  24	  3.20454e-06
85	  0.733038	  0.857143	  8.74227e-05	  1.11015e-05	  24	  2.82117e-06
86	  0.824564	  0.889001	  6.74072e-05	  5.08286e-06	  24	  1.29168e-06
87	  0.918912	  0.911685	  5.29003e-05	  7.14817e-06	  24	  1.81652e-06
88	  0.418879	  0	  0.00028546	  3.38571e-06	  6	  1.5515e-06
89	  0.431771	  0.242536	  0.000268642	  7.03387e-06	  12	  2.3822e-06
90	  0.468321	  0.447214	  0.000227855	  1.26486e-05	  12	  4.28376e-06
91	  0.523599	  0.6	  0.000180467	  1.21204e-05	  12	  4.10486e-06
92	  0.592384	  0.707107	  0.000138819	  5.22047e-06	  12	  1.76804e-06
93	  0.670534	  0.780869	  0.000106245	  1.22433e-05	  12	  4.14651e-06
94	  0.755145	  0.83205	  8.19187e-05	  7.36148e-06	  12	  2.49315e-06
95	  0.844278	  0.868243	  6.3942e-05	  7.06156e-06	  12	  2.39157e-06
96	  0.936642	  0.894427	  5.06708e-05	  4.1153e-06	  12	  1.39375e-06
97	  0.431771	  0	  0.000268642	  7.03039e-06	  12	  2.38102e-06
