#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00306127	  0.000584362	  3	  0.0003666
1	  0.20944	  1	  0.0010874	  0.00016898	  3	  0.000106009
2	  0.314159	  1	  0.000509336	  0.000152005	  3	  9.53605e-05
3	  0.418879	  1	  0.00028546	  2.6992e-05	  3	  1.69334e-05
4	  0.523599	  1	  0.000180467	  9.40754e-06	  3	  5.90182e-06
5	  0.628319	  1	  0.000122281	  5.05276e-05	  3	  3.16985e-05
6	  0.733038	  1	  8.74227e-05	  2.07979e-05	  3	  1.30476e-05
7	  0.837758	  1	  6.50738e-05	  1.61241e-05	  3	  1.01154e-05
8	  0.942478	  1	  4.99708e-05	  2.66573e-06	  3	  1.67235e-06
9	  0.10472	  0	  0.00306127	  9.51235e-05	  6	  4.35902e-05
10	  0.148096	  0.707107	  0.00194673	  0.000140841	  12	  4.76992e-05
11	  0.23416	  0.894427	  0.000861366	  0.000168721	  12	  5.71416e-05
12	  0.331153	  0.948683	  0.000461248	  7.06442e-05	  12	  2.39254e-05
13	  0.431771	  0.970143	  0.000268642	  3.5907e-05	  12	  1.21608e-05
14	  0.533968	  0.980581	  0.000173094	  2.34159e-05	  12	  7.93037e-06
15	  0.636985	  0.986394	  0.000118696	  1.60632e-05	  12	  5.4402e-06
16	  0.74048	  0.989949	  8.55312e-05	  1.85021e-05	  12	  6.2662e-06
17	  0.844278	  0.992278	  6.3942e-05	  1.04271e-05	  12	  3.53139e-06
18	  0.948278	  0.993884	  4.92751e-05	  9.77268e-06	  12	  3.30976e-06
19	  0.148096	  0	  0.00194673	  5.29176e-05	  6	  2.42494e-05
20	  0.18138	  0.57735	  0.00138108	  7.64994e-05	  12	  2.59084e-05
21	  0.25651	  0.816497	  0.000758093	  8.44694e-05	  12	  2.86077e-05
22	  0.347316	  0.904534	  0.00041546	  4.75359e-05	  12	  1.60992e-05
23	  0.444288	  0.942809	  0.000253958	  2.83476e-05	  12	  9.60064e-06
24	  0.54414	  0.96225	  0.000166222	  2.90245e-05	  12	  9.82989e-06
25	  0.645536	  0.973329	  0.000115357	  1.62675e-05	  12	  5.50939e-06
26	  0.747849	  0.980196	  8.36612e-05	  1.23695e-05	  12	  4.18923e-06
27	  0.850747	  0.984732	  6.28792e-05	  1.27065e-05	  12	  4.30338e-06
28	  0.954042	  0.987878	  4.86063e-05	  8.77279e-06	  12	  2.97113e-06
29	  0.20944	  0	  0.0010874	  3.25382e-05	  6	  1.49106e-05
30	  0.23416	  0.447214	  0.000861366	  5.25416e-05	  12	  1.77945e-05
31	  0.296192	  0.707107	  0.000560902	  6.23969e-05	  12	  2.11323e-05
32	  0.377572	  0.83205	  0.000353507	  4.40899e-05	  12	  1.49321e-05
33	  0.468321	  0.894427	  0.000227855	  3.54747e-05	  12	  1.20144e-05
34	  0.563933	  0.928477	  0.000154074	  1.27141e-05	  12	  4.30595e-06
35	  0.662306	  0.948683	  0.000109103	  1.41257e-05	  12	  4.78403e-06
36	  0.762371	  0.961524	  8.01954e-05	  1.20007e-05	  12	  4.06433e-06
37	  0.863541	  0.970143	  6.0809e-05	  4.66115e-06	  12	  1.57862e-06
38	  0.965468	  0.976187	  4.73186e-05	  6.51406e-06	  12	  2.20615e-06
39	  0.23416	  0	  0.000861366	  3.28844e-05	  12	  1.11371e-05
