#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000696484	  3	  0.00043694
1	  0.20944	  1	  0.000983009	  0.000202655	  3	  0.000127136
2	  0.314159	  1	  0.000460441	  0.000179818	  3	  0.000112809
3	  0.418879	  1	  0.000258057	  3.08258e-05	  3	  1.93386e-05
4	  0.523599	  1	  0.000163143	  1.19994e-05	  3	  7.52781e-06
5	  0.628319	  1	  0.000110542	  6.42669e-05	  3	  4.03179e-05
6	  0.733038	  1	  7.90303e-05	  2.49959e-05	  3	  1.56812e-05
7	  0.837758	  1	  5.88269e-05	  1.86988e-05	  3	  1.17307e-05
8	  0.942478	  1	  4.51737e-05	  3.48684e-06	  3	  2.18747e-06
9	  0.10472	  0	  0.00276739	  0.000114113	  6	  5.22922e-05
10	  0.148096	  0.707107	  0.00175985	  0.000169532	  12	  5.74161e-05
11	  0.23416	  0.894427	  0.000778677	  0.000201347	  12	  6.81912e-05
12	  0.331153	  0.948683	  0.000416969	  8.59176e-05	  12	  2.90981e-05
13	  0.431771	  0.970143	  0.000242853	  4.17831e-05	  12	  1.41509e-05
14	  0.533968	  0.980581	  0.000156478	  2.76242e-05	  12	  9.35563e-06
15	  0.636985	  0.986394	  0.000107301	  1.99832e-05	  12	  6.7678e-06
16	  0.74048	  0.989949	  7.73204e-05	  2.14111e-05	  12	  7.2514e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.30551e-05	  12	  4.42142e-06
18	  0.948278	  0.993884	  4.45448e-05	  1.203e-05	  12	  4.07427e-06
19	  0.148096	  0	  0.00175985	  6.53746e-05	  6	  2.99578e-05
20	  0.18138	  0.57735	  0.0012485	  9.48456e-05	  12	  3.21218e-05
21	  0.25651	  0.816497	  0.000685318	  0.000103143	  12	  3.49318e-05
22	  0.347316	  0.904534	  0.000375577	  5.70546e-05	  12	  1.9323e-05
23	  0.444288	  0.942809	  0.000229579	  3.24508e-05	  12	  1.09903e-05
24	  0.54414	  0.96225	  0.000150265	  3.5806e-05	  12	  1.21266e-05
25	  0.645536	  0.973329	  0.000104283	  1.90559e-05	  12	  6.45376e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.59043e-05	  12	  5.38638e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.56078e-05	  12	  5.28597e-06
28	  0.954042	  0.987878	  4.39402e-05	  1.03566e-05	  12	  3.50753e-06
29	  0.20944	  0	  0.000983009	  3.95205e-05	  6	  1.81102e-05
30	  0.23416	  0.447214	  0.000778677	  6.31992e-05	  12	  2.1404e-05
31	  0.296192	  0.707107	  0.000507056	  7.3989e-05	  12	  2.50583e-05
32	  0.377572	  0.83205	  0.000319571	  5.33203e-05	  12	  1.80582e-05
33	  0.468321	  0.894427	  0.000205981	  4.30188e-05	  12	  1.45694e-05
34	  0.563933	  0.928477	  0.000139283	  1.47683e-05	  12	  5.00167e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.72591e-05	  12	  5.84522e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.33051e-05	  12	  4.50611e-06
37	  0.863541	  0.970143	  5.49714e-05	  6.07081e-06	  12	  2.05603e-06
38	  0.965468	  0.976187	  4.27761e-05	  7.90232e-06	  12	  2.67632e-06
39	  0.23416	  0	  0.000778677	  4.06446e-05	  12	  1.37653e-05
40	  0.25651	  0.408248	  0.000685318	  4.10997e-05	  24	  1.04444e-05
41	  0.314159	  0.666667	  0.000460441	  5.5454e-05	  24	  1.40922e-05
42	  0.391825	  0.801784	  0.000297534	  3.90545e-05	  24	  9.92469e-06
43	  0.479886	  0.872872	  0.000195499	  4.86223e-05	  24	  1.23561e-05
44	  0.573574	  0.912871	  0.00013443	  2.07878e-05	  24	  5.28268e-06
45	  0.670534	  0.937043	  9.6046e-05	  1.4572e-05	  24	  3.70309e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.42741e-05	  24	  3.6274e-06
47	  0.869868	  0.963087	  5.40893e-05	  1.21446e-05	  24	  3.08623e-06
48	  0.971131	  0.970495	  4.22057e-05	  8.61017e-06	  24	  2.18805e-06
49	  0.296192	  0	  0.000507056	  2.27027e-05	  6	  1.04035e-05
50	  0.314159	  0.333333	  0.000460441	  3.02729e-05	  12	  1.02527e-05
51	  0.36276	  0.57735	  0.000343765	  2.68188e-05	  12	  9.08285e-06
52	  0.431771	  0.727607	  0.000242853	  3.27941e-05	  12	  1.11065e-05
53	  0.51302	  0.816497	  0.000170244	  3.06814e-05	  12	  1.0391e-05
54	  0.601569	  0.870388	  0.000121384	  2.10104e-05	  12	  7.11569e-06
55	  0.694632	  0.904534	  8.89354e-05	  2.00382e-05	  12	  6.78644e-06
56	  0.790617	  0.927173	  6.69054e-05	  1.0142e-05	  12	  3.43484e-06
57	  0.888577	  0.942809	  5.15706e-05	  9.6925e-06	  12	  3.28261e-06
58	  0.987924	  0.953998	  4.06016e-05	  5.47943e-06	  12	  1.85575e-06
59	  0.314159	  0	  0.000460441	  2.77512e-05	  6	  1.27169e-05
60	  0.331153	  0.316228	  0.000416969	  2.62771e-05	  12	  8.89942e-06
61	  0.377572	  0.5547	  0.000319571	  3.4044e-05	  12	  1.15298e-05
62	  0.444288	  0.707107	  0.000229579	  1.95567e-05	  12	  6.62337e-06
63	  0.523599	  0.8	  0.000163143	  2.84706e-05	  12	  9.64228e-06
64	  0.610616	  0.857493	  0.000117549	  1.00503e-05	  12	  3.40377e-06
65	  0.702481	  0.894427	  8.67717e-05	  1.19885e-05	  12	  4.0602e-06
66	  0.797522	  0.919145	  6.56259e-05	  1.19393e-05	  12	  4.04354e-06
67	  0.894726	  0.936329	  5.07646e-05	  5.71408e-06	  12	  1.93522e-06
68	  0.993459	  0.948683	  4.00947e-05	  7.78167e-06	  12	  2.63546e-06
69	  0.331153	  0	  0.000416969	  1.84035e-05	  12	  6.23282e-06
70	  0.347316	  0.301511	  0.000375577	  1.79912e-05	  24	  4.572e-06
71	  0.391825	  0.534522	  0.000297534	  1.81612e-05	  24	  4.61521e-06
72	  0.456463	  0.688247	  0.000217407	  3.27672e-05	  24	  8.32694e-06
73	  0.533968	  0.784465	  0.000156478	  1.68143e-05	  24	  4.27293e-06
74	  0.61953	  0.845154	  0.000113955	  1.39059e-05	  24	  3.53382e-06
75	  0.710244	  0.884652	  8.47248e-05	  1.80344e-05	  24	  4.58297e-06
76	  0.804368	  0.911322	  6.43985e-05	  1.29202e-05	  24	  3.28335e-06
77	  0.900833	  0.929981	  5.00066e-05	  8.32484e-06	  24	  2.11554e-06
78	  0.998963	  0.943456	  3.9601e-05	  6.11668e-06	  24	  1.5544e-06
79	  0.377572	  0	  0.000319571	  1.61863e-05	  12	  5.48188e-06
80	  0.391825	  0.267261	  0.000297534	  1.15479e-05	  24	  2.9346e-06
81	  0.431771	  0.485071	  0.000242853	  2.23214e-05	  24	  5.67241e-06
82	  0.491179	  0.639602	  0.000186145	  1.44925e-05	  24	  3.68289e-06
83	  0.563933	  0.742781	  0.000139283	  1.96217e-05	  24	  4.98636e-06
84	  0.645536	  0.811107	  0.000104283	  1.6009e-05	  24	  4.06828e-06
85	  0.733038	  0.857143	  7.90303e-05	  1.42837e-05	  24	  3.62984e-06
86	  0.824564	  0.889001	  6.09362e-05	  6.4767e-06	  24	  1.64589e-06
87	  0.918912	  0.911685	  4.7822e-05	  8.96132e-06	  24	  2.27729e-06
88	  0.418879	  0	  0.000258057	  4.18977e-06	  6	  1.91996e-06
89	  0.431771	  0.242536	  0.000242853	  8.74456e-06	  12	  2.96156e-06
90	  0.468321	  0.447214	  0.000205981	  1.58778e-05	  12	  5.37741e-06
91	  0.523599	  0.6	  0.000163143	  1.54673e-05	  12	  5.23839e-06
92	  0.592384	  0.707107	  0.000125493	  6.39204e-06	  12	  2.16483e-06
93	  0.670534	  0.780869	  9.6046e-05	  1.54802e-05	  12	  5.24275e-06
94	  0.755145	  0.83205	  7.40547e-05	  9.35503e-06	  12	  3.16832e-06
95	  0.844278	  0.868243	  5.78037e-05	  9.03266e-06	  12	  3.05914e-06
96	  0.936642	  0.894427	  4.58065e-05	  5.69484e-06	  12	  1.9287e-06
97	  0.431771	  0	  0.000242853	  8.92274e-06	  12	  3.02191e-06
98	  0.444288	  0.235702	  0.000229579	  5.1244e-06	  24	  1.30223e-06
99	  0.479886	  0.436436	  0.000195499	  1.92191e-05	  24	  4.88403e-06
100	  0.533968	  0.588348	  0.000156478	  1.07955e-05	  24	  2.74339e-06
101	  0.601569	  0.696311	  0.000121384	  8.81995e-06	  24	  2.24136e-06
102	  0.678662	  0.771517	  9.3549e-05	  8.79215e-06	  24	  2.2343e-06
103	  0.762371	  0.824163	  7.24968e-05	  1.37794e-05	  24	  3.50168e-06
104	  0.850747	  0.86164	  5.6843e-05	  1.07514e-05	  24	  2.7322e-06
105	  0.942478	  0.888889	  4.51737e-05	  9.13336e-06	  24	  2.32101e-06
106	  0.444288	  0	  0.000229579	  8.54231e-06	  6	  3.9145e-06
107	  0.456463	  0.229416	  0.000217407	  1.4269e-05	  12	  4.83254e-06
108	  0.491179	  0.426401	  0.000186145	  1.24168e-05	  12	  4.20527e-06
109	  0.54414	  0.57735	  0.000150265	  4.89055e-06	  12	  1.65631e-06
110	  0.610616	  0.685994	  0.000117549	  1.63352e-05	  12	  5.53234e-06
111	  0.686693	  0.762493	  9.11917e-05	  1.01726e-05	  12	  3.44519e-06
112	  0.76953	  0.816497	  7.10354e-05	  8.84598e-06	  12	  2.99591e-06
113	  0.857168	  0.855186	  5.58895e-05	  5.12689e-06	  12	  1.73635e-06
114	  0.948278	  0.883452	  4.45448e-05	  4.48164e-06	  12	  1.51782e-06
115	  0.468321	  0	  0.000205981	  1.02211e-05	  12	  3.46162e-06
116	  0.479886	  0.218218	  0.000195499	  1.44205e-05	  24	  3.66459e-06
117	  0.51302	  0.408248	  0.000170244	  1.47722e-05	  24	  3.75398e-06
118	  0.563933	  0.557086	  0.000139283	  1.33637e-05	  24	  3.39604e-06
119	  0.628319	  0.666667	  0.000110542	  1.03046e-05	  24	  2.61864e-06
120	  0.702481	  0.745356	  8.67717e-05	  1.19198e-05	  24	  3.0291e-06
