#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00146375	  0.000459529	  3	  0.000288286
1	  0.20944	  1	  0.000519939	  0.000145229	  3	  9.11096e-05
2	  0.314159	  1	  0.000243539	  0.000114814	  3	  7.20288e-05
3	  0.418879	  1	  0.000136493	  2.0348e-05	  3	  1.27653e-05
4	  0.523599	  1	  8.62903e-05	  1.29462e-05	  3	  8.12179e-06
5	  0.628319	  1	  5.84687e-05	  5.4929e-05	  3	  3.44597e-05
6	  0.733038	  1	  4.18011e-05	  1.1639e-05	  3	  7.30174e-06
7	  0.837758	  1	  3.11151e-05	  8.15235e-06	  3	  5.11438e-06
8	  0.942478	  1	  2.38935e-05	  6.91646e-06	  3	  4.33904e-06
9	  0.10472	  0	  0.00146375	  0.000109059	  6	  4.99759e-05
10	  0.148096	  0.707107	  0.000930831	  0.000135063	  12	  4.57423e-05
11	  0.23416	  0.894427	  0.000411862	  0.000131701	  12	  4.46039e-05
12	  0.331153	  0.948683	  0.000220546	  6.29863e-05	  12	  2.13319e-05
13	  0.431771	  0.970143	  0.000128451	  2.93425e-05	  12	  9.93759e-06
14	  0.533968	  0.980581	  8.2765e-05	  1.92645e-05	  12	  6.52442e-06
15	  0.636985	  0.986394	  5.67543e-05	  1.84712e-05	  12	  6.25573e-06
16	  0.74048	  0.989949	  4.08967e-05	  1.32227e-05	  12	  4.47822e-06
17	  0.844278	  0.992278	  3.05739e-05	  1.07434e-05	  12	  3.63852e-06
18	  0.948278	  0.993884	  2.35609e-05	  9.17045e-06	  12	  3.1058e-06
19	  0.148096	  0	  0.000930831	  6.45868e-05	  6	  2.95968e-05
20	  0.18138	  0.57735	  0.000660365	  7.5495e-05	  12	  2.55683e-05
21	  0.25651	  0.816497	  0.000362482	  7.61254e-05	  12	  2.57818e-05
22	  0.347316	  0.904534	  0.000198652	  4.25366e-05	  12	  1.44061e-05
23	  0.444288	  0.942809	  0.00012143	  1.92617e-05	  12	  6.52347e-06
24	  0.54414	  0.96225	  7.94789e-05	  3.08953e-05	  12	  1.04635e-05
25	  0.645536	  0.973329	  5.51579e-05	  1.18425e-05	  12	  4.01077e-06
26	  0.747849	  0.980196	  4.00026e-05	  1.53845e-05	  12	  5.21035e-06
27	  0.850747	  0.984732	  3.00657e-05	  1.06607e-05	  12	  3.6105e-06
28	  0.954042	  0.987878	  2.32411e-05	  5.0416e-06	  12	  1.70746e-06
29	  0.20944	  0	  0.000519939	  4.05095e-05	  6	  1.85634e-05
30	  0.23416	  0.447214	  0.000411862	  5.06894e-05	  12	  1.71672e-05
31	  0.296192	  0.707107	  0.000268195	  5.38057e-05	  12	  1.82227e-05
32	  0.377572	  0.83205	  0.000169029	  3.96061e-05	  12	  1.34136e-05
33	  0.468321	  0.894427	  0.000108949	  2.80829e-05	  12	  9.51097e-06
