#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.0028332	  0.000310727	  3	  0.000194934
1	  0.20944	  1	  0.00100638	  9.2392e-05	  3	  5.79622e-05
2	  0.314159	  1	  0.00047139	  8.2001e-05	  3	  5.14434e-05
3	  0.418879	  1	  0.000264193	  1.50208e-05	  3	  9.42332e-06
4	  0.523599	  1	  0.000167022	  5.09283e-06	  3	  3.19499e-06
5	  0.628319	  1	  0.000113171	  2.88834e-05	  3	  1.812e-05
6	  0.733038	  1	  8.09096e-05	  1.05324e-05	  3	  6.60748e-06
7	  0.837758	  1	  6.02258e-05	  8.27799e-06	  3	  5.1932e-06
8	  0.942478	  1	  4.62479e-05	  1.62265e-06	  3	  1.01797e-06
9	  0.10472	  0	  0.0028332	  5.97481e-05	  6	  2.73795e-05
10	  0.148096	  0.707107	  0.0018017	  8.05069e-05	  12	  2.72657e-05
11	  0.23416	  0.894427	  0.000797193	  9.05237e-05	  12	  3.06581e-05
12	  0.331153	  0.948683	  0.000426884	  3.82932e-05	  12	  1.2969e-05
13	  0.431771	  0.970143	  0.000248628	  2.11968e-05	  12	  7.17884e-06
14	  0.533968	  0.980581	  0.000160199	  1.27765e-05	  12	  4.32708e-06
15	  0.636985	  0.986394	  0.000109853	  9.51583e-06	  12	  3.22278e-06
16	  0.74048	  0.989949	  7.91591e-05	  1.07557e-05	  12	  3.64269e-06
17	  0.844278	  0.992278	  5.91782e-05	  5.99313e-06	  12	  2.02972e-06
18	  0.948278	  0.993884	  4.5604e-05	  5.6172e-06	  12	  1.90241e-06
19	  0.148096	  0	  0.0018017	  3.26026e-05	  6	  1.49401e-05
20	  0.18138	  0.57735	  0.00127819	  4.15854e-05	  12	  1.40839e-05
21	  0.25651	  0.816497	  0.000701614	  4.63821e-05	  12	  1.57085e-05
22	  0.347316	  0.904534	  0.000384508	  2.64569e-05	  12	  8.96028e-06
23	  0.444288	  0.942809	  0.000235038	  1.52008e-05	  12	  5.14814e-06
24	  0.54414	  0.96225	  0.000153838	  1.70504e-05	  12	  5.77455e-06
25	  0.645536	  0.973329	  0.000106763	  9.05459e-06	  12	  3.06656e-06
26	  0.747849	  0.980196	  7.74283e-05	  7.28547e-06	  12	  2.46741e-06
27	  0.850747	  0.984732	  5.81947e-05	  7.06491e-06	  12	  2.39271e-06
28	  0.954042	  0.987878	  4.49851e-05	  4.54616e-06	  12	  1.53967e-06
29	  0.20944	  0	  0.00100638	  2.08468e-05	  6	  9.55303e-06
30	  0.23416	  0.447214	  0.000797193	  3.10861e-05	  12	  1.05281e-05
31	  0.296192	  0.707107	  0.000519114	  3.59352e-05	  12	  1.21704e-05
32	  0.377572	  0.83205	  0.00032717	  2.47389e-05	  12	  8.37846e-06
33	  0.468321	  0.894427	  0.000210879	  1.8839e-05	  12	  6.38029e-06
34	  0.563933	  0.928477	  0.000142596	  7.595e-06	  12	  2.57224e-06
35	  0.662306	  0.948683	  0.000100974	  8.38928e-06	  12	  2.84124e-06
36	  0.762371	  0.961524	  7.42207e-05	  6.60076e-06	  12	  2.23551e-06
37	  0.863541	  0.970143	  5.62786e-05	  2.70576e-06	  12	  9.16375e-07
38	  0.965468	  0.976187	  4.37933e-05	  3.91605e-06	  12	  1.32627e-06
39	  0.23416	  0	  0.000797193	  2.01611e-05	  12	  6.82805e-06
40	  0.25651	  0.408248	  0.000701614	  1.9444e-05	  24	  4.9412e-06
41	  0.314159	  0.666667	  0.00047139	  2.56819e-05	  24	  6.5264e-06
42	  0.391825	  0.801784	  0.000304609	  1.87137e-05	  24	  4.75561e-06
43	  0.479886	  0.872872	  0.000200148	  2.23347e-05	  24	  5.6758e-06
44	  0.573574	  0.912871	  0.000137627	  9.64893e-06	  24	  2.45203e-06
45	  0.670534	  0.937043	  9.83299e-05	  7.19993e-06	  24	  1.82968e-06
46	  0.76953	  0.952579	  7.27246e-05	  6.67184e-06	  24	  1.69548e-06
47	  0.869868	  0.963087	  5.53755e-05	  5.68597e-06	  24	  1.44494e-06
48	  0.971131	  0.970495	  4.32094e-05	  4.16091e-06	  24	  1.05739e-06
49	  0.296192	  0	  0.000519114	  1.14549e-05	  6	  5.2492e-06
50	  0.314159	  0.333333	  0.00047139	  1.43941e-05	  12	  4.87494e-06
51	  0.36276	  0.57735	  0.00035194	  1.22985e-05	  12	  4.16519e-06
52	  0.431771	  0.727607	  0.000248628	  1.47001e-05	  12	  4.97855e-06
53	  0.51302	  0.816497	  0.000174292	  1.43809e-05	  12	  4.87045e-06
54	  0.601569	  0.870388	  0.00012427	  1.0375e-05	  12	  3.51375e-06
55	  0.694632	  0.904534	  9.10502e-05	  9.41342e-06	  12	  3.18809e-06
56	  0.790617	  0.927173	  6.84964e-05	  5.01068e-06	  12	  1.69699e-06
57	  0.888577	  0.942809	  5.2797e-05	  4.55296e-06	  12	  1.54198e-06
58	  0.987924	  0.953998	  4.15671e-05	  2.3978e-06	  12	  8.12075e-07
59	  0.314159	  0	  0.00047139	  1.49499e-05	  6	  6.85075e-06
60	  0.331153	  0.316228	  0.000426884	  1.20595e-05	  12	  4.08424e-06
61	  0.377572	  0.5547	  0.00032717	  1.60835e-05	  12	  5.44709e-06
62	  0.444288	  0.707107	  0.000235038	  8.69605e-06	  12	  2.94514e-06
63	  0.523599	  0.8	  0.000167022	  1.3139e-05	  12	  4.44984e-06
64	  0.610616	  0.857493	  0.000120345	  5.09664e-06	  12	  1.72611e-06
65	  0.702481	  0.894427	  8.88351e-05	  6.23008e-06	  12	  2.10997e-06
66	  0.797522	  0.919145	  6.71865e-05	  6.03532e-06	  12	  2.04401e-06
67	  0.894726	  0.936329	  5.19718e-05	  2.65132e-06	  12	  8.97936e-07
68	  0.993459	  0.948683	  4.10482e-05	  3.45481e-06	  12	  1.17006e-06
69	  0.331153	  0	  0.000426884	  9.41078e-06	  12	  3.1872e-06
