#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000609265	  3	  0.000382223
1	  0.20944	  1	  0.000983009	  0.00024629	  3	  0.00015451
2	  0.314159	  1	  0.000460441	  0.000169146	  3	  0.000106114
3	  0.418879	  1	  0.000258057	  8.03566e-05	  3	  5.04117e-05
4	  0.523599	  1	  0.000163143	  4.02749e-05	  3	  2.52665e-05
5	  0.628319	  1	  0.000110542	  5.01716e-05	  3	  3.14752e-05
6	  0.733038	  1	  7.90303e-05	  1.24423e-05	  3	  7.80568e-06
7	  0.837758	  1	  5.88269e-05	  8.52751e-06	  3	  5.34974e-06
8	  0.942478	  1	  4.51737e-05	  1.41917e-05	  3	  8.90318e-06
9	  0.10472	  0	  0.00276739	  0.000140241	  6	  6.42654e-05
10	  0.148096	  0.707107	  0.00175985	  0.000425883	  12	  0.000144236
11	  0.23416	  0.894427	  0.000778677	  0.000199265	  12	  6.74862e-05
12	  0.331153	  0.948683	  0.000416969	  0.000134213	  12	  4.54548e-05
13	  0.431771	  0.970143	  0.000242853	  5.64182e-05	  12	  1.91074e-05
14	  0.533968	  0.980581	  0.000156478	  3.67859e-05	  12	  1.24585e-05
15	  0.636985	  0.986394	  0.000107301	  2.99977e-05	  12	  1.01595e-05
16	  0.74048	  0.989949	  7.73204e-05	  2.37982e-05	  12	  8.05985e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.5306e-05	  12	  5.18375e-06
18	  0.948278	  0.993884	  4.45448e-05	  7.31493e-06	  12	  2.47739e-06
19	  0.148096	  0	  0.00175985	  0.000147183	  6	  6.74465e-05
20	  0.18138	  0.57735	  0.0012485	  6.76027e-05	  12	  2.28954e-05
21	  0.25651	  0.816497	  0.000685318	  0.000108012	  12	  3.65808e-05
22	  0.347316	  0.904534	  0.000375577	  6.72419e-05	  12	  2.27731e-05
23	  0.444288	  0.942809	  0.000229579	  3.94969e-05	  12	  1.33766e-05
24	  0.54414	  0.96225	  0.000150265	  2.00806e-05	  12	  6.80081e-06
25	  0.645536	  0.973329	  0.000104283	  2.76928e-05	  12	  9.37886e-06
26	  0.747849	  0.980196	  7.56299e-05	  1.2967e-05	  12	  4.39161e-06
27	  0.850747	  0.984732	  5.6843e-05	  7.86755e-06	  12	  2.66454e-06
28	  0.954042	  0.987878	  4.39402e-05	  1.01497e-05	  12	  3.43745e-06
29	  0.20944	  0	  0.000983009	  4.01946e-05	  6	  1.84191e-05
30	  0.23416	  0.447214	  0.000778677	  6.72812e-05	  12	  2.27865e-05
31	  0.296192	  0.707107	  0.000507056	  5.56662e-05	  12	  1.88528e-05
32	  0.377572	  0.83205	  0.000319571	  4.06785e-05	  12	  1.37768e-05
33	  0.468321	  0.894427	  0.000205981	  4.38421e-05	  12	  1.48482e-05
34	  0.563933	  0.928477	  0.000139283	  2.18608e-05	  12	  7.40372e-06
35	  0.662306	  0.948683	  9.86289e-05	  2.2119e-05	  12	  7.49115e-06
36	  0.762371	  0.961524	  7.24968e-05	  2.0752e-05	  12	  7.02819e-06
37	  0.863541	  0.970143	  5.49714e-05	  7.86127e-06	  12	  2.66242e-06
38	  0.965468	  0.976187	  4.27761e-05	  8.64245e-06	  12	  2.92698e-06
39	  0.23416	  0	  0.000778677	  4.06128e-05	  12	  1.37546e-05
40	  0.25651	  0.408248	  0.000685318	  4.3383e-05	  24	  1.10247e-05
41	  0.314159	  0.666667	  0.000460441	  4.72097e-05	  24	  1.19971e-05
42	  0.391825	  0.801784	  0.000297534	  2.96242e-05	  24	  7.52822e-06
43	  0.479886	  0.872872	  0.000195499	  3.40099e-05	  24	  8.64273e-06
44	  0.573574	  0.912871	  0.00013443	  2.45446e-05	  24	  6.23739e-06
45	  0.670534	  0.937043	  9.6046e-05	  1.46425e-05	  24	  3.721e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.23868e-05	  24	  3.14779e-06
47	  0.869868	  0.963087	  5.40893e-05	  1.17605e-05	  24	  2.98862e-06
48	  0.971131	  0.970495	  4.22057e-05	  7.80292e-06	  24	  1.98291e-06
49	  0.296192	  0	  0.000507056	  2.49067e-05	  6	  1.14135e-05
50	  0.314159	  0.333333	  0.000460441	  2.15527e-05	  12	  7.29936e-06
51	  0.36276	  0.57735	  0.000343765	  2.60163e-05	  12	  8.81108e-06
52	  0.431771	  0.727607	  0.000242853	  3.28776e-05	  12	  1.11348e-05
53	  0.51302	  0.816497	  0.000170244	  2.69313e-05	  12	  9.12095e-06
54	  0.601569	  0.870388	  0.000121384	  2.16121e-05	  12	  7.31949e-06
55	  0.694632	  0.904534	  8.89354e-05	  1.86667e-05	  12	  6.32194e-06
56	  0.790617	  0.927173	  6.69054e-05	  1.4325e-05	  12	  4.85152e-06
57	  0.888577	  0.942809	  5.15706e-05	  1.25208e-05	  12	  4.24049e-06
58	  0.987924	  0.953998	  4.06016e-05	  6.36044e-06	  12	  2.15412e-06
59	  0.314159	  0	  0.000460441	  4.1214e-05	  6	  1.88863e-05
