#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00379853	  0.000369752	  3	  0.000231964
1	  0.20944	  1	  0.00134928	  9.85122e-05	  3	  6.18017e-05
2	  0.314159	  1	  0.000632002	  9.34777e-05	  3	  5.86433e-05
3	  0.418879	  1	  0.000354209	  1.74389e-05	  3	  1.09403e-05
4	  0.523599	  1	  0.00022393	  3.15035e-05	  3	  1.97637e-05
5	  0.628319	  1	  0.000151731	  3.89834e-06	  3	  2.44563e-06
6	  0.733038	  1	  0.000108477	  1.12738e-05	  3	  7.07263e-06
7	  0.837758	  1	  8.07459e-05	  1.12245e-05	  3	  7.04167e-06
8	  0.942478	  1	  6.20055e-05	  4.27386e-06	  3	  2.68121e-06
9	  0.10472	  0	  0.00379853	  6.51004e-05	  6	  2.98322e-05
10	  0.148096	  0.707107	  0.00241558	  0.000106032	  12	  3.59103e-05
11	  0.23416	  0.894427	  0.00106881	  5.88027e-05	  12	  1.9915e-05
12	  0.331153	  0.948683	  0.000572332	  4.36121e-05	  12	  1.47703e-05
13	  0.431771	  0.970143	  0.00033334	  2.86931e-05	  12	  9.71763e-06
14	  0.533968	  0.980581	  0.000214781	  1.9997e-05	  12	  6.77248e-06
15	  0.636985	  0.986394	  0.000147282	  8.90357e-06	  12	  3.01542e-06
16	  0.74048	  0.989949	  0.00010613	  7.55864e-06	  12	  2.55992e-06
17	  0.844278	  0.992278	  7.93415e-05	  4.23246e-06	  12	  1.43343e-06
18	  0.948278	  0.993884	  6.11422e-05	  2.95384e-06	  12	  1.00039e-06
19	  0.148096	  0	  0.00241558	  3.24026e-05	  6	  1.48484e-05
20	  0.18138	  0.57735	  0.0017137	  5.01382e-05	  12	  1.69806e-05
21	  0.25651	  0.816497	  0.000940668	  4.73457e-05	  12	  1.60348e-05
22	  0.347316	  0.904534	  0.000515517	  4.4425e-05	  12	  1.50456e-05
23	  0.444288	  0.942809	  0.00031512	  2.279e-05	  12	  7.71841e-06
24	  0.54414	  0.96225	  0.000206254	  1.3329e-05	  12	  4.51421e-06
25	  0.645536	  0.973329	  0.000143139	  1.38806e-05	  12	  4.70101e-06
26	  0.747849	  0.980196	  0.00010381	  8.31056e-06	  12	  2.81458e-06
27	  0.850747	  0.984732	  7.80228e-05	  4.25302e-06	  12	  1.44039e-06
28	  0.954042	  0.987878	  6.03124e-05	  4.2161e-06	  12	  1.42789e-06
29	  0.20944	  0	  0.00134928	  1.95558e-05	  6	  8.96141e-06
30	  0.23416	  0.447214	  0.00106881	  2.09993e-05	  12	  7.11195e-06
31	  0.296192	  0.707107	  0.000695986	  2.26439e-05	  12	  7.66893e-06
32	  0.377572	  0.83205	  0.000438644	  2.53708e-05	  12	  8.59246e-06
33	  0.468321	  0.894427	  0.00028273	  2.94484e-05	  12	  9.97345e-06
34	  0.563933	  0.928477	  0.000191181	  1.44581e-05	  12	  4.89661e-06
35	  0.662306	  0.948683	  0.000135378	  7.41398e-06	  12	  2.51093e-06
36	  0.762371	  0.961524	  9.95093e-05	  5.05202e-06	  12	  1.71099e-06
37	  0.863541	  0.970143	  7.54539e-05	  6.52668e-06	  12	  2.21042e-06
38	  0.965468	  0.976187	  5.87146e-05	  4.34501e-06	  12	  1.47155e-06
39	  0.23416	  0	  0.00106881	  1.21154e-05	  12	  4.10318e-06
40	  0.25651	  0.408248	  0.000940668	  2.13697e-05	  24	  5.43057e-06
41	  0.314159	  0.666667	  0.000632002	  2.39257e-05	  24	  6.0801e-06
42	  0.391825	  0.801784	  0.000408396	  2.40683e-05	  24	  6.11633e-06
43	  0.479886	  0.872872	  0.000268343	  1.93151e-05	  24	  4.90843e-06
44	  0.573574	  0.912871	  0.000184519	  1.19738e-05	  24	  3.04282e-06
45	  0.670534	  0.937043	  0.000131833	  8.51002e-06	  24	  2.1626e-06
46	  0.76953	  0.952579	  9.75033e-05	  9.27213e-06	  24	  2.35627e-06
47	  0.869868	  0.963087	  7.4243e-05	  8.25681e-06	  24	  2.09825e-06
48	  0.971131	  0.970495	  5.79317e-05	  3.42525e-06	  24	  8.70438e-07
