#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00379853	  0.000201981	  3	  0.000126713
1	  0.20944	  1	  0.00134928	  8.08943e-05	  3	  5.07491e-05
2	  0.314159	  1	  0.000632002	  9.1668e-05	  3	  5.7508e-05
3	  0.418879	  1	  0.000354209	  4.17799e-06	  3	  2.62106e-06
4	  0.523599	  1	  0.00022393	  1.91363e-05	  3	  1.20052e-05
5	  0.628319	  1	  0.000151731	  3.27535e-06	  3	  2.05479e-06
6	  0.733038	  1	  0.000108477	  1.1294e-05	  3	  7.0853e-06
7	  0.837758	  1	  8.07459e-05	  1.53988e-05	  3	  9.66043e-06
8	  0.942478	  1	  6.20055e-05	  2.05708e-06	  3	  1.29051e-06
9	  0.10472	  0	  0.00379853	  3.9263e-05	  6	  1.79922e-05
10	  0.148096	  0.707107	  0.00241558	  7.39202e-05	  12	  2.50349e-05
11	  0.23416	  0.894427	  0.00106881	  3.40711e-05	  12	  1.1539e-05
12	  0.331153	  0.948683	  0.000572332	  2.12779e-05	  12	  7.2063e-06
13	  0.431771	  0.970143	  0.00033334	  2.18658e-05	  12	  7.40542e-06
14	  0.533968	  0.980581	  0.000214781	  1.54447e-05	  12	  5.23072e-06
15	  0.636985	  0.986394	  0.000147282	  7.2369e-06	  12	  2.45096e-06
16	  0.74048	  0.989949	  0.00010613	  7.5593e-06	  12	  2.56015e-06
17	  0.844278	  0.992278	  7.93415e-05	  4.56459e-06	  12	  1.54591e-06
18	  0.948278	  0.993884	  6.11422e-05	  3.07548e-06	  12	  1.04159e-06
19	  0.148096	  0	  0.00241558	  2.25574e-05	  6	  1.03369e-05
20	  0.18138	  0.57735	  0.0017137	  9.94568e-05	  12	  3.36835e-05
21	  0.25651	  0.816497	  0.000940668	  3.29172e-05	  12	  1.11482e-05
22	  0.347316	  0.904534	  0.000515517	  3.22415e-05	  12	  1.09194e-05
23	  0.444288	  0.942809	  0.00031512	  2.3576e-05	  12	  7.9846e-06
24	  0.54414	  0.96225	  0.000206254	  1.547e-05	  12	  5.23929e-06
25	  0.645536	  0.973329	  0.000143139	  1.69605e-05	  12	  5.7441e-06
26	  0.747849	  0.980196	  0.00010381	  7.43865e-06	  12	  2.51929e-06
27	  0.850747	  0.984732	  7.80228e-05	  5.15916e-06	  12	  1.74728e-06
28	  0.954042	  0.987878	  6.03124e-05	  4.08551e-06	  12	  1.38366e-06
29	  0.20944	  0	  0.00134928	  1.70177e-05	  6	  7.79835e-06
30	  0.23416	  0.447214	  0.00106881	  1.0647e-05	  12	  3.60586e-06
31	  0.296192	  0.707107	  0.000695986	  4.19555e-05	  12	  1.42093e-05
32	  0.377572	  0.83205	  0.000438644	  3.14791e-05	  12	  1.06612e-05
33	  0.468321	  0.894427	  0.00028273	  2.99042e-05	  12	  1.01278e-05
