#n	   k	      mu	    PL	    Pf	     w	     err  
0	  0.10472	  1	  0.00276739	  0.000601412	  3	  0.000377296
1	  0.20944	  1	  0.000983009	  0.000276287	  3	  0.000173329
2	  0.314159	  1	  0.000460441	  0.0001856	  3	  0.000116437
3	  0.418879	  1	  0.000258057	  9.61983e-05	  3	  6.035e-05
4	  0.523599	  1	  0.000163143	  1.5479e-05	  3	  9.71078e-06
5	  0.628319	  1	  0.000110542	  1.49619e-05	  3	  9.38633e-06
6	  0.733038	  1	  7.90303e-05	  1.666e-05	  3	  1.04517e-05
7	  0.837758	  1	  5.88269e-05	  2.59886e-05	  3	  1.6304e-05
8	  0.942478	  1	  4.51737e-05	  1.79468e-05	  3	  1.1259e-05
9	  0.10472	  0	  0.00276739	  0.000137865	  6	  6.31765e-05
10	  0.148096	  0.707107	  0.00175985	  0.000151211	  12	  5.12116e-05
11	  0.23416	  0.894427	  0.000778677	  0.000157617	  12	  5.33811e-05
12	  0.331153	  0.948683	  0.000416969	  0.000124414	  12	  4.2136e-05
13	  0.431771	  0.970143	  0.000242853	  3.71693e-05	  12	  1.25883e-05
14	  0.533968	  0.980581	  0.000156478	  2.17883e-05	  12	  7.37916e-06
15	  0.636985	  0.986394	  0.000107301	  2.14009e-05	  12	  7.24795e-06
16	  0.74048	  0.989949	  7.73204e-05	  1.74148e-05	  12	  5.89795e-06
17	  0.844278	  0.992278	  5.78037e-05	  1.94122e-05	  12	  6.57442e-06
18	  0.948278	  0.993884	  4.45448e-05	  7.21532e-06	  12	  2.44365e-06
19	  0.148096	  0	  0.00175985	  5.60389e-05	  6	  2.56797e-05
20	  0.18138	  0.57735	  0.0012485	  9.61806e-05	  12	  3.2574e-05
21	  0.25651	  0.816497	  0.000685318	  0.00010804	  12	  3.65906e-05
22	  0.347316	  0.904534	  0.000375577	  5.40652e-05	  12	  1.83105e-05
23	  0.444288	  0.942809	  0.000229579	  4.09459e-05	  12	  1.38674e-05
24	  0.54414	  0.96225	  0.000150265	  3.92062e-05	  12	  1.32782e-05
25	  0.645536	  0.973329	  0.000104283	  2.07551e-05	  12	  7.02924e-06
26	  0.747849	  0.980196	  7.56299e-05	  2.01876e-05	  12	  6.83705e-06
27	  0.850747	  0.984732	  5.6843e-05	  1.63583e-05	  12	  5.54015e-06
28	  0.954042	  0.987878	  4.39402e-05	  8.05606e-06	  12	  2.72839e-06
29	  0.20944	  0	  0.000983009	  5.29334e-05	  6	  2.42566e-05
30	  0.23416	  0.447214	  0.000778677	  5.93354e-05	  12	  2.00954e-05
31	  0.296192	  0.707107	  0.000507056	  5.21633e-05	  12	  1.76664e-05
32	  0.377572	  0.83205	  0.000319571	  3.78918e-05	  12	  1.2833e-05
33	  0.468321	  0.894427	  0.000205981	  6.39159e-05	  12	  2.16467e-05
34	  0.563933	  0.928477	  0.000139283	  1.84551e-05	  12	  6.2503e-06
35	  0.662306	  0.948683	  9.86289e-05	  1.90589e-05	  12	  6.45479e-06
36	  0.762371	  0.961524	  7.24968e-05	  1.64381e-05	  12	  5.56719e-06
37	  0.863541	  0.970143	  5.49714e-05	  1.46386e-05	  12	  4.95772e-06
38	  0.965468	  0.976187	  4.27761e-05	  1.17127e-05	  12	  3.9668e-06
39	  0.23416	  0	  0.000778677	  3.71151e-05	  12	  1.257e-05
40	  0.25651	  0.408248	  0.000685318	  5.305e-05	  24	  1.34813e-05
41	  0.314159	  0.666667	  0.000460441	  5.80736e-05	  24	  1.47579e-05
42	  0.391825	  0.801784	  0.000297534	  3.21329e-05	  24	  8.16575e-06
43	  0.479886	  0.872872	  0.000195499	  4.46537e-05	  24	  1.13476e-05
44	  0.573574	  0.912871	  0.00013443	  1.80989e-05	  24	  4.59936e-06
45	  0.670534	  0.937043	  9.6046e-05	  2.01279e-05	  24	  5.11498e-06
46	  0.76953	  0.952579	  7.10354e-05	  1.10572e-05	  24	  2.8099e-06
47	  0.869868	  0.963087	  5.40893e-05	  9.6407e-06	  24	  2.44994e-06
48	  0.971131	  0.970495	  4.22057e-05	  8.21566e-06	  24	  2.0878e-06
49	  0.296192	  0	  0.000507056	  2.2588e-05	  6	  1.03509e-05
50	  0.314159	  0.333333	  0.000460441	  2.76281e-05	  12	  9.35695e-06
51	  0.36276	  0.57735	  0.000343765	  3.6514e-05	  12	  1.23664e-05
52	  0.431771	  0.727607	  0.000242853	  3.56836e-05	  12	  1.20852e-05
53	  0.51302	  0.816497	  0.000170244	  2.77253e-05	  12	  9.38986e-06
54	  0.601569	  0.870388	  0.000121384	  2.25217e-05	  12	  7.62755e-06
55	  0.694632	  0.904534	  8.89354e-05	  1.65261e-05	  12	  5.59698e-06
56	  0.790617	  0.927173	  6.69054e-05	  1.39641e-05	  12	  4.72929e-06
57	  0.888577	  0.942809	  5.15706e-05	  9.43903e-06	  12	  3.19677e-06
58	  0.987924	  0.953998	  4.06016e-05	  5.74382e-06	  12	  1.94529e-06
59	  0.314159	  0	  0.000460441	  3.30345e-05	  6	  1.5138e-05
60	  0.331153	  0.316228	  0.000416969	  3.94586e-05	  12	  1.33637e-05
61	  0.377572	  0.5547	  0.000319571	  3.0566e-05	  12	  1.0352e-05
62	  0.444288	  0.707107	  0.000229579	  1.64699e-05	  12	  5.57795e-06
63	  0.523599	  0.8	  0.000163143	  2.17044e-05	  12	  7.35075e-06
64	  0.610616	  0.857493	  0.000117549	  1.98876e-05	  12	  6.73545e-06
65	  0.702481	  0.894427	  8.67717e-05	  1.20654e-05	  12	  4.08626e-06
66	  0.797522	  0.919145	  6.56259e-05	  1.83544e-05	  12	  6.21617e-06
67	  0.894726	  0.936329	  5.07646e-05	  1.60069e-05	  12	  5.42115e-06
68	  0.993459	  0.948683	  4.00947e-05	  9.22783e-06	  12	  3.12524e-06
69	  0.331153	  0	  0.000416969	  3.61377e-05	  12	  1.22389e-05
70	  0.347316	  0.301511	  0.000375577	  1.23041e-05	  24	  3.12677e-06
71	  0.391825	  0.534522	  0.000297534	  2.20338e-05	  24	  5.59932e-06
72	  0.456463	  0.688247	  0.000217407	  2.31689e-05	  24	  5.88778e-06
73	  0.533968	  0.784465	  0.000156478	  1.75417e-05	  24	  4.45776e-06
74	  0.61953	  0.845154	  0.000113955	  1.81789e-05	  24	  4.61971e-06
75	  0.710244	  0.884652	  8.47248e-05	  1.69448e-05	  24	  4.30609e-06
76	  0.804368	  0.911322	  6.43985e-05	  8.57521e-06	  24	  2.17917e-06
77	  0.900833	  0.929981	  5.00066e-05	  8.68175e-06	  24	  2.20624e-06
78	  0.998963	  0.943456	  3.9601e-05	  9.07218e-06	  24	  2.30546e-06
79	  0.377572	  0	  0.000319571	  1.57721e-05	  12	  5.3416e-06
80	  0.391825	  0.267261	  0.000297534	  1.34098e-05	  24	  3.40775e-06
81	  0.431771	  0.485071	  0.000242853	  2.6031e-05	  24	  6.6151e-06
82	  0.491179	  0.639602	  0.000186145	  1.28311e-05	  24	  3.26069e-06
83	  0.563933	  0.742781	  0.000139283	  1.93266e-05	  24	  4.91135e-06
84	  0.645536	  0.811107	  0.000104283	  1.57583e-05	  24	  4.00457e-06
85	  0.733038	  0.857143	  7.90303e-05	  1.14028e-05	  24	  2.89772e-06
86	  0.824564	  0.889001	  6.09362e-05	  7.11866e-06	  24	  1.80902e-06
87	  0.918912	  0.911685	  4.7822e-05	  6.43103e-06	  24	  1.63428e-06
88	  0.418879	  0	  0.000258057	  1.66513e-05	  6	  7.63045e-06
89	  0.431771	  0.242536	  0.000242853	  1.35357e-05	  12	  4.58421e-06
90	  0.468321	  0.447214	  0.000205981	  2.18566e-05	  12	  7.40228e-06
91	  0.523599	  0.6	  0.000163143	  1.30633e-05	  12	  4.42421e-06
92	  0.592384	  0.707107	  0.000125493	  2.7261e-05	  12	  9.23262e-06
93	  0.670534	  0.780869	  9.6046e-05	  9.23734e-06	  12	  3.12846e-06
94	  0.755145	  0.83205	  7.40547e-05	  1.09343e-05	  12	  3.70318e-06
95	  0.844278	  0.868243	  5.78037e-05	  1.09617e-05	  12	  3.71246e-06
96	  0.936642	  0.894427	  4.58065e-05	  8.98541e-06	  12	  3.04314e-06
97	  0.431771	  0	  0.000242853	  1.18849e-05	  12	  4.02513e-06
98	  0.444288	  0.235702	  0.000229579	  8.37469e-06	  24	  2.12821e-06
99	  0.479886	  0.436436	  0.000195499	  1.67899e-05	  24	  4.26672e-06
100	  0.533968	  0.588348	  0.000156478	  1.31384e-05	  24	  3.33878e-06
101	  0.601569	  0.696311	  0.000121384	  1.18871e-05	  24	  3.02081e-06
102	  0.678662	  0.771517	  9.3549e-05	  1.04399e-05	  24	  2.65304e-06
103	  0.762371	  0.824163	  7.24968e-05	  1.00696e-05	  24	  2.55894e-06
104	  0.850747	  0.86164	  5.6843e-05	  1.00181e-05	  24	  2.54585e-06
105	  0.942478	  0.888889	  4.51737e-05	  7.58761e-06	  24	  1.92819e-06
106	  0.444288	  0	  0.000229579	  7.07856e-06	  6	  3.24374e-06
107	  0.456463	  0.229416	  0.000217407	  1.29251e-05	  12	  4.37739e-06
108	  0.491179	  0.426401	  0.000186145	  6.82881e-06	  12	  2.31275e-06
109	  0.54414	  0.57735	  0.000150265	  7.35779e-06	  12	  2.4919e-06
110	  0.610616	  0.685994	  0.000117549	  6.38518e-06	  12	  2.1625e-06
111	  0.686693	  0.762493	  9.11917e-05	  5.6843e-06	  12	  1.92513e-06
112	  0.76953	  0.816497	  7.10354e-05	  9.23595e-06	  12	  3.12799e-06
113	  0.857168	  0.855186	  5.58895e-05	  1.07078e-05	  12	  3.62648e-06
114	  0.948278	  0.883452	  4.45448e-05	  8.73947e-06	  12	  2.95984e-06
